X0,LUM_crop1,TMRM_crop1,LUM_crop2,TMRM_crop2,LUM_crop3,TMRM_crop3,LUM_crop4,TMRM_crop4
70,3559.718,468.2131,3325.5676,570.8557,3606.2937,677.0375,3447.5796,737.5288
71,3544.0737,456.4535,3332.3435,575.2272,3600.6267,707.5812,3446.2473,745.5628
72,3588.0059,438.2403,3362.4209,556.6037,3651.5488,743.2384,3460.3418,708.9294
73,3584.7832,457.6015,3328.2183,573.2911,3630.5876,697.8953,3442.8037,734.1255
74,3550.3643,466.4314,3325.9207,576.4805,3613.8669,705.6773,3445.1843,729.36
75,3560.3943,461.0539,3316.7739,586.5989,3600.7634,706.2045,3446.1453,745.1163
76,3562.1604,448.7769,3339.3916,588.0794,3615.533,686.5626,3452.1292,756.8535
77,3704.6262,410.9528,3407.4348,518.5061,3725.6482,665.4062,3495.2737,659.4094
78,3779.8284,369.0509,3481.2495,549.939,3809.8242,667.9484,3533.1057,594.5448
79,3828.6721,350.5352,3509.0337,546.2112,3833.832,635.915,3540.9165,548.5641
80,3830.5916,350.4697,3516.7178,525.1535,3849.0095,662.7697,3552.9463,502.4904
81,3865.155,350.9938,3530.811,533.546,3856.833,642.8925,3547.8467,516.8387
82,3847.8965,329.9875,3527.6409,514.371,3868.3435,629.598,3553.8269,503.4162
83,3854.4407,345.3877,3532.3643,514.4493,3870.3279,630.6832,3558.0063,482.4561
84,3847.6128,338.9953,3527.4331,533.1866,3861.562,659.0762,3556.8662,492.3664
85,3854.731,333.3907,3517.7766,524.0942,3881.4351,654.4818,3556.4641,490.0601
86,3859.2305,324.8051,3537.5115,533.5779,3874.0996,628.7963,3555.6772,459.4629
87,3863.3816,333.3789,3514.6213,507.4698,3866.1531,693.5479,3561.1372,465.3694
88,3860.2292,325.5412,3519.3135,491.2117,3873.6768,674.8152,3558.3518,476.5108
89,3853.9314,339.4782,3504.4741,500.5372,3867.4868,655.5546,3548.9543,471.4899
90,3855.7456,343.9905,3507.2642,512.0443,3874.729,618.954,3561.4419,477.6596
91,3878.9336,337.3619,3508.7397,499.1704,3868.9331,650.4561,3550.6069,486.7281
92,3858.8774,340.233,3507.3237,528.0889,3873.3728,649.5674,3555.1599,496.8559
93,3842.0698,326.7819,3494.252,517.5268,3880.2649,676.2725,3545.5894,481.6129
94,3849.5896,327.1634,3483.7761,509.984,3864.3879,641.2415,3542.499,455.8301
95,3850.8652,344.2266,3472.7593,524.3386,3868.1504,660.2457,3558.0623,490.5388
96,3847.5386,336.5571,3494.4045,515.217,3931.2532,628.2081,3551.2188,462.7193
97,3829.4751,327.4185,3489.2983,520.0219,3855.6504,631.696,3540.1379,465.1587
98,3838.2327,324.2899,3482.6045,519.0011,3858.9817,640.9735,3545.1125,480.8021
99,3831.8999,337.4254,3482.0308,514.0433,3857.5227,657.6264,3550.2483,462.619
100,3831.0942,324.8343,3462.6309,573.5703,3858.5146,670.8233,3538.7417,463.7738
101,3825.6414,328.7565,3459.9358,530.1308,3855.1428,650.7101,3543.3848,472.9225
102,3831.7158,345.225,3467.6592,527.9135,3854.9265,648.8551,3551.6829,472.3778
103,3830.9656,330.9809,3462.5725,523.4596,3881.8848,677.6801,3552.1816,479.2078
104,3822.9658,336.5567,3458.1221,512.5488,3857.1187,682.6266,3539.76,480.0244
105,3827.3936,336.1121,3477.4253,527.34,3858.1113,637.9979,3541.0918,472.4631
106,3785.1956,340.6477,3431.5315,518.6164,3845.552,701.1892,3538.0354,480.92
107,3808.3625,330.4721,3460.5334,510.9393,3868.491,652.7108,3536.3347,462.8953
108,3799.6304,326.4214,3435.9231,504.5995,3847.6689,649.1392,3526.8625,462.108
109,3789.8303,332.6647,3431.885,515.4167,3844.9109,627.8635,3532.9922,435.981
110,3788.6484,332.6623,3451.814,528.392,3829.4351,627.8439,3525.415,468.4299
111,3783.592,336.1113,3421.6919,514.399,3829.5291,657.8199,3533.488,448.285
112,3788.3762,343.5365,3445.7222,522.7222,3826.2356,668.9044,3540.897,442.5713
113,3782.6675,326.5445,3432.2156,499.4516,3848.3948,637.1026,3547.5024,457.4573
