0001-0256-0256,Average,Err
2439.9407,2439.9407,0
2440.7324,2440.7324,0
2435.1654,2435.1654,0
2428.3377,2428.3377,0
2418.1496,2418.1496,0
2403.8157,2403.8157,0
2399.4998,2399.4998,0
2391.7696,2391.7696,0
2388.1202,2388.1202,0
2385.8705,2385.8705,0
2383.3704,2383.3704,0
2381.7068,2381.7068,0
2376.9124,2376.9124,0
2372.8544,2372.8544,0
2370.2906,2370.2906,0
2370.9441,2370.9441,0
2370.9033,2370.9033,0
2367.0468,2367.0468,0
2371.4103,2371.4103,0
2364.6539,2364.6539,0
2364.9479,2364.9479,0
2365.7652,2365.7652,0
2365.9415,2365.9415,0
2364.9790,2364.9790,0
2362.0279,2362.0279,0
2364.1245,2364.1245,0
2368.6732,2368.6732,0
2370.5989,2370.5989,0
2372.4331,2372.4331,0
2376.1660,2376.1660,0
2373.1642,2373.1642,0
2372.6030,2372.6030,0
2370.5425,2370.5425,0
2370.5560,2370.5560,0
2376.2457,2376.2457,0
2379.0990,2379.0990,0
2378.6404,2378.6404,0
2379.5594,2379.5594,0
2373.8468,2373.8468,0
2376.0664,2376.0664,0
2380.2578,2380.2578,0
2379.5438,2379.5438,0
2376.8116,2376.8116,0
2380.9458,2380.9458,0
2380.2646,2380.2646,0
2381.2871,2381.2871,0
2380.7547,2380.7547,0
2380.7371,2380.7371,0
2382.3656,2382.3656,0
2382.2072,2382.2072,0
2381.0910,2381.0910,0
2379.9221,2379.9221,0
2378.8041,2378.8041,0
