samp,KG
Trough,0.001238994
Trough,0.001287037
Trough,0.001202532
Trough,0.001315625
Trough,0.001220183
Trough,0.001335404
Trough,0.001229607
Peak,0.001251497
Peak,0.001094637
Peak,0.00122561
Peak,0.001240854
Peak,0.001273273
Peak,0.001214286
Peak,0.001214076
Peak,0.00104142
Peak,0.001164706
