samp,glutamine
Trough,0.000964646
Trough,0.001098039
Trough,0.000774892
Trough,0.000796339
Trough,0.001084034
Trough,0.000816199
Trough,0.000831967
Peak,0.000902664
Peak,0.000722619
Peak,0.000728409
Peak,0.000797561
Peak,0.000756436
Peak,0.000675248
Peak,0.000707619
Peak,0.000737898
Peak,0.000539216
