Hours,A1,A2,A3,A4
21.5,25.3612,25.2592,24.2481,28.3225
21.66666667,25.2159,25.0906,24.0647,28.1724
21.83333333,25.0454,25.0371,24.2091,28.0281
22,24.9419,24.9502,23.9163,27.8642
22.16666667,24.8565,24.9336,23.7207,27.7533
22.33333333,24.7336,24.7331,23.5256,27.5514
22.5,24.4119,24.6596,23.447,27.4594
22.66666667,24.4777,24.4643,23.3928,27.2343
22.83333333,24.2877,24.3279,23.1974,27.125
23,24.1776,24.3451,23.1751,26.9765
23.16666667,23.9856,24.2603,22.9456,26.9034
23.33333333,23.9056,24.1931,23.0417,26.686
23.5,23.8322,24.2181,22.9155,26.858
23.66666667,23.8096,23.9929,22.9062,26.6219
23.83333333,23.5989,23.921,22.7813,26.4109
24,23.4591,23.8045,22.7302,26.3026
24.16666667,23.3863,23.8411,22.7056,26.2006
24.33333333,23.2702,23.7452,22.4546,26.2452
24.5,23.323,23.6305,22.296,26.0585
24.66666667,23.0109,23.5759,22.2839,25.8638
24.83333333,23.0028,23.5692,22.1221,25.6772
25,22.848,23.3292,22.0875,25.6412
25.16666667,22.6833,23.2208,21.9253,25.5649
25.33333333,22.6628,23.1044,21.7635,25.5088
25.5,22.4071,23.0372,21.5452,25.3663
25.66666667,22.3735,22.9916,21.5564,25.3519
25.83333333,22.3466,22.7693,21.5065,25.2569
26,22.0989,22.7327,21.3579,25.0401
26.16666667,21.9765,22.5473,21.1658,25.1369
26.33333333,21.9439,22.5192,21.1253,25.0653
26.5,21.8621,22.4735,21.0897,24.7408
26.66666667,21.7403,22.3772,21.0509,24.7109
26.83333333,21.6507,22.3615,21.0438,24.4167
27,21.6413,22.3335,20.8979,24.5278
27.16666667,21.6505,22.1558,20.7763,24.248
27.33333333,21.4416,22.0394,20.8576,24.1741
27.5,21.4325,21.9375,20.7861,24.1569
27.66666667,21.2526,22.0056,20.5538,24.1938
27.83333333,21.2317,21.8865,20.7056,23.9902
28,21.18,21.7544,20.6487,23.8748
28.16666667,21.1129,21.7492,20.3368,23.9219
28.33333333,20.9282,21.4733,20.43,23.9389
28.5,20.997,21.4599,20.2994,23.9051
28.66666667,20.9161,21.5373,20.1667,23.8244
28.83333333,20.8276,21.3668,20.1999,23.6072
29,20.6214,21.375,20.1365,23.6371
29.16666667,20.6193,21.1438,20.0981,23.6557
29.33333333,20.4605,20.9655,19.9208,23.5794
29.5,20.5341,20.9414,19.8382,23.5855
29.66666667,20.3233,20.8935,19.9407,23.3454
29.83333333,20.3071,21.0008,19.7524,23.1484
30,20.1425,20.6424,19.5806,22.9974
30.16666667,20.0785,20.6413,19.4352,22.9425
30.33333333,20.0314,20.6198,19.4149,22.7844
30.5,20.0724,20.645,19.5148,22.9929
30.66666667,20.0665,20.5734,19.4305,22.8615
30.83333333,19.9346,20.566,19.3857,22.9097
31,19.8454,20.5116,19.406,22.6679
31.16666667,19.7488,20.2891,19.1933,22.5855
31.33333333,19.6981,20.2802,19.3799,22.5012
31.5,19.6012,20.2629,19.3087,22.3952
31.66666667,19.4988,20.2701,19.269,22.184
31.83333333,19.4515,20.0437,19.2412,22.2403
32,19.4985,20.0225,19.2039,22.0893
32.16666667,19.389,20.0198,18.9688,21.9625
32.33333333,19.2831,19.8279,18.7993,21.9309
32.5,19.2284,19.8753,18.819,21.9035
32.66666667,19.2161,19.6653,18.6941,21.676
32.83333333,19.0904,19.6698,18.7641,21.5839
33,19.0867,19.5801,18.6689,21.5177
33.16666667,19.067,19.5829,18.6348,21.4669
33.33333333,18.9344,19.5452,18.5862,21.4026
33.5,18.7465,19.3622,18.414,21.4565
33.66666667,18.7449,19.2377,18.4026,21.2227
33.83333333,18.694,19.3053,18.395,21.1976
34,18.6079,19.0936,18.1357,21.064
34.16666667,18.5406,19.0804,18.0277,21.0405
34.33333333,18.4229,18.8788,18.0071,20.9746
34.5,18.3925,19.0566,17.9805,20.8474
34.66666667,18.3647,18.8801,17.9074,20.8547
34.83333333,18.1644,18.8289,17.8679,20.722
35,18.1841,18.7098,17.8577,20.4753
35.16666667,18.1874,18.7143,17.721,20.6385
35.33333333,18.0609,18.71,17.8174,20.4682
35.5,18.1323,18.712,17.7669,20.3049
35.66666667,18.0843,18.6424,17.6314,20.2488
35.83333333,18.0424,18.5511,17.6737,20.1706
36,17.8715,18.6085,17.5555,20.1604
36.16666667,17.8869,18.4469,17.4478,19.8883
36.33333333,17.6844,18.2784,17.4835,20.0309
36.5,17.8319,18.2805,17.4545,19.8977
36.66666667,17.6337,18.2522,17.2791,19.7458
36.83333333,17.6139,18.3019,17.2149,19.6842
37,17.5932,18.0759,17.1743,19.5758
37.16666667,17.5982,18.1046,17.0842,19.4901
37.33333333,17.5114,18.1169,17.072,19.4735
37.5,17.3563,18.0574,17.0231,19.3811
37.66666667,17.3171,17.8609,16.933,19.307
37.83333333,17.24,17.7417,16.7797,19.2135
38,17.1927,17.8405,16.6621,19.1514
38.16666667,17.1518,17.6593,16.6624,19.0066
38.33333333,16.9816,17.6325,16.6906,19.0101
38.5,17.0399,17.5742,16.5581,18.9384
38.66666667,16.9415,17.5088,16.5005,18.8622
38.83333333,16.8647,17.3946,16.5446,18.8043
39,16.7885,17.4253,16.4714,18.7189
39.16666667,16.8264,17.3233,16.3379,18.5836
39.33333333,16.6552,17.3315,16.4077,18.5414
39.5,16.6583,17.284,16.3386,18.4161
39.66666667,16.6922,17.0903,16.244,18.5134
39.83333333,16.5274,17.0734,16.3699,18.356
40,16.5364,17.1408,16.2654,18.309
40.16666667,16.5137,16.9906,16.1358,18.1229
40.33333333,16.3564,17.0017,15.9703,18.2241
40.5,16.3272,16.7693,15.944,18.1399
40.66666667,16.2686,16.8242,16.0309,17.9997
40.83333333,16.2008,16.6813,15.7824,17.867
41,16.1457,16.6534,15.8286,17.7818
41.16666667,16.1662,16.7252,15.8852,17.8173
41.33333333,15.9627,16.449,15.7002,17.6944
41.5,16.0154,16.4311,15.6474,17.7497
41.66666667,15.8976,16.4568,15.5833,17.7309
41.83333333,15.8356,16.3804,15.566,17.5842
42,15.8039,16.3563,15.5663,17.5405
42.16666667,15.6953,16.2449,15.5443,17.5185
42.33333333,15.6153,16.1031,15.4816,17.557
42.5,15.8117,16.1265,15.4926,17.5742
42.66666667,15.6586,15.9358,15.4289,17.4027
42.83333333,15.6425,15.9682,15.3165,17.4121
43,15.5872,15.9862,15.3425,17.3939
43.16666667,15.5331,15.7956,15.2666,17.1852
43.33333333,15.5551,15.805,15.1497,17.2158
43.5,15.5345,15.644,15.2389,17.3266
43.66666667,15.4173,15.7483,15.0491,17.1494
43.83333333,15.2521,15.7405,15.1617,17.0699
