0,8108860,6207616,8430565,5691077,12136316,5734204,6753354.5,NaN,NaN,NaN,NaN,NaN
0.007,7982773,6193598.5,8291776,5609615,12650652,5693288,6725898.5,NaN,NaN,NaN,NaN,NaN
0.014,7918260,6166318,8217883,5573686,13744568,5696310,6764176,NaN,NaN,NaN,NaN,NaN
0.021,7759517,6134069,7969774.5,5539385,13849811,5615835,6657067,NaN,NaN,NaN,NaN,NaN
0.028,7698692,6036906,7834619,5468758,13438712,5492242,6549595,NaN,NaN,NaN,NaN,NaN
0.035,7602095,6001179.5,7678007.5,5366196,12915732,5414055,6489062,NaN,NaN,NaN,NaN,NaN
0.042,7516245,5991068,7581706,5341155,12377920,5409274,6401208,NaN,NaN,NaN,NaN,NaN
0.049,7519042.5,5938564,7605443,5367134,11995400,5427975,6343075.5,NaN,NaN,NaN,NaN,NaN
0.056,7437427,5852990,7615800,5375446,11979871,5386095,6171292.5,NaN,NaN,NaN,NaN,NaN
0.062,7454916,5779786,7506878.5,5376723,12162971,5382731,6071299,NaN,NaN,NaN,NaN,NaN
0.069,7556680.5,5721925,7522776.5,5361695,12361927,5468799,6071742.5,NaN,NaN,NaN,NaN,NaN
0.076,7685039,5712710,7600357.5,5371232,12483947,5468569,6177891,NaN,NaN,NaN,NaN,NaN
0.083,7642052,5669032,7670224,5478856,12777817,5460242,6216088,NaN,NaN,NaN,NaN,NaN
0.09,7607914,5665221,7723957.5,5554866,12998880,5430993,6232802,NaN,NaN,NaN,NaN,NaN
0.097,7402236,5643751,7771250.5,5604289,13034937,5392264,6304764.5,NaN,NaN,NaN,NaN,NaN
0.104,7101900,5604280,7909526,5618434,13255067,5380325,6381126,NaN,NaN,NaN,NaN,NaN
0.111,6999337,5608419,8057269,5710578.5,13325959,5451706,6371424,NaN,NaN,NaN,NaN,NaN
0.118,7019878,5615928,8109685,5728688,13058158,5457957,6371704,NaN,NaN,NaN,NaN,NaN
0.125,7031629.5,5626238,8302618,5702128.5,12917215,5465328,6458600,NaN,NaN,NaN,NaN,NaN
0.132,7080434.5,5628720,8488567,5724583.5,12598095,5478501,6451904,NaN,NaN,NaN,NaN,NaN
0.139,7103783.5,5633991,8620556,5762574,12263662,5474826,6411800.5,NaN,NaN,NaN,NaN,NaN
0.146,7110601.5,5674120,8700234,5797723,12099435,5487459,6379589,NaN,NaN,NaN,NaN,NaN
0.153,7080929,5677593,8725627,5849219,11769032,5588391,6427188,NaN,NaN,NaN,NaN,NaN
0.16,7139189,5701074,8850591,5918530.5,11379378,5662758,6500100,NaN,NaN,NaN,NaN,NaN
0.167,7170196,5732663,8968599,5839093,11249358,5707756,6580998,NaN,NaN,NaN,NaN,NaN
0.174,7201891,5783922,9082299,5813953,11099093,5747536,6607976,NaN,NaN,NaN,NaN,NaN
0.181,7259835.5,5814892,9125513,5821706,10983791,5816635,6507873,NaN,NaN,NaN,NaN,NaN
0.187,7276914,5806721.5,9245831,5842509,10882980,5846521,6503631,NaN,NaN,NaN,NaN,NaN
0.194,7217243,5841623,9258853,5898207.5,10832766,5866642,6528862,NaN,NaN,NaN,NaN,NaN
0.201,7178126.5,5920451,9201284,5814114,10742877,5930084.5,6463038.5,NaN,NaN,NaN,NaN,NaN
0.208,7114024,5892651,9249712,5786187,10825024,5992181,6556931,NaN,NaN,NaN,NaN,NaN
0.215,7069839,5862797,9248193,5812372.5,11098139,5997916,6613408,NaN,NaN,NaN,NaN,NaN
0.222,7109813,5934202,9203338,5801270,11195703,6000813.5,6647109,NaN,NaN,NaN,NaN,NaN
0.229,7111542,5948232,9150747,5789209,11306712,6107517,6614058,NaN,NaN,NaN,NaN,NaN
0.236,7128881,5929015,9068225,5796233,11462071,6102384.5,6600711.5,NaN,NaN,NaN,NaN,NaN
0.243,7154282.5,5847886,9019019,5779213,11507024,6179326,6571174,NaN,NaN,NaN,NaN,NaN
0.25,7146850,5791240,8885568,5761680,11429964,6274999,6552311,NaN,NaN,NaN,NaN,NaN
0.257,7160143,5814908,8801575,5721601.5,11451468,6306163,6589391.5,NaN,NaN,NaN,NaN,NaN
0.264,7197002.5,5846553,8773511,5734789,11765870,6296125,6607854,NaN,NaN,NaN,NaN,NaN
0.271,7192072,5803730,8678056,5707224,11665607,6286104.5,6553143,NaN,NaN,NaN,NaN,NaN
0.278,7229343,5747052,8535498,5693953,11530081,6334866,6600716,NaN,NaN,NaN,NaN,NaN
0.285,7229752,5650920,8462069,5713587,11544681,6402796,6663249,NaN,NaN,NaN,NaN,NaN
0.292,7279441,5567502,8438702,5711312.5,11643805,6467273,6716256,NaN,NaN,NaN,NaN,NaN
0.299,7240502.5,5490129,8357438.5,5690523,11657080,6449378,6710953,NaN,NaN,NaN,NaN,NaN
0.306,7265406,5489125,8356348.5,5610524,11625559,6433456,6596254,NaN,NaN,NaN,NaN,NaN
0.312,7312571,5535584,8360830,5631664,11501726,6478982,6503558,NaN,NaN,NaN,NaN,NaN
0.319,7464861,5503694,8292513,5700316,11554453,6454946,6592230,NaN,NaN,NaN,NaN,NaN
0.326,7855742,5505787,8245389,5701294.5,11999436,6396964,6719969,NaN,NaN,NaN,NaN,NaN
0.333,8068336,5559251,8200222.5,5651853,12606511,6470000,6801881,NaN,NaN,NaN,NaN,NaN
0.34,8053329,5490507,8171484,5615479,12543069,6501585,6746098,5760181.5,NaN,NaN,NaN,NaN
0.347,8111161,5520097,8193894,5624075,12696559,6455594,6732675,5763799,NaN,NaN,NaN,NaN
0.354,8130201,5537481,8236102,5667595,12710844,6446877,6694826,5781034,NaN,NaN,NaN,NaN
0.361,8137578.5,5472626,8206386.5,5637813,12596334,6504106.5,6665708.5,5741250,NaN,NaN,NaN,NaN
0.368,8204230,5505635,8138552,5612447,12537443,6602992,6673907.5,5689402,NaN,NaN,NaN,NaN
0.375,8221918.5,5516571,8140039,5655379,12334158,6569748.5,6655685.5,5649094,NaN,NaN,NaN,NaN
0.382,8216016,5507815,8123225.5,5659246,12193294,6461127,6667077,5615673,NaN,NaN,NaN,NaN
0.389,8354809,5500317,8161040,5641184,12188352,6506355.5,6688406.5,5623432,NaN,NaN,NaN,NaN
0.396,8405145,5464664,8181982,5641425,12293122,6514923,6693645,5586189,NaN,NaN,NaN,NaN
0.403,8360607,5486477,8343179,5598747,12550903,6578029,6668629.5,5627858,NaN,NaN,NaN,NaN
0.41,8382857,5416170,8431241,5560142,12622099,6609088.5,6656657,5694920,NaN,NaN,NaN,NaN
0.417,8482993,5398551,8474290,5554596,12490440,6553517,6689524.5,5662457,NaN,NaN,NaN,NaN
0.424,8579337,5397659,8414044,5519692,12427718,6482762,6717854.5,5689833,NaN,NaN,NaN,NaN
0.431,8555140,5407691,8395130,5561245,12340417,6465890,6722290,5660067,NaN,NaN,NaN,NaN
0.437,8627530,5416271,8426482,5585714,12147636,6560344.5,6707887,5631578,NaN,NaN,NaN,NaN
0.444,8676435,5458824,8444360,5653776,12130271,6585392,6628733,5593960,NaN,NaN,NaN,NaN
0.451,8626357,5548968,8494009,5701412,12207804,6543418.5,6651026.5,5585537,NaN,NaN,NaN,NaN
0.458,8613753,5539477,8549228,5704640,12181603,6580910,6671614,5615826,NaN,NaN,NaN,NaN
0.465,8679045,5489410,8489601,5769756.5,12044503,6565711,6630947,5587295,NaN,5646304,NaN,NaN
0.472,8832459,5510783,8527888,5786049,12061128,6555936,6637685,5591426,NaN,5649599,NaN,5628293
0.479,8948202,5493455,8554138,5846779,12110566,6569692,6661502.5,5661056,NaN,5711601.5,NaN,5650976
0.486,9051761,5534091,8504948,5862857,12022093,6531348,6632171.5,5610532,NaN,5685780,NaN,5702274
0.493,9100274,5492844,8461396,5844647.5,12041476,6491249,6566243.5,5629474,NaN,5675894,NaN,5633847
0.5,9167832,5469341,8450438,5862392,11999396,6474683,6610851,5640784,NaN,5730705.5,NaN,5570485
0.507,9128644,5539613,8491564,5848474,11788941,6450350,6625149,5655338,NaN,5732297.5,NaN,5616914
0.514,9108681,5482139,8456187,5908306,11688421,6476772,6579606,5651531,NaN,5771205,NaN,5555278
0.521,9096219,5482949,8434020,5863076,11815803,6446335,6666359.5,5678285,NaN,5769822,NaN,5535000
