Hours,cfl-1,cfl-2,cfl-3,cfl-4,cfl-5,cfl-6,cfl-7,cfl-8,ncfl-1,ncfl-2,ncfl-3,ncfl-4,ncfl-5,ncfl-6,ncfl-7,ncfl-8
7.166666667,7401002,4078079,5556394,3923015,4813013,4982800,4920037,4507728,9371536,5700636,8097064,5710823,11975488,6342834.5,6886175.5,6053551
7.333333333,7401002,4078079,5556394,3923015,4813013,4982800,4920037,4507728,9392181,5716244,8126185,5712814,12026584,6313845.5,6855618.5,6110194
7.5,7285495,4094508,5485534,3921280,4832136,4993355,4911308,4503879,9362888,5739164,8152969,5686390,12009732,6350801,6920396,6155422
7.666666667,7196048,4079901,5525059,3937547,4846387,5000499,4970014,4503838,9343181,5749405.5,8179719,5628573,11892956,6327120,7000395,6138196
7.833333333,7196048,4079901,5525059,3937547,4846387,5000499,4970014,4503838,9422523,5677064,8245590,5612040,11803913,6306611,6935443,6160743.5
8,7157477,4071901,5513284,3955102,4861176,5056646,4994692,4514072,9469721,5693970,8256025.5,5573093,11843847,6315452,6985040,6204076.5
8.166666667,7120033,4048612,5518995,3947172,4917387,5103649,5034695,4498457,9539443,5681433,8283306,5565580,11888914,6285314,7024435,6150415.5
8.333333333,7121770,4068833,5539406,3938160,4968486,5169689,5038510,4577683,9560404,5642312,8302947,5565418,11736281,6265554,7009876,6168476
8.5,7173983,4106513,5564812,3987631,4948482,5182719,5059028,4561317,9561142,5566216,8402444,5580256,11613785,6232146,7001815,6261482
8.666666667,7198949,4131283,5619720,4004820,4968910,5191682,5056251,4591940,9562546,5591995,8484752,5602070,11561746,6215403.5,6990788.5,6270918.5
8.833333333,7250783,4154310,5698602,3995426,5036642,5263369,5102253,4659700,9547381,5626379,8543457,5576795,11504485,6248429.5,6961020,6403071.5
9,7401102,4170901,5718217,3996484,5128924,5351517,5183794,4658270,9614067,5590321,8642218,5564614,11337375,6264553,6921569,6412276.5
9.166666667,7433125,4233708,5773990,4024163,5206721,5408347,5212183,4736081,9625893,5473035,8723564,5583443,11157635,6261190.5,6907281,6428383
9.333333333,7413738,4246926,5831740,4062009,5185054,5434729,5202261,4823240,9556243,5426250,8690646,5546122,11152167,6274994,6909479,6474116
9.5,7551782,4262384,5864308,4062453,5183505,5453035,5273982,4819283,9523360,5410284,8721878,5548096,11144927,6218455,6863121,6492234
9.666666667,7651415,4399272,5998308,4127348,5366921,5627563,5410852,4942018,9535067,5374080,8771502,5590594,11139449,6142260,6819234,6522452
9.833333333,7654695,4399272,5998308,4127348,5366921,5627563,5410852,4942018,9592134,5340920,8742534,5554135,11066129,6131280,6786147,6560529
10,7901803,4463480,6237560,4185621.75,5501665,5780813,5614623,5079737,9595098,5248859,8750031,5593095,11014152,6147425,6859744,6534031
10.16666667,8113892,4523871,6418765,4241596,5648071,5932092,5794003,5250744,9595831,5207613,8724072,5684896,11027548,6151900,6862081,6549301
10.33333333,8211708,4620342,6454748,4230387,5691433,6016006,5872563,5347289,9528465,5213977,8636807,5629783,11021331,6178619,6828692.5,6621387
10.5,8231210,4619809,6456859,4225905,5690506,6125484,5955754,5389261,9472255,5209700,8605833,5538294,10996776,6115370,6917571.5,6644972.5
10.66666667,8239919,4643060,6500145,4272343,5732525,6203043,5984530,5469717,9500855,5139973,8518574,5567794,11027238,6096113,6911839,6688604
10.83333333,8265716,4677130,6467199,4274386,5760735,6252806,5985138,5512333,9517956,5145131,8453188,5586021,11052448,6108428.5,6893388,6701743
11,8360914,4667201,6444964,4252105,5890764,6221003,6025886,5577597,9546352,5156341,8436065,5586961,11165350,6104738,7013653,6692485.5
11.16666667,8360914,4667201,6444964,4252105,5890764,6221003,6025886,5577597,9530190,5119131,8390634,5598963,11150571,6094028,7055330,6749160
11.33333333,8286259,4634594,6328630,4318682,5922256,6265630,6047419,5567844,9582239,5093896,8316612,5637653,11504644,6083683.5,7088646,6589034
11.5,8321622,4607705,6277217,4312704,5964996,6320986,6070926,5538228,9620523,5161136,8250576.5,5674307,11837313,6109017,7242952,6468069
11.66666667,8271863,4636499,6293503,4314781,5977896,6344841,6106342,5579664,9632678,5164373,8159290,5681757,12004450,6112578,7348951.5,6468242
11.83333333,8194565,4647612,6257653,4239815,5995386,6265900,6008113,5593980,9674519,5149125,8110569.5,5662157,12006207,6086176.5,7390471.5,6501839.5
12,8180910,4619175,6215400,4194250,5978064,6215681,6041880,5569632,9713404,5151469,7997022.5,5640756,11913204,6059261,7404910,6501335.5
12.16666667,8184895,4588900,6231067,4231501,5992341,6199165,6076669,5517668,9644647,5168056,7855872,5654665,11892616,6062835,7482701,6524453.5
12.33333333,8175435,4574315,6206687,4219300,5993942,6155190,6043539,5468949,9674974,5176098,7762973,5671045,11741739,6040181,7473105,6634482
12.5,8128084,4566002,6193025,4235974,6042039,6108562,6023352,5458081,9703453,5220413,7709690,5612887,11659403,6042943.5,7396877,6746927
12.66666667,8140483,4570470,6172179,4212909,6064298,6091822,6041830,5447845,9703653,5258021,7584869.5,5569906,11576136,6055819,7369039.5,6879401
12.83333333,8129157,4515650,6103082,4192742.75,6037227,6070959,6046033,5457274,9650271,5300516,7570572,5581605,11705645,6015733,7346858,6894656
13,8012910,4502597,6094544,4157739,6104657,6019624,6034497,5445349,9591772,5337670,7543014,5576175,11588932,5953084,7320358,6882909.5
13.16666667,7929553,4448484,6071408,4182186.75,6181492,5971080,6011452,5443907,9545237,5293160,7481707,5559905,11526634,5901269,7358627.5,6860823
13.33333333,7882975,4412758,6021666,4201267,6181734,5963563,6044183,5509026,9560153,5255223,7373063,5552441,11452875,5907713,7383210,6834348.5
13.5,7768628,4402750,6002492,4180691.25,6099286,5943228,6036771,5478602,9590080,5329407,7288952,5531968,11538562,5917594.5,7355368,6826638
13.66666667,7720085,4427553,5948174,4145237,6060022,5885947,6041254,5443158,9546969,5333584,7278878,5521581,11568853,5854572,7327952,6841899.5
13.83333333,7787501,4409911,5941486,4165119,6111010,5859969,6039699,5439175,9483901,5300530,7237217.5,5531997,11612041,5799956,7347790.5,6838155
14,7786167,4422446,5994978,4187220,6151263,5847293,6060576,5456965,9418988,5341888,7248975,5541928,11603694,5859892,7320616.5,6859506
14.16666667,7675959,4442944,6008695,4163777,6161690,5842494,6108961,5470938,9341306,5385691,7260452,5528162,11551775,5824147,7285635,6868529
14.33333333,7643617,4414051,5940252,4155192,6192009,5859153,6066810,5464250,9314967,5312846,7251675,5520140,11426143,5853602,7290694.5,6770742
14.5,7604956,4393113,5926313,4142248,6167282,5863257,6040833,5432463,9281938,5350853,7285445.5,5543864,11367602,5847714,7340435.5,6772494
14.66666667,7497282,4435065,5919229,4132023,6110723,5850763,6006213,5420392,9232552,5420110,7238451,5510609,11281824,5782092,7283590.5,6730466
14.83333333,7480509,4411420,5962505,4152163,6095174,5862866,5997034,5503067,9238999,5409842,7275019.5,5515607,11198197,5767927,7185817,6703702
15,7455141,4399505,5940751,4171522,6129937,5872072,6074375,5444924,9287456,5376992,7301547,5492806,11140308,5726667.5,7102602.5,6724837
15.16666667,7455141,4399505,5940751,4171522,6129937,5872072,6074375,5444924,9250521,5389743,7254910,5467478,11070761,5739069,7080329,6683642
15.33333333,7419198,4385983,5884585,4185707,6078331,5841948,6061796,5504516,9255193,5402163,7266039.5,5474588,10951809,5766901,7020189,6661504
15.5,7460407,4374274,5864602,4164802,6071251,5836055,6019199,5526821,9276927,5375463,7302891,5525581,10983834,5719620,7011416.5,6670089
15.66666667,7469072,4398436,5883218,4170621,6103975,5846266,5994422,5471414,9321372,5368140,7327736,5515740,11006513,5692472,7021499,6691344.5
