B_1,B_3,B_4,T_1,T_3,T_4,G_1,G_3,G_4
3.892414861,3.829113924,6.06737013,7.382352941,6.252373418,7.461038961,3.143962848,3.212025316,3.409902597
3.88003096,3.533227848,6.936688312,7.540247678,5.726265823,7.113636364,3.264705882,3.200949367,3.202922078
3.924148607,3.693829114,7.453733766,7.229876161,6.477848101,8.119318182,3.21749226,2.837816456,3.11038961
3.880804954,3.538765823,8.576298701,7.469814241,6.518196203,7.673701299,2.911764706,3.350474684,3.318181818
3.713622291,3.913765823,8.707792208,6.958978328,6.444620253,7.850649351,3.264705882,2.80221519,3.418831169
3.886996904,3.690664557,9.086038961,6.862229102,6.352848101,8.198863636,2.941950464,3.061708861,3.374188312
3.994582043,3.852056962,10.47727273,7.612229102,6.180379747,8.715909091,3.342879257,2.890031646,3.219155844
3.592879257,3.94778481,10.65584416,6.806501548,6.297468354,8.51461039,3.094427245,3.402689873,3.245941558
4.623065015,4.034810127,11.18668831,7.291795666,6.617088608,8.599025974,3.21130031,3.188291139,3.212662338
5.110681115,4.371835443,13.37012987,7.76006192,6.478639241,9.926136364,3.254643963,3.300632911,3.311688312
4.751547988,4.568829114,11.70941558,7.089009288,6.415348101,8.665584416,3.25,3.256329114,3.496753247
4.715944272,4.191455696,8.143668831,7.844427245,5.96914557,7.247564935,3.641640867,3.107594937,3.224025974
4.747678019,4.647151899,8.778409091,7.919504644,6.454905063,8.167207792,3.238390093,2.88528481,3.068993506
5.32120743,4.632120253,9.374188312,9.321981424,6.34414557,7.943181818,3.213622291,3.118670886,3.318993506
5.034829721,4.464398734,9.689935065,8.561145511,6.506329114,9.23538961,3.376160991,3.200158228,3.242694805
5.173374613,4.378164557,9.417207792,9.10371517,6.063291139,8.501623377,3.645510836,3.353639241,3.155032468
4.866099071,4.482594937,8.316558442,9.030959752,6.223101266,8.489448052,3.275541796,3.043512658,3.075487013
4.895510836,4.565664557,7.704545455,9.015479876,6.995253165,8.041396104,3.433436533,2.928797468,3.256493506
5.414086687,4.053797468,6.415584416,9.157120743,6.372626582,7.603084416,3.18498452,3.117879747,3.512987013
5.125386997,4.856803797,5.593344156,10.26780186,7.465981013,7.787337662,3.212848297,3.283227848,2.861201299
5.332043344,4.387658228,5.853084416,9.503869969,6.472310127,7.612824675,3.440402477,3.294303797,3.117694805
5.591331269,4.571993671,5.241071429,11.29256966,6.257120253,7.254058442,3.452786378,2.689082278,3.18262987
5.527089783,4.560917722,5.185064935,10.87693498,6.67721519,7.629058442,3.256965944,3.193037975,3.016233766
5.558049536,4.66693038,4.245941558,11.20897833,6.350474684,6.965909091,3.623839009,3.109177215,3.314123377
6.073529412,4.591772152,4.415584416,10.98529412,6.532436709,7.563311688,3.602941176,3.191455696,3.228084416
5.964396285,5.136075949,4.280844156,10.8003096,5.977848101,6.619318182,3.582817337,3.279272152,3.049512987
6.60371517,4.79193038,3.977272727,12.42724458,6.850474684,7.323863636,3.505417957,2.981803797,3.00487013
6.273219814,4.680379747,3.736201299,11.6749226,7.076740506,6.769480519,3.46749226,3.309335443,3.295454545
6.809597523,4.828322785,3.580357143,12.6880805,6.751582278,6.679383117,3.332817337,3.370253165,3.116883117
6.157120743,5.181962025,3.732142857,13.17569659,6.877373418,7.392857143,3.76625387,3.462025316,3.423701299
5.785603715,5.632911392,3.662337662,12.34133127,7.13528481,7.579545455,3.808049536,3.579905063,3.051136364
5.946594427,6.299050633,3.534090909,12.36687307,8,6.362012987,3.495356037,2.851265823,3.344155844
5.990712074,6.353639241,3.771915584,12.44117647,8.150316456,6.733766234,3.601393189,2.977848101,3.212662338
5.829721362,5.693037975,4.095779221,13.13622291,8.44778481,7.142045455,3.407120743,3.017405063,3.071428571
6.067337461,5.047468354,3.652597403,13.23684211,7.637658228,6.280032468,3.468266254,2.923259494,3.436688312
5.914086687,5.088607595,3.448863636,12.69427245,8.078322785,7.353084416,3.722136223,3.092563291,3.216720779
5.577399381,5.012658228,3.68262987,13.46671827,6.934335443,7.473214286,4.073529412,3.049050633,3.267857143
5.970588235,4.632120253,3.551948052,14.02708978,7.132120253,6.402597403,3.729102167,2.893987342,3.007305195
6.160990712,4.508702532,3.741071429,14.22678019,6.25,7.222402597,3.885448916,3.375,3.265422078
6.002321981,3.943829114,3.728084416,13.40712074,6.021360759,7.053571429,3.393188854,3.613924051,3.336038961
6.811145511,4.03085443,3.909090909,13.69891641,6.35443038,6.896915584,3.764705882,3.069620253,3.141233766
5.947368421,3.988924051,3.961850649,14.4001548,6.769778481,6.809253247,3.160216718,3.018196203,3.306818182
6.095201238,3.941455696,4.017857143,13.71439628,6.34414557,6.836038961,3.340557276,3.136867089,3.183441558
6.263931889,4.075158228,4.090097403,13.83436533,6.391613924,6.560064935,3.575077399,3.212025316,2.98538961
5.79876161,3.829113924,4.156655844,12.50386997,6.33306962,6.75,3.530959752,3.206487342,3.207792208
5.599845201,3.636867089,4.18262987,11.76934985,6.210443038,6.664772727,3.28869969,2.96914557,3.294642857
6.385448916,3.899525316,4.060876623,13.13312693,6.883702532,6.560876623,3.314241486,3.378955696,2.883928571
6.276315789,3.655063291,4.411525974,11.8630031,6.567246835,7.628246753,3.294891641,3.137658228,2.971590909
5.908668731,3.848892405,4.484577922,11.73529412,6.508702532,7.456980519,3.263157895,3.08306962,3.314123377
5.667182663,3.514240506,4.62012987,11.75619195,5.871835443,7.736201299,3.577399381,2.943829114,3.487012987
5.71130031,3.735759494,4.958603896,11.31501548,5.894778481,7.627435065,3.32120743,3.178797468,3.273538961
6.050309598,3.874208861,4.598214286,11.24690402,6.591772152,7.229707792,3.36996904,3.310917722,3.180194805
5.672600619,3.871835443,5.280032468,12.67879257,6.357594937,7.426948052,3.438080495,2.853639241,3.237012987
5.32120743,3.946993671,4.904220779,10.83359133,6.751582278,8.088474026,3.952786378,2.977848101,3.295454545
5.707430341,3.969936709,5.038961039,10.40866873,6.688291139,8.288149351,3.222910217,3.316455696,2.788149351
5.68498452,3.496044304,5.63474026,10.88003096,5.963607595,7.724025974,3.26625387,3.392405063,3.355519481
5.076625387,3.734968354,5.170454545,10.41099071,6.487341772,8.309253247,3.513157895,3.128164557,3.207792208
5.824303406,3.611550633,6.058441558,10.49535604,6.371835443,7.974837662,3.275541796,2.998417722,3.030844156
5.563467492,3.950158228,6.103896104,9.365325077,6.036392405,8.298701299,3.044117647,3.223101266,3.380681818
5.481424149,3.401898734,5.61038961,9.878482972,6.419303797,8.972402597,3.294891641,3.240506329,3.224837662
5.515479876,3.588607595,6.456168831,9.428018576,6.560917722,8.403409091,3.1625387,3.185917722,2.939123377
5.253095975,3.988924051,6.206168831,10.77244582,6.792721519,7.944805195,3.209752322,3.263449367,2.883116883
5.578947368,3.92721519,6.095779221,10.41408669,6.375791139,7.800324675,3.335139319,3.26028481,3.411525974
5.619195046,3.721518987,6.413149351,10.73839009,6.263449367,8.674512987,3.031733746,3.009493671,3.453733766
5.040247678,3.953322785,6.339285714,10.33049536,5.973101266,7.899350649,3.167182663,2.988924051,3.254058442
4.899380805,3.747626582,6.4375,10.44427245,6.131329114,8.370941558,3.106037152,2.992879747,3.475649351
5.193498452,3.86471519,6.13474026,10.66176471,6.901107595,8.165584416,3.410216718,3.350474684,3.079545455
5.379256966,3.704113924,6.331168831,9.21749226,6.517405063,7.706168831,3.38003096,3.019778481,3.534902597
5.472910217,3.964398734,6.24512987,9.405572755,6.130537975,8.027597403,3.181114551,3.268196203,3.002435065
5.019349845,3.628955696,6.631493506,9.664086687,6.928797468,7.700487013,3.236068111,3.089398734,3.50974026
5.674922601,3.734177215,6.647727273,9.585913313,5.886867089,8.356331169,3.092105263,3.232594937,3.016233766
5.566563467,4.045094937,6.531655844,10.18498452,6.36471519,9.311688312,2.952786378,3.172468354,3.525974026
5.474458204,3.565664557,6.420454545,9.985294118,6.627373418,8.987824675,3.343653251,3.140822785,3.576298701
5.346749226,3.818829114,6.465097403,10.28328173,5.857594937,8.114448052,3.433436533,3.03085443,3.219155844
5.583591331,3.527689873,6.377435065,10.26160991,5.909810127,8.767045455,2.966718266,2.965189873,3.309253247
5.419504644,4.040348101,6.851461039,10.29024768,6.112341772,8.591720779,3.230650155,2.94778481,3.291396104
5.987616099,3.430379747,7.25,10.25154799,5.89556962,8.138798701,3.407120743,3.251582278,3.226461039
5.768575851,4.038765823,6.737824675,11.28328173,6.168512658,8.887175325,3.496904025,3.425632911,3.250811688
5.677244582,3.945411392,5.965097403,9.737616099,6.061708861,8.54788961,3.313467492,3.022151899,3.207792208
5.454334365,3.694620253,6.267857143,9.681888545,6.131329114,8.428571429,3.148606811,3.191455696,3.576298701
6.214396285,3.606012658,6.130681818,10.26780186,6.557753165,8.179383117,3.134674923,3.124208861,3.318181818
5.789473684,3.850474684,6.321428571,10.15479876,7.196993671,8.646915584,3.649380805,3.100474684,3.339285714
5.502321981,3.803797468,6.109577922,9.925696594,6.740506329,9.298701299,3.13003096,3.042721519,3.185064935
5.813467492,3.762658228,5.659090909,10.20433437,6.106803797,8.335227273,3.489164087,3.137658228,3.19237013
5.437306502,3.632911392,5.962662338,9.505417957,6.859177215,8.896103896,2.996904025,2.943037975,3.198051948
5.253869969,3.623417722,6.580357143,9.679566563,6.651898734,7.681818182,3.056501548,3.102848101,3.288149351
5.620743034,3.771360759,6.102272727,9.208978328,6.730221519,8.628246753,3.561919505,3.198575949,3.093344156
5.007739938,3.717563291,5.715909091,8.76625387,6.632911392,7.972402597,3.524767802,3.267405063,2.890422078
5.240712074,3.58306962,5.642045455,9.164860681,6.243670886,8.196428571,3.695820433,3.087816456,3.305194805
5.04876161,3.746044304,5.809253247,9.129256966,6.282436709,9.284902597,3.197368421,2.997626582,3.220779221
5.281733746,3.623417722,5.5625,8.73993808,6.466772152,8.341720779,3.316563467,3.075158228,3.189935065
4.882352941,3.685917722,5.776785714,9.205882353,6.390031646,8.157467532,3.638544892,3.155063291,3.216720779
5.108359133,4.367088608,5.291396104,9.053405573,6.684335443,8.616071429,3.400154799,2.96914557,3.202922078
4.8374613,3.768196203,5.916396104,8.707430341,6.490506329,8.19724026,3.767801858,2.939873418,3.176948052
4.630804954,3.667721519,5.44237013,8.06501548,6.285601266,8.347402597,3.630804954,2.970727848,3.195616883
4.523993808,3.753164557,5.777597403,8.697368421,6.599683544,7.778409091,3.38003096,2.903481013,3.118506494
4.931888545,3.632911392,6.120941558,8.842879257,6.751582278,8.06737013,3.020123839,3.15664557,3.336850649
4.388544892,4.129746835,5.685064935,8.113003096,6.496044304,8.504058442,3.22755418,3.045094937,3.036525974
4.940402477,3.823575949,5.056818182,7.737616099,6.646360759,7.984577922,3.359907121,3.159810127,3.474837662
4.868421053,3.628164557,5.145292208,8.045665635,6.080696203,8.939123377,3.296439628,3.023734177,3.127435065
4.562693498,3.616297468,5.002435065,8.802631579,6.085443038,9.034902597,3.448142415,2.90664557,3.160714286
5.086687307,3.901107595,5.74512987,8.065789474,6.478639241,8.090909091,3.547213622,2.933544304,3.276785714
4.447368421,3.998417722,5.379058442,7.868421053,6.126582278,7.749188312,3.278637771,2.861550633,3.457792208
5.095201238,4.249208861,5.355519481,7.174922601,6.63528481,7.61525974,3.5,3.195411392,3.272727273
4.608359133,3.920886076,5.054383117,7.160990712,6.087025316,8.189123377,3.13003096,3.261867089,3.30275974
4.408668731,3.951740506,5.703733766,7.671826625,6.105221519,7.966720779,3.143962848,3.388449367,3.086850649
4.685758514,3.772943038,5.915584416,7.73374613,6.453322785,8.452922078,3.585913313,3.185126582,3.093344156
4.51006192,3.859177215,5.691558442,7.143962848,6.124208861,8.810064935,3.177244582,2.871044304,3.260551948
4.582817337,4.174841772,6.258928571,6.43498452,7.65585443,8.209415584,3.192724458,3.03085443,3.143668831
4.273993808,4.05221519,6.564123377,7.180340557,6.324367089,8.473214286,3.424148607,3.064873418,3.213474026
4.57120743,4.07278481,6.104707792,7.061145511,5.90585443,8.69237013,3.307275542,3.154272152,2.952922078
4.123065015,3.730221519,6.361201299,7.979876161,6.136075949,8.002435065,2.95123839,3.250791139,3.156655844
4.463622291,3.840981013,6.295454545,7.058049536,6.149525316,8.019480519,3.273993808,3.34414557,3.249188312
4.114551084,3.872626582,6.07711039,7.229876161,6.282436709,7.62987013,3.383126935,3.33306962,3.251623377
4.907120743,3.765822785,5.989448052,7.247678019,6.428797468,7.529220779,3.170278638,2.866297468,3.375
4.145510836,4.696993671,6.270292208,7.28250774,6.603639241,8.49512987,3.256965944,2.976265823,3.217532468
4.486842105,4.1875,5.941558442,7.180340557,6.308544304,8.036525974,3.235294118,2.991297468,3.569805195
4.23993808,3.696202532,5.958603896,6.943498452,6.723892405,8.231331169,3.372291022,2.878955696,3.607142857
3.86377709,4.077531646,5.732954545,6.366099071,6.171677215,7.809253247,3.381578947,2.959651899,3.548701299
3.927244582,3.83306962,6.743506494,7.095975232,5.990506329,8.413149351,3.027863777,3.051424051,3.234577922
4.037925697,4.032436709,6.053571429,6.839783282,6.383702532,8.451298701,3.352941176,2.714398734,3.160714286
4.290247678,4.09335443,6.206168831,7.070433437,6.096518987,8.315746753,3.15247678,3.15585443,3.294642857
4.07120743,4.691455696,6.681818182,7.08126935,6.727848101,8.525974026,3.232972136,3.257911392,3.200487013
4.150928793,4.19778481,6.550324675,7.21130031,6.103639241,8.55275974,3.219814241,2.990506329,3.268668831
4.20123839,3.917721519,5.678571429,7.424922601,6.613924051,9.318993506,3.330495356,2.839398734,3.0625
3.950464396,3.878164557,6.130681818,7.657894737,5.998417722,8.791396104,3.077399381,3.112341772,3.257305195
3.982972136,6.582278481,6.439935065,6.833591331,8.824367089,8.055194805,3.334365325,3.040348101,3.311688312
4.110681115,6.570411392,6.415584416,7.564241486,8.765822785,9.50974026,3.259287926,3.002373418,3.308441558
4.003869969,7.073575949,6.288961039,7.232198142,8.819620253,9.128246753,3.110681115,2.965981013,3.265422078
4.278637771,6.037183544,5.625811688,7.339009288,8.724683544,8.763798701,3.559597523,3.074367089,3.151785714
4.151702786,5.550632911,7.277597403,6.964396285,8.29193038,8.491883117,2.947368421,3.185917722,3.036525974
4.285603715,5.028481013,6.448863636,6.634674923,8.758702532,9.464285714,3.257739938,2.992879747,3.288149351
3.844427245,4.633702532,6.358766234,6.926470588,7.249208861,9.630681818,2.994582043,3.098892405,3.125
4.366099071,4.191455696,6.781655844,6.979102167,7.023734177,8.863636364,3.187306502,3.402689873,3.133928571
4.041795666,4.338607595,6.43262987,7.34752322,6.896360759,8.726461039,3.300309598,3.078322785,3.265422078
4.32120743,4.325949367,6.215909091,7.481424149,6.86471519,10.50811688,3.284829721,2.935126582,3.096590909
4.471362229,3.898734177,6.247564935,6.985294118,6.653481013,9.207792208,3.372291022,3.508702532,3.452922078
4.222136223,4.16693038,6.17775974,7.34752322,6.113132911,8.993506494,3.092879257,3.038765823,3.286525974
4.417956656,3.670094937,5.584415584,7.647058824,5.950949367,8.907467532,3.078947368,3.184335443,3.398538961
4.481424149,3.661392405,6.155032468,7.039473684,6.715189873,8.823863636,3.364551084,3.140822785,3.607142857
4.441950464,3.688291139,5.979707792,7.210526316,6.477056962,9.291396104,3.194272446,3.040348101,3.358766234
4.185758514,4.122626582,5.703733766,7.663312693,6.410601266,8.982142857,3.330495356,3.193829114,3.206980519
4.556501548,3.735759494,5.988636364,8.208204334,6.251582278,8.273538961,3.122291022,3.180379747,3.519480519
4.455108359,4.037974684,6.62987013,7.488390093,6.52056962,9.536525974,3.240712074,3.326740506,3.119318182
4.53250774,3.773734177,6.379058442,8.212074303,6.415348101,8.612012987,2.978328173,3.33306962,3.153409091
4.848297214,3.875791139,6.392857143,7.903250774,6.181170886,10.2849026,3.063467492,2.981803797,3.415584416
5.099071207,3.988132911,6.910714286,8.051857585,6.090981013,8.930194805,3.340557276,3.299050633,3.395292208
4.995356037,4.352848101,6.63961039,7.654024768,5.848892405,9.443993506,3.121517028,3.195411392,3.199675325
5.068885449,3.975474684,6.445616883,8.079721362,5.791139241,9.496753247,3.205882353,3.113132911,3.589285714
5.135448916,4.480221519,7.088474026,7.732198142,6.693037975,10.20941558,3.30495356,3.142405063,3.315746753
5.998452012,4.6875,7.129058442,8.484520124,6.880537975,9.685876623,3.159442724,2.926424051,2.987824675
5.061919505,4.616297468,6.954545455,10.30882353,6.378164557,9.267857143,3.269349845,2.929588608,3.100649351
5.874613003,4.898734177,6.800324675,10.84365325,6.022151899,9.375,3.301083591,3.537974684,3.056006494
6.342105263,4.848892405,7.254058442,11.84907121,6.757120253,8.663961039,3.129256966,3.288765823,3.13961039
6.535603715,5.148734177,6.978084416,12.96439628,6.850474684,9.119318182,3.273219814,3.054588608,3.412337662
6.862229102,5.142405063,7.245941558,13.41950464,6.778481013,8.736201299,3.414086687,3.068037975,3.103896104
6.742260062,5.074367089,6.839285714,13.25464396,6.349683544,8.160714286,3.289473684,3.21835443,3.380681818
6.767027864,5.176424051,6.891233766,11.99071207,6.816455696,9.896103896,3.36377709,3.248417722,3.330357143
6.517027864,5.337816456,7.023538961,12.48452012,6.92721519,8.928571429,3.23993808,3.299050633,3.212662338
7.054179567,5.071202532,6.523538961,13.1625387,7.146360759,9.871753247,3.589009288,2.859177215,2.888798701
7.287151703,5.223892405,6.816558442,13.58823529,6.720727848,8.646103896,3.362229102,3.087816456,3.188311688
7.383900929,4.742879747,6.958603896,14.55572755,6.672468354,9.136363636,3.635448916,3.208860759,3.168019481
7.294891641,4.816455696,7.200487013,16.16873065,6.514240506,9.100649351,3.359133127,2.862341772,3.125811688
8.956656347,4.859177215,6.526785714,18.7120743,6.833860759,9.058441558,3.590557276,3.054588608,3.469967532
8.932662539,4.535601266,6.712662338,18.04179567,6.628955696,8.655844156,3.363003096,2.714398734,3.340909091
8.708204334,4.916139241,6.922077922,17.67337461,5.929588608,9.252435065,3.343653251,3.249208861,3.044642857
9.709752322,4.886075949,6.724025974,23.36455108,6.505537975,8.330357143,3.234520124,3.17721519,3.048701299
9.472136223,4.349683544,6.147727273,31.21904025,6.563291139,9.306006494,3.616099071,3.153481013,3.146915584
9.657120743,4.662183544,6.314123377,34.70975232,6.888449367,8.539772727,3.236068111,3.361550633,3.163961039
9.78869969,4.545886076,6.522727273,39.4373065,6.484177215,8.467532468,3.615325077,3.175632911,2.897727273
10.47755418,4.432753165,7.164772727,41.75386997,6.300632911,9.914772727,3.469814241,3.002373418,3.095779221
