B_1,B_2,B_3,B_4,B_5,B_6,T_1,T_2,T_3,T_4,T_5,T_6,G_1,G_2,G_3,G_4,G_5,G_6,
6.045480713874496,3.603409090909091,3.635,4.222907488986784,14.387842465753424,4.804265041888804,7.283822682786413,7.0494318181818185,7.7275,6.6907488986784145,11.357020547945206,6.662604722010663,2.865860679332182,3.2176136363636365,3.5575,3.1894273127753303,6.219178082191781,2.888804265041889,
6.332181922855498,3.302840909090909,3.6175,4.311894273127753,15.527397260273972,4.68926123381569,7.439263097294186,7.0,7.381666666666667,7.111013215859031,10.475171232876713,6.324447829398324,3.3672999424294763,3.381818181818182,3.245833333333333,2.995594713656388,6.9743150684931505,3.1393754760091395,
6.520437535981578,3.484659090909091,3.4975,3.849339207048458,20.483732876712327,4.405178979436405,7.225676453655728,7.517613636363636,7.08,7.7814977973568284,12.153253424657533,5.761614623000762,2.9199769717904434,3.078977272727273,3.2025,3.1136563876651984,9.97345890410959,2.948971820258949,
6.587219343696027,3.5488636363636363,3.5633333333333335,3.6951541850220266,20.151541095890412,4.183549124143184,7.567645365572827,7.711363636363636,7.431666666666667,7.080176211453744,14.300513698630137,5.9573495811119574,2.874496257915947,3.3335227272727272,3.295,3.239647577092511,9.060787671232877,3.0837776085300836,
6.397812320092113,3.303977272727273,3.4875,3.813215859030837,13.577054794520548,4.584158415841584,7.528497409326425,7.391477272727273,7.019166666666667,7.166519823788546,10.730308219178083,6.51942117288652,3.0823258491652274,3.1488636363636364,3.5775,3.005286343612335,5.595890410958904,2.8834729626808833,
6.266551525618883,3.584090909090909,3.6933333333333334,3.762114537444934,11.970890410958905,4.3076923076923075,7.682210708117444,7.197159090909091,7.973333333333334,7.094273127753304,9.273116438356164,5.813404417364813,3.2078295912492805,3.2869318181818183,3.2241666666666666,2.973568281938326,5.108732876712328,3.095201827875095,
7.025331030512378,3.9573863636363638,3.765833333333333,3.3806167400881058,10.314212328767123,4.485148514851486,7.719631548647093,7.436931818181818,7.349166666666667,7.092511013215859,9.374143835616438,6.188118811881188,3.0236039147956246,3.3125,3.4491666666666667,3.3118942731277534,5.005993150684931,3.060929169840061,
5.5164075993091535,3.6,3.8491666666666666,3.5215859030837002,13.857020547945206,4.752475247524752,8.31203223949338,6.879545454545455,7.509166666666666,7.152422907488987,10.178082191780822,6.262757044935263,2.9798503166378816,3.3443181818181817,3.7075,3.614977973568282,5.934931506849315,3.1393754760091395,
5.940702360391479,3.797159090909091,3.6841666666666666,3.579735682819383,12.563356164383562,4.942878903274943,6.885434657455383,8.045454545454545,7.426666666666667,6.8819383259911895,11.517979452054794,6.3861386138613865,3.063903281519862,3.3727272727272726,3.3475,3.2052863436123347,5.853595890410959,2.974866717440975,
6.17328727691422,3.446022727272727,3.5225,3.6370044052863437,10.508561643835616,4.523990860624524,7.241220495106505,7.047159090909091,6.3966666666666665,7.514537444933921,12.143835616438356,6.274942878903275,3.5659182498560735,3.1460227272727272,3.1266666666666665,3.5013215859030837,5.926369863013699,2.8926123381568924,
6.206102475532528,3.765340909090909,3.9358333333333335,3.724229074889868,10.238013698630137,4.876618431073877,7.498560736902705,7.209659090909091,6.945833333333334,6.942731277533039,11.576198630136986,6.6412795125666415,3.132412204951065,3.6051136363636362,3.2716666666666665,3.188546255506608,5.352739726027397,3.0860624523990863,
5.765687967760506,3.3732954545454548,3.4358333333333335,3.594713656387665,9.882705479452055,4.837014470677837,7.04202648244099,7.225568181818182,7.513333333333334,7.8167400881057265,11.74486301369863,6.2840822543792845,3.07426597582038,3.3068181818181817,3.828333333333333,2.9973568281938325,5.913527397260274,3.3175932977913174,
5.0616004605641916,3.63125,3.6491666666666664,3.7022026431718063,9.466609589041095,4.523990860624524,6.51237766263673,7.151136363636364,7.171666666666667,7.393832599118943,11.887842465753424,5.7227722772277225,3.378238341968912,3.522727272727273,3.234166666666667,3.26431718061674,4.821917808219178,3.246001523229246,
5.389176741508348,3.728409090909091,3.3783333333333334,3.8229074889867842,7.964041095890411,4.70982482863671,6.826137017846863,7.948863636363637,7.2225,6.518061674008811,11.507705479452055,5.9504950495049505,3.4392630972941856,3.325568181818182,3.6058333333333334,3.4229074889867843,4.834760273972603,3.054074638233054,
5.040875071963155,3.94375,3.908333333333333,3.93215859030837,7.207191780821918,4.789032749428789,6.761658031088083,7.833522727272728,8.155,7.4493392070484585,11.379280821917808,6.332063975628332,3.0397236614853194,3.3738636363636365,2.9991666666666665,3.0599118942731276,4.6215753424657535,3.1317593297791317,
4.911341393206678,3.9647727272727273,3.6966666666666668,3.824669603524229,7.381849315068493,4.964965727341965,6.652274035693725,7.515340909090909,7.306666666666667,6.802643171806167,11.405821917808218,5.884996191926885,2.897524467472654,3.1642045454545453,3.4858333333333333,3.34273127753304,4.495719178082192,3.0548362528560546,
4.822682786413356,3.699431818181818,4.0625,3.8096916299559473,7.1875,5.3351104341203355,6.664363845710996,7.617045454545455,7.78,7.33568281938326,11.690924657534246,5.824067022086824,2.9107656879677606,3.390340909090909,3.2608333333333333,3.2969162995594714,4.369006849315069,3.4653465346534653,
4.789291882556132,3.891477272727273,3.6216666666666666,3.3251101321585903,7.738869863013699,5.095963442498096,6.287852619458837,6.807954545454545,7.4725,7.661674008810572,10.82876712328767,5.623762376237623,3.0788716177317212,3.2505681818181817,3.6108333333333333,3.1841409691629954,4.569349315068493,3.2856054836252855,
4.482440990213011,4.235795454545454,3.7775,3.5083700440528633,7.0993150684931505,5.087585681645088,6.6850892343120325,7.2875,7.0525,7.179735682819383,10.981164383561644,6.440974866717441,2.906735751295337,3.05625,3.4466666666666668,3.150660792951542,3.9648972602739727,3.2977913175932976,
4.469199769717904,4.1551136363636365,3.9208333333333334,3.79295154185022,6.89554794520548,5.031987814166032,6.392630972941854,6.985227272727273,7.206666666666667,7.608810572687225,11.106164383561644,5.97029702970297,3.1859527921704087,3.2488636363636365,3.0408333333333335,3.029955947136564,4.095890410958904,3.1774562071591776,
4.615428900402994,4.319886363636364,3.714166666666667,3.643171806167401,5.94263698630137,5.026656511805027,6.02705814622913,6.9556818181818185,7.443333333333333,8.065198237885463,10.57791095890411,5.932216298552932,3.277489925158319,3.261931818181818,3.4383333333333335,3.170044052863436,3.7482876712328768,3.53008377760853,
4.432930339666091,4.306818181818182,3.8433333333333333,3.3030837004405287,6.458904109589041,5.163747143945164,6.696027633851468,7.273863636363636,6.930833333333333,6.699559471365639,9.200342465753424,6.304645849200305,3.1352907311456533,3.3,3.1391666666666667,3.0704845814977975,3.4888698630136985,3.1028179741051027,
