B_1,B_2,B_3,B_4,B_5,B_6,T_1,T_2,T_3,T_4,T_5,T_6,G_1,G_2,G_3,G_4,G_5,G_6,
3.6076923076923078,3.7615384615384615,4.75458115183246,3.149972329828445,3.196138211382114,3.8243361540706156,6.771794871794872,7.3820512820512825,6.869764397905759,5.29109020475927,5.92479674796748,6.300554420776189,3.2897435897435896,3.164102564102564,3.4018324607329844,2.9280575539568345,3.241361788617886,3.1333527866939015,
3.519230769230769,3.443589743589744,5.269633507853404,3.028223574986165,3.2347560975609757,3.6002334403268166,7.069230769230769,7.611538461538461,7.341623036649215,6.2219147758716105,5.787601626016261,6.199299679019551,3.2615384615384615,3.3153846153846156,3.3789267015706805,2.8461538461538463,3.1595528455284554,3.1952144733002625,
3.882051282051282,3.3884615384615384,5.021596858638744,3.1178749308245712,3.2428861788617884,3.785234899328859,7.11025641025641,8.003846153846155,6.875,5.811842833425567,6.275406504065041,5.77560548584768,3.223076923076923,3.358974358974359,3.514397905759162,2.8887659103486443,2.9115853658536586,3.1181791654508317,
2.9846153846153847,3.858974358974359,5.395942408376963,3.198671831765357,3.561991869918699,3.766851473592063,7.07051282051282,7.797435897435897,7.099476439790576,5.888212506917543,6.227642276422764,6.466005252407354,2.95,3.132051282051282,3.7945026178010473,3.2064194798007746,3.051321138211382,2.907207470090458,
3.7987179487179485,3.5589743589743588,5.189790575916231,3.271721084670725,3.296747967479675,3.9924131893784653,7.006410256410256,7.388461538461539,6.231675392670157,5.727725511898174,6.453252032520325,6.01021301429822,3.5884615384615386,3.1115384615384616,3.0026178010471205,3.0193691200885446,3.0477642276422765,2.918879486431281,
3.5833333333333335,3.6846153846153844,4.603403141361256,3.2850027670171555,3.5838414634146343,3.910125474175664,7.183333333333334,7.544871794871795,6.93586387434555,5.453237410071942,6.287601626016261,6.545666763933469,3.5064102564102564,3.094871794871795,3.451570680628272,3.2678472606530162,3.091971544715447,3.2375255325357455,
3.6910256410256412,3.7064102564102566,4.448952879581152,3.8920863309352516,3.4989837398373984,4.105631747884447,6.994871794871795,7.351282051282051,6.524214659685864,6.160486995019369,6.40599593495935,6.444995622993872,3.223076923076923,3.3089743589743588,3.3527486910994764,2.941339236303265,3.144308943089431,3.1155529617741466,
3.546153846153846,3.4935897435897436,4.05890052356021,3.1776425013835086,3.182418699186992,3.8879486431281003,7.6320512820512825,7.326923076923077,6.602748691099476,6.066961815163254,6.577743902439025,6.2042602859644,3.0076923076923077,3.385897435897436,3.1452879581151834,2.9745434421693413,2.9146341463414633,2.991829588561424,
3.5743589743589745,3.437179487179487,4.567408376963351,3.318760376314333,3.850609756097561,3.9238400933761306,7.142307692307693,7.006410256410256,7.685209424083769,5.276701715550637,5.914634146341464,6.2378173329442665,3.1025641025641026,3.3615384615384616,3.0641361256544504,2.9961261759822913,2.9146341463414633,3.190837467172454,
3.235897435897436,3.458974358974359,4.634816753926701,3.6801328168234644,3.3155487804878048,3.9142106798949516,7.329487179487179,7.696153846153846,7.047120418848167,5.7780852241283895,6.311991869918699,6.253866355412898,2.9525641025641027,3.2564102564102564,3.1537958115183247,2.912562257885999,2.967479674796748,2.9798657718120807,
