B_1,B_2,B_3,T_1,T_2,T_3,G_1,G_2,G_3,
3.695530726256983,3.47718588446842,4.513736263736264,6.8053072625698325,7.162957968082715,6.677197802197802,3.17695530726257,3.2180265228141156,2.980769230769231,
3.751536312849162,3.51022701730726,4.56043956043956,6.664106145251397,7.248145650708024,7.232829670329671,3.0935754189944134,3.1384580804675206,3.448489010989011,
3.861731843575419,3.5841762193751405,4.147664835164835,6.927793296089385,7.667565745111261,6.482142857142857,3.256703910614525,3.1348617666891436,2.9024725274725274,
3.8289106145251397,3.4765115756349743,4.392857142857143,6.950977653631285,7.681951000224769,7.268543956043956,3.037709497206704,3.127893908743538,2.9532967032967035,
3.613687150837989,3.5156214879748258,4.268543956043956,7.023044692737431,7.184535850752979,7.0776098901098905,3.011173184357542,3.1380085412452234,3.239010989010989,
3.942877094972067,3.6525061811643065,3.808379120879121,6.834357541899442,7.01258709822432,6.171016483516484,3.1354748603351954,3.259159361654304,2.9725274725274726,
3.7878491620111734,3.301865587772533,3.9388736263736264,6.814804469273743,7.257585974376265,6.242445054945055,3.2231843575418995,3.2454484153742413,3.118818681318681,
3.6585195530726256,3.572937738817712,4.326236263736264,6.959357541899442,7.253090582153293,6.142170329670329,3.221368715083799,3.2164531355360757,2.8118131868131866,
3.4360335195530727,3.617442121825129,4.21565934065934,6.915782122905028,7.488424365025849,6.46978021978022,3.1115921787709495,3.248370420319173,3.135302197802198,
3.75963687150838,3.947403910991234,4.662087912087912,6.64413407821229,7.4079568442346595,6.184752747252747,3.1171787709497205,3.232861317149921,3.084478021978022,
3.6353351955307263,3.884693189480782,4.739697802197802,6.989106145251396,6.931894807821982,6.2348901098901095,3.0425977653631286,3.0820409080692293,2.9862637362637363,
3.738826815642458,3.5888963812092607,4.392857142857143,6.795670391061453,7.379186334007642,5.945054945054945,3.198463687150838,3.320296695886716,3.066620879120879,
3.563687150837989,3.4929197572488198,4.042582417582418,7.020949720670391,7.097100472016184,7.1826923076923075,3.310055865921788,3.188806473364801,2.9773351648351647,
3.8427374301675976,3.4805574286356484,4.038461538461538,6.856424581005586,7.09282984940436,6.839972527472527,3.2124301675977653,3.122049898853675,3.4608516483516483,
3.576117318435754,3.639244774106541,4.302197802197802,6.786033519553072,7.124297594965161,5.884615384615385,3.1409217877094973,3.0903573836817264,3.183379120879121,
3.514245810055866,3.5416947628680604,3.8482142857142856,6.635055865921788,7.177343223196224,6.47184065934066,3.131005586592179,3.2699483029894356,3.0027472527472527,
3.5139664804469275,3.3621038435603507,4.178571428571429,6.859497206703911,7.4499887615194424,6.881181318681318,3.0569832402234636,3.1553158013036637,3.008241758241758,
3.547905027932961,3.565070802427512,3.5762362637362637,7.145391061452514,7.273769386378961,5.971153846153846,3.1152234636871508,3.0418071476736346,3.044642857142857,
3.5797486033519554,3.3627781523937963,3.5645604395604398,6.833659217877095,7.147224095302315,5.962225274725275,3.2201117318435752,3.301416048550236,3.04532967032967,
3.4900837988826816,3.5073050123623286,3.495879120879121,6.931703910614525,7.151944257136435,6.326923076923077,3.1185754189944133,3.1712744436952125,3.0206043956043955,
3.635195530726257,3.3596313778377165,3.32967032967033,7.329329608938547,7.228141155315801,6.882554945054945,3.048463687150838,3.26140705776579,3.15728021978022,
3.420391061452514,3.599011013710946,3.676510989010989,6.92108938547486,7.451112609575185,6.126373626373627,3.167039106145251,3.094628006293549,3.209478021978022,
3.720391061452514,3.522139806698134,3.67239010989011,6.957541899441341,6.952573612047651,6.394230769230769,3.138826815642458,3.4421218251292425,3.118818681318681,
3.6266759776536315,3.406608226567768,3.7747252747252746,7.285754189944134,7.414924702180265,6.0054945054945055,3.1860335195530727,3.218476062036413,3.0494505494505493,
3.566201117318436,3.3773881771184535,3.849587912087912,6.587150837988827,7.010788941335131,5.948489010989011,3.1694134078212293,3.2616318273769385,2.9361263736263736,
3.629050279329609,3.641942009440324,3.6868131868131866,7.2863128491620115,7.468644639244774,6.03228021978022,3.089664804469274,3.2753427736570018,3.04532967032967,
3.3715083798882683,3.5758597437626434,3.64010989010989,7.216899441340782,7.132389300966509,6.483516483516484,3.125977653631285,3.0658574960665317,3.0418956043956045,
3.579050279329609,3.6230613621038437,3.818681318681319,7.03840782122905,7.343897505057316,6.548763736263736,3.0736033519553074,3.0723758147898406,2.84478021978022,
3.6268156424581006,3.539222297145426,4.3489010989010985,7.212849162011173,7.00157338727804,6.579670329670329,2.9793296089385475,3.1631827376938637,3.3434065934065935,
3.5879888268156424,3.5920431557653405,3.978708791208791,6.7261173184357546,7.056417172398292,6.035714285714286,2.987569832402235,3.160485502360081,3.17239010989011,
3.7027932960893857,3.649808945830524,3.9498626373626373,6.89036312849162,6.934816812766914,6.281593406593407,3.196368715083799,3.3576084513373794,3.2410714285714284,
3.5192737430167598,3.6183412002697235,4.054258241758242,6.772625698324022,7.409080692290402,6.8083791208791204,3.1931564245810056,3.0818161384580804,3.1881868131868134,
3.548463687150838,3.857945605754102,4.477335164835165,6.983379888268156,7.136884693189481,6.053571428571429,3.174441340782123,3.0366374466172172,3.1160714285714284,
3.803631284916201,3.899078444594291,3.9711538461538463,6.93659217877095,7.271521690267476,5.9114010989010985,3.215921787709497,3.1755450663070355,2.7925824175824174,
4.01536312849162,4.001123848055743,3.650412087912088,6.893575418994414,6.760170824904473,6.648351648351649,3.081564245810056,3.2805124747134187,3.096840659340659,
3.868435754189944,3.498089458305237,3.815934065934066,6.765223463687151,6.914138008541245,6.565934065934066,3.14804469273743,3.1568891885817036,2.784340659340659,
3.743435754189944,3.55428186109238,3.8358516483516483,7.277932960893855,6.974601033940211,6.527472527472527,3.08840782122905,3.1438525511350863,3.092032967032967,
3.804608938547486,3.556080017981569,4.529532967032967,6.597765363128492,7.111036187907395,6.091346153846154,3.0727653631284917,3.154641492470218,3.072802197802198,
3.8945530726256985,3.666441897055518,3.7369505494505493,6.809357541899441,7.061137334232412,6.602335164835165,3.1991620111731844,3.0962013935715893,3.0913461538461537,
4.217737430167598,3.623286131714992,3.7122252747252746,6.987569832402235,7.492470218026523,6.710851648351649,3.0023743016759776,3.364576309282985,3.23282967032967,
3.997905027932961,3.54641492470218,3.7960164835164836,6.950139664804469,6.702405034839289,6.593406593406593,3.2431564245810054,3.198921105866487,3.1414835164835164,
3.9906424581005586,3.6041807147673635,3.826923076923077,6.8532122905027935,7.001798156889189,5.996565934065934,3.3182960893854747,3.087210609125646,3.180631868131868,
4.032402234636871,3.7345470892335357,3.7451923076923075,6.704050279329609,6.992357833220948,6.302197802197802,3.1868715083798884,3.02202742189256,3.0054945054945055,
4.22891061452514,3.8718813216453136,3.9244505494505493,7.038687150837989,7.043605304562823,6.434065934065934,3.052653631284916,3.1164306585749606,2.929258241758242,
4.010893854748604,3.704203191728478,3.8873626373626373,6.479050279329609,7.038210833895257,6.095467032967033,3.1041899441340783,3.1366599235783323,2.9835164835164836,
4.104608938547486,3.655877725331535,3.5288461538461537,6.847905027932961,7.1706001348617665,6.086538461538462,3.2195530726256982,3.336030568667116,3.1799450549450547,
3.998463687150838,3.558777253315352,4.4010989010989015,6.843854748603352,7.174421218251292,5.886675824175824,3.083240223463687,2.955720386603731,2.7767857142857144,
4.010055865921788,3.690717015059564,3.978021978021978,6.771648044692737,7.1706001348617665,6.311813186813187,3.106703910614525,3.259384131265453,3.0638736263736264,
3.971508379888268,3.5873229939312203,3.65521978021978,6.692458100558659,7.74016632951225,6.499313186813187,3.117737430167598,3.2944481906046303,3.3200549450549453,
4.126536312849162,3.7194875252865813,3.3440934065934065,6.776117318435754,7.106091256462126,6.196428571428571,3.09036312849162,3.271072151045179,3.205357142857143,
4.165782122905028,3.601708249044729,3.6717032967032965,6.661731843575419,7.070128118678355,6.329670329670329,3.208798882681564,3.088334457181389,2.669642857142857,
4.071927374301676,3.6736345246122726,3.556318681318681,6.861312849162011,7.046077770285457,6.157967032967033,3.185195530726257,3.1296920656327263,3.052197802197802,
4.045810055865922,3.5441672285906947,3.3633241758241756,6.8518156424581,6.548437851202517,5.857142857142857,3.2360335195530725,3.220948527759047,3.135302197802198,
3.844972067039106,3.550910316925152,3.822802197802198,6.792458100558659,7.331310406832996,6.412087912087912,3.1543296089385473,3.1371094628006295,3.146291208791209,
3.923603351955307,3.8249044729152617,3.5913461538461537,7.122486033519553,7.174196448640144,5.914148351648351,3.130167597765363,3.2859069453809844,3.14010989010989,
