B_1,B_2,B_3,T_1,T_2,T_3,G_1,G_2,G_3,
3.3912454873646207,3.3707627118644066,3.348176718092567,6.5171480144404335,6.390065913370998,6.257363253856942,3.1800541516245486,3.0586158192090394,3.1493688639551194,
3.5703971119133575,3.368879472693032,3.5098176718092566,6.896209386281589,6.450800376647834,6.923913043478261,2.9945848375451263,3.068502824858757,3.1690042075736327,
3.487815884476534,3.395951035781544,3.7159887798036464,6.688628158844765,6.30861581920904,6.674964936886395,3.2188628158844765,3.057674199623352,3.2019635343618513,
3.476534296028881,3.4065442561205272,3.2812061711079945,7.332129963898917,6.743173258003766,6.3962131837307155,3.171931407942238,3.0965160075329567,3.0017531556802246,
3.621841155234657,3.444915254237288,3.23492286115007,6.675090252707581,6.793079096045198,6.494740532959327,3.095667870036101,3.021892655367232,3.052244039270687,
3.384025270758123,3.2980225988700567,3.44039270687237,6.171480144404332,6.405367231638418,6.6335904628331,2.9476534296028882,3.053672316384181,3.0932678821879382,
3.6272563176895307,3.5388418079096047,3.406030855539972,6.731046931407942,6.229048964218456,6.376928471248247,3.0843862815884475,3.083568738229755,3.2514025245441793,
3.233303249097473,3.5645009416195856,3.3639551192145865,6.9891696750902526,6.379943502824859,6.5231416549789625,3.4025270758122743,3.0141242937853105,3.4039270687237027,
3.6620036101083033,3.367467043314501,3.485974754558205,6.850180505415162,6.590866290018832,6.612201963534362,2.982400722021661,3.0753295668549905,3.224053295932679,
3.3939530685920576,3.483286252354049,3.23562412342216,6.872743682310469,6.309792843691149,6.706521739130435,3.1832129963898916,3.2038606403013183,3.3260869565217392,
3.8497292418772564,3.565442561205273,3.476507713884993,6.382671480144404,6.582391713747646,6.10203366058906,3.115974729241877,2.9597457627118646,3.0711781206171107,
3.5934115523465704,3.4277306967984935,3.565918653576438,7.013537906137184,6.720574387947269,7.090462833099579,3.1101083032490973,3.0640301318267418,3.1016830294530155,
3.612815884476534,3.53319209039548,3.291374474053296,7.334386281588448,6.347222222222222,6.655680224403927,3.233303249097473,3.0692090395480225,3.33765778401122,
3.461191335740072,3.4237288135593222,3.8534361851332397,7.349729241877256,6.259416195856874,6.4284712482468445,3.351985559566787,3.1379472693032016,3.2685834502103788,
3.4151624548736463,3.130649717514124,3.6609396914446,6.424638989169675,6.397128060263653,6.741234221598878,3.207581227436823,3.233286252354049,3.0361150070126226,
3.5609205776173285,3.6749058380414312,3.2426367461430576,6.9201263537906135,6.430555555555555,6.710378681626929,3.282942238267148,3.0009416195856873,3.014025245441795,
3.5843862815884475,3.3940677966101696,3.088008415147265,6.988718411552346,6.552966101694915,6.470196353436185,2.9810469314079424,3.10710922787194,3.0838008415147264,
3.73014440433213,3.3177966101694913,3.329943899018233,7.282942238267148,6.196798493408663,6.690743338008415,3.3993682310469313,2.993879472693032,3.11781206171108,
3.5694945848375452,3.527542372881356,3.585904628330996,7.050992779783393,6.374058380414312,7.234572230014026,3.336191335740072,2.9277306967984935,3.0445301542777,
3.4187725631768955,3.3253295668549905,3.315918653576438,6.733754512635379,6.297551789077213,6.662692847124824,2.927797833935018,3.016713747645951,3.1065918653576436,
3.6110108303249095,3.297316384180791,3.4751051893408134,6.530685920577618,6.391713747645951,6.963534361851332,3.1200361010830324,2.8055555555555554,3.226858345021038,
3.555956678700361,3.4154896421845575,3.491234221598878,6.824909747292419,6.3253295668549905,6.535413744740533,3.1728339350180503,3.0084745762711864,3.211430575035063,
3.5288808664259927,3.5435499058380415,3.6819775596072932,6.5451263537906135,6.316619585687382,6.8962131837307155,3.1028880866425994,3.0885122410546137,3.046283309957924,
3.655234657039711,3.5833333333333335,3.6132538569424963,6.874097472924188,6.43361581920904,6.434081346423563,3.1389891696750905,3.211629001883239,2.950911640953717,
3.737364620938628,3.370527306967985,3.5361150070126226,6.265342960288809,6.397834274952919,6.52875175315568,3.0898014440433212,3.1982109227871938,3.1507713884992987,
3.338898916967509,3.422080979284369,3.508765778401122,6.787454873646209,6.471751412429379,6.762622720897616,2.9688628158844765,2.9797551789077215,2.9782608695652173,
3.7184115523465704,3.506591337099812,3.7342215988779803,6.643953068592058,6.165960451977401,6.952664796633941,3.384927797833935,3.150659133709981,3.173211781206171,
3.5604693140794224,3.476930320150659,3.388148667601683,6.900270758122744,6.034133709981168,6.222300140252455,3.0148916967509027,3.157015065913371,3.08835904628331,
3.723375451263538,3.4197269303201505,3.3197755960729314,6.572653429602888,6.3363935969868175,6.788569424964937,2.865974729241877,2.9289077212806025,3.264025245441795,
3.7125451263537905,3.5739171374764593,3.386395511921459,6.765342960288809,6.65042372881356,7.028401122019635,3.121389891696751,2.972928436911488,3.4894810659186537,
3.5938628158844765,3.7401129943502824,3.4982468443197754,6.401173285198556,6.328154425612053,6.798737727910239,3.1863718411552346,3.146421845574388,3.046984572230014,
3.7188628158844765,3.550376647834275,3.5361150070126226,6.59115523465704,6.1158192090395485,6.464235624123422,3.4002707581227436,3.1516007532956687,3.151823281907433,
3.5613718411552346,3.7855461393596985,3.6076437587657786,7.014440433212997,6.050141242937853,6.628330995792426,3.2157039711191335,3.0762711864406778,3.096774193548387,
3.621389891696751,3.9124293785310735,3.6605890603085554,7.007671480144404,6.476459510357816,6.666549789621318,3.0,3.0037664783427496,3.046283309957924,
3.5288808664259927,4.004708097928437,3.4540673211781208,6.496841155234657,6.545433145009416,6.532959326788219,3.5189530685920576,3.054613935969868,3.011921458625526,
3.550541516245487,4.227165725047081,3.3604488078541372,6.333935018050542,6.768361581920904,6.480715287517532,3.372292418772563,2.88771186440678,3.3723702664796633,
3.598826714801444,3.7431732580037664,3.8516830294530155,6.544223826714801,6.579566854990584,6.299789621318373,3.1299638989169676,2.9552730696798495,3.064165497896213,
3.746389891696751,3.835216572504708,4.05890603085554,6.901173285198556,6.1746704331450095,6.1683029453015426,2.8939530685920576,2.923964218455744,3.1430575035063115,
3.69043321299639,3.9788135593220337,4.310659186535764,6.538357400722021,6.523540489642184,6.173562412342216,3.1629061371841156,3.104990583804143,2.9982468443197754,
3.6164259927797833,3.910310734463277,4.107293127629734,7.0171480144404335,6.633239171374765,6.425666199158485,3.0676895306859207,3.053672316384181,3.306100981767181,
3.4778880866425994,3.5725047080979286,4.187938288920056,6.915613718411552,6.350517890772128,6.196704067321178,3.186823104693141,3.353578154425612,3.0774894810659186,
3.6462093862815883,3.8782956685499057,4.224403927068724,6.963898916967509,6.463512241054614,6.4989481065918655,3.056859205776173,3.0160075329566856,3.0515427769985974,
3.82129963898917,3.8069679849340865,3.8169705469845723,6.7080324909747295,6.279425612052731,6.629382889200561,3.013086642599278,3.3104990583804144,3.091514726507714,
3.6236462093862816,3.6146421845574386,3.8369565217391304,6.674187725631769,6.483757062146893,6.433380084151473,3.302797833935018,3.023069679849341,3.012272089761571,
3.3944043321299637,3.7507062146892656,3.770336605890603,6.9580324909747295,6.192090395480226,6.800490883590463,2.9945848375451263,3.177024482109228,3.1907433380084154,
3.405234657039711,3.9691619585687383,3.837307152875175,7.3546931407942235,6.356638418079096,6.478611500701263,2.910649819494585,3.3476930320150657,3.156030855539972,
3.5045126353790614,3.7735404896421847,3.60273492286115,6.9860108303249095,6.116525423728813,6.100981767180926,3.32129963898917,3.0934557438794728,2.9516129032258065,
3.6132671480144403,3.693973634651601,3.7847124824684433,6.509927797833935,6.373587570621469,6.547335203366059,2.835740072202166,3.178436911487759,3.2159887798036464,
3.7247292418772564,3.523069679849341,3.5487377279102383,7.083483754512636,6.345574387947269,6.273492286115007,3.2084837545126352,3.1671374764595104,3.1406030855539973,
3.9679602888086642,3.654190207156309,3.6311360448807855,7.43456678700361,6.580979284369115,6.605890603085554,3.036552346570397,3.0023540489642184,3.170056100981767,
3.583032490974729,3.6334745762711864,3.7535063113604488,6.438628158844765,6.510828625235405,6.188288920056101,3.036552346570397,3.026129943502825,2.9894810659186537,
3.7351083032490973,3.7356403013182673,3.6844319775596075,6.582581227436823,6.244350282485875,6.464235624123422,3.0961191335740073,3.065677966101695,3.096774193548387,
3.6069494584837547,3.665960451977401,3.334502103786816,6.5861913357400725,6.339689265536723,6.196704067321178,3.45442238267148,2.943267419962335,2.859046283309958,
3.5306859205776173,3.772598870056497,3.7724403927068724,6.878158844765343,6.127354048964219,6.305049088359047,2.937725631768953,3.231167608286252,2.9179523141654977,
3.7152527075812274,3.702683615819209,3.6129032258064515,6.629061371841155,6.528954802259887,6.17601683029453,3.240072202166065,3.180084745762712,3.136395511921459,
3.8772563176895307,3.6624293785310735,3.5992286115007013,7.013086642599278,6.272128060263653,6.459677419354839,2.9327617328519855,3.025894538606403,3.1072931276297333,
3.4327617328519855,3.744350282485876,3.562762973352034,7.296028880866426,6.2886064030131825,6.6946002805049085,2.9986462093862816,2.9839924670433144,3.408485273492286,
3.70442238267148,3.6772598870056497,3.5445301542777,7.000451263537906,6.2763653483992465,6.5673211781206176,3.0938628158844765,2.9580979284369113,3.0161290322580645,
3.832129963898917,3.5557909604519775,3.32328190743338,6.763537906137184,6.464689265536723,6.716339410939692,2.9720216606498195,2.9187853107344632,3.070476858345021,
3.6588447653429603,3.657015065913371,3.4309256661991583,6.777978339350181,6.915960451977401,6.590112201963534,3.191335740072202,3.2904896421845575,3.1129032258064515,
3.8172382671480145,3.7523540489642184,3.4628330995792425,6.799638989169675,6.355225988700565,6.903225806451613,3.0866425992779782,3.0781544256120528,3.1374474053295933,
3.5645306859205776,3.940913370998117,3.553295932678822,7.2233754512635375,6.502824858757062,6.583099579242637,3.312725631768953,3.0640301318267418,3.2952314165497896,
3.8240072202166067,3.7083333333333335,3.4838709677419355,6.873646209386282,6.24741054613936,6.6602384291725105,3.0938628158844765,2.954566854990584,3.0862552594670407,
3.8443140794223827,3.693738229755179,3.361500701262272,6.9138086642599275,6.51153483992467,6.115708274894811,3.2188628158844765,3.104990583804143,3.4165497896213184,
3.7098375451263537,3.7518832391713746,3.482468443197756,7.238718411552346,6.4296139359698685,6.738078541374474,3.2454873646209386,3.187146892655367,3.1479663394109396,
3.60514440433213,4.0275423728813555,3.6546283309957923,6.775270758122744,6.260593220338983,6.188288920056101,3.141696750902527,3.1304143126177024,3.259467040673212,
3.6854693140794224,3.730461393596987,3.637798036465638,7.129512635379061,6.585922787193974,6.6763674614305755,3.1475631768953067,3.0522598870056497,3.0052594670406734,
3.693592057761733,3.662193973634652,3.626227208976157,6.953519855595668,6.431732580037664,6.875525946704068,3.164259927797834,2.963276836158192,3.155329593267882,
3.9183212996389893,3.7389359698681734,3.620617110799439,6.228790613718411,6.192325800376648,6.235974754558205,3.306859205776173,3.0,3.2927769985974753,
3.5144404332129966,3.7542372881355934,3.271037868162693,6.537454873646209,6.316619585687382,6.392005610098177,3.1597472924187726,3.1657250470809792,3.2061711079943898,
3.9156137184115525,3.6318267419962336,3.729663394109397,6.384025270758123,6.220574387947269,6.550490883590463,3.065884476534296,3.09180790960452,3.2689340813464236,
