B_1,B_2,B_3,B_4,B_5,B_6,B_7,T_1,T_2,T_3,T_4,T_5,T_6,T_7,G_1,G_2,G_3,G_4,G_5,G_6,G_7,
4.236453201970443,3.470779220779221,3.815036900369004,5.192256341789052,3.542392566782811,3.4880239520958085,3.5721153846153846,7.280788177339901,6.917207792207792,6.992158671586716,6.408544726301735,6.219512195121951,6.782934131736527,5.892307692307693,3.0788177339901477,3.449675324675325,3.0931734317343174,3.213618157543391,3.0336817653890824,3.1347305389221556,3.0125,
4.541871921182266,3.3863636363636362,3.815959409594096,5.730307076101469,3.8885017421602788,3.75,3.705769230769231,7.346059113300493,7.532467532467533,6.686346863468635,6.331108144192257,6.264808362369338,7.157185628742515,6.599038461538462,3.3288177339901477,3.4334415584415585,3.2034132841328415,3.2923898531375166,3.1498257839721253,2.7664670658682633,2.7778846153846155,
4.066502463054187,3.4237012987012987,3.856088560885609,5.3004005340453935,4.382113821138211,3.696107784431138,3.3259615384615384,7.901477832512315,7.126623376623376,7.3630073800738005,7.030707610146862,6.9465737514518,6.574850299401198,6.7615384615384615,3.3460591133004924,3.7532467532467533,3.095940959409594,3.3871829105473967,2.961672473867596,3.312874251497006,3.248076923076923,
4.307881773399015,3.508116883116883,3.5059963099630997,4.271028037383178,4.541231126596981,3.3832335329341316,3.7240384615384614,6.91256157635468,7.14935064935065,7.199261992619927,6.305740987983978,6.045296167247387,6.279940119760479,6.283653846153846,3.2807881773399017,3.4123376623376624,3.186808118081181,2.686248331108144,2.824622531939605,3.2679640718562872,3.066346153846154,
4.045566502463054,3.3587662337662336,3.973708487084871,4.05607476635514,4.4018583042973285,3.437125748502994,3.2471153846153844,7.150246305418719,6.457792207792208,7.0055350553505535,5.71562082777036,6.363530778164924,6.4431137724550895,6.286538461538462,3.2536945812807883,3.2857142857142856,3.2887453874538743,3.363150867823765,2.9709639953542393,3.2559880239520957,3.169230769230769,
4.620689655172414,3.4545454545454546,3.5313653136531364,4.060080106809079,4.692218350754936,3.2604790419161676,3.648076923076923,7.568965517241379,6.746753246753247,6.705719557195572,5.930574098798398,6.793263646922184,7.438622754491018,6.746153846153846,3.6403940886699506,3.2386363636363638,3.0428966789667897,2.8464619492656875,2.832752613240418,3.1482035928143715,3.2490384615384613,
4.394088669950739,3.4853896103896105,3.4875461254612548,3.797062750333778,4.861788617886178,3.961077844311377,3.645192307692308,7.045566502463054,7.704545454545454,6.597785977859779,6.133511348464619,6.651567944250871,7.422155688622754,6.719230769230769,2.9729064039408866,3.146103896103896,2.9128228782287824,2.82109479305741,2.937282229965157,2.769461077844311,3.2240384615384614,
4.080049261083744,3.688311688311688,3.6904981549815496,3.432576769025367,4.680603948896632,3.2395209580838324,3.4009615384615386,7.604679802955665,8.032467532467532,6.72739852398524,5.886515353805073,5.982578397212544,7.104790419161676,6.561538461538461,3.332512315270936,3.3035714285714284,3.0096863468634685,3.062750333778371,3.0313588850174216,2.8532934131736525,3.1096153846153847,
4.2426108374384235,3.5535714285714284,3.7988929889298895,4.202937249666221,4.499419279907085,3.7559880239520957,3.019230769230769,6.942118226600985,6.75487012987013,6.424354243542435,5.787716955941255,7.279907084785133,5.705089820359281,6.454807692307693,3.9125615763546797,3.0925324675324677,3.320571955719557,3.2923898531375166,2.8048780487804876,3.038922155688623,3.039423076923077,
4.391625615763547,3.4334415584415585,3.525830258302583,4.144192256341789,4.930313588850174,3.4026946107784433,3.2173076923076924,6.772167487684729,7.277597402597403,7.055350553505535,6.425901201602136,6.898954703832753,6.483532934131737,7.164423076923077,3.565270935960591,3.24025974025974,3.187269372693727,3.15086782376502,2.749128919860627,2.7724550898203595,3.060576923076923,
4.490147783251231,3.668831168831169,3.7988929889298895,5.977303070761015,4.869918699186992,3.3697604790419162,3.639423076923077,7.039408866995074,7.461038961038961,7.301660516605166,6.255006675567423,6.922183507549361,6.838323353293413,7.101923076923077,3.1293103448275863,3.112012987012987,3.0055350553505535,3.088117489986649,2.8780487804878048,3.1017964071856285,2.9201923076923078,
5.188423645320197,3.4935064935064934,3.822878228782288,6.320427236315087,4.696864111498257,3.558383233532934,3.4903846153846154,6.735221674876847,7.878246753246753,7.445110701107011,6.106809078771696,7.334494773519164,6.6946107784431135,6.631730769230769,3.4224137931034484,3.0373376623376624,3.188191881918819,3.1054739652870493,3.1196283391405344,2.7410179640718564,3.169230769230769,
