B_1,B_2,T_1,T_2,G_1,G_2
3.974392646,6.637665198,8.359159554,6.435022026,3.570584373,3.145374449
4.100459619,6.90969163,7.785948785,6.700440529,3.391332896,2.981277533
3.654629022,6.555066079,8.57780696,6.955947137,3.591595535,2.953744493
3.567301379,6.731277533,7.877216021,7.278634361,3.384110309,2.823788546
4.023637557,6.408590308,7.27248851,6.216960352,3.47209455,3.234581498
3.926460932,6.657488987,8.403808273,6.02092511,3.294812869,3.113436123
3.724228496,6.348017621,7.573210768,6.247797357,3.174655286,3.046255507
3.709783322,6.273127753,8.201575837,6.762114537,3.290216678,2.936123348
3.695994747,6.546255507,7.88312541,6.372246696,3.502298096,2.955947137
3.828627708,6.677312775,8.005909389,5.916299559,3.431385424,2.983480176
4.072882469,6.468061674,8.282994091,6.392070485,3.531188444,2.853524229
3.774786605,6.044052863,7.965200263,6.862334802,3.564674984,3.055066079
3.624425476,6.322687225,8.370321733,6.354625551,3.353250164,3.038546256
3.793171372,6.00660793,7.682206172,6.759911894,3.446487196,3.38215859
3.81089954,6.873348018,7.954694682,6.348017621,3.424819435,3.09030837
4.030203546,6.22907489,7.481286934,6.950440529,3.512803677,2.996696035
3.793827971,6.058370044,7.390019698,5.843612335,3.242941563,3.049559471
3.852265266,6.354625551,8.319107026,6.635462555,3.551543007,3.04185022
3.645436638,6.483480176,8.678266579,6.492290749,3.363755745,3.237885463
3.876559422,6.715859031,8.42219304,6.397577093,3.585029547,2.918502203
3.945502298,6.727973568,8.037426133,6.624449339,2.993434012,2.940528634
3.357189757,6.452643172,8.365068943,7.074889868,3.552199606,2.872246696
3.640183848,5.759911894,8.386080105,6.251101322,3.418253447,3.209251101
3.782009192,6.570484581,8.136572554,6.297356828,3.325016415,2.99339207
3.353906763,6.43722467,8.013788575,6.431718062,3.446487196,2.883259912
4.003282994,6.390969163,8.182534471,6.311674009,3.357189757,3.019823789
3.908076165,6.492290749,7.581089954,5.786343612,3.256073539,2.890969163
3.691398555,6.622246696,8.107682206,7.051762115,3.540380827,3.061674009
3.641497045,6.134361233,8.476690742,6.974669604,3.37229153,3.50660793
4.229809586,6.463656388,7.770190414,6.190528634,3.061720289,2.887665198
4.182534471,6.633259912,8.724885095,7.093612335,3.693368352,2.918502203
3.740643467,6.077092511,7.967826658,7.362334802,3.724885095,2.925110132
3.942219304,6.419603524,8.084701248,6.450440529,3.264609324,2.905286344
3.870650033,6.061674009,8.195009849,6.600220264,3.534471438,2.901982379
3.65003283,6.177312775,7.617859488,6.139867841,3.425476034,3.242290749
3.881155614,6.088105727,8.284963887,7.189427313,3.224556796,3.037444934
3.634931057,6.643171806,8.127380171,6.455947137,3.339461589,2.936123348
3.787261983,6.36123348,7.969139856,6.642070485,3.357846356,3.118942731
3.55022981,6.422907489,7.426132633,6.648678414,3.584372948,2.859030837
3.658568615,6.156387665,7.707813526,6.463656388,3.161523309,3.114537445
3.926460932,6.994493392,8.054497702,6.830396476,3.317793828,2.955947137
3.736703874,6.246696035,7.617859488,6.624449339,3.432698621,3.276431718
3.675640184,5.8469163,7.213394616,5.707048458,3.335521996,2.896475771
3.809586343,6.494493392,7.673670387,6.751101322,3.562048588,3.046255507
4.043992121,6.321585903,7.614576494,6.384361233,3.346684176,3.196035242
3.724228496,6.281938326,8.100459619,6.609030837,3.518056467,2.920704846
3.973736047,6.410792952,8.579776756,6.275330396,3.474720946,3.299559471
3.706500328,6.121145374,7.870650033,6.865638767,3.294156271,3.127753304
3.435981615,6.350220264,8.561391989,6.45814978,3.437294813,3.236784141
3.717005909,6.384361233,8.073539068,6.255506608,3.608010506,2.873348018
3.765594222,6.485682819,8.0558109,6.77753304,3.49441891,3.093612335
3.806959947,6.620044053,7.901510177,6.918502203,3.571240972,2.857929515
3.871306632,5.665198238,7.298752462,6.912995595,3.525935653,3.142070485
3.882468812,6.685022026,7.421536441,6.254405286,3.43335522,2.901982379
3.696651346,6.676211454,8.871306632,6.475770925,3.328299409,3.02753304
3.741300066,6.593612335,7.959290873,6.785242291,3.418910046,2.637665198
4.09980302,6.191629956,7.692055154,6.778634361,3.370321733,3.121145374
3.792514773,6.602422907,7.148391333,6.518722467,3.438608011,3.044052863
3.91135916,6.589207048,7.637557452,6.059471366,3.100459619,2.868942731
3.585686146,6.352422907,8.634274458,6.746696035,3.313197636,2.960352423
3.587655942,6.261013216,8.21667761,6.071585903,3.712409718,2.890969163
3.92777413,6.109030837,8.065003283,6.523127753,3.201575837,2.983480176
4.314510834,6.932819383,7.689428759,6.272026432,3.36112935,3.196035242
3.719632305,5.853524229,7.938279711,6.469162996,3.370321733,2.740088106
3.703217334,6.267621145,8.151017728,6.490088106,3.330925804,3.118942731
3.659881812,5.81938326,8.630334865,6.498898678,3.206172029,2.918502203
3.956007879,6.008810573,7.838476691,6.029735683,3.256073539,3.488986784
4.002626395,6.275330396,7.991464215,6.508810573,3.644123441,2.740088106
3.621142482,6.273127753,8.017071569,6.341409692,3.520026264,2.773127753
3.6112935,6.275330396,7.873276428,6.396475771,3.707813526,3.142070485
4.06106369,6.350220264,8.558765594,6.842511013,3.397242285,2.511013216
3.893630991,6.178414097,8.628365069,6.959251101,3.420879842,2.974669604
3.774786605,6.31277533,7.653315824,6.765418502,3.496388707,3.36123348
4.10571241,6.128854626,7.594878529,6.603524229,3.280367695,2.919603524
3.852265266,6.422907489,7.817465529,6.486784141,3.581089954,3.120044053
4.116217991,6.314977974,7.594878529,6.495594714,3.541694025,2.961453744
3.818122127,6.244493392,7.752462246,6.54845815,3.520026264,3.13215859
3.904793171,6.353524229,7.743926461,6.508810573,3.262639527,3.552863436
3.710439921,6.264317181,8.27248851,5.794052863,3.575180565,2.894273128
3.682862771,6.244493392,8.3887065,6.513215859,3.485883125,2.808370044
4.050558109,6.450440529,7.997373605,6.29845815,3.214051215,3.314977974
3.998686802,6.762114537,7.701247538,6.486784141,3.507550886,2.901982379
3.771503611,6.272026432,8.210768221,6.116740088,3.288246881,3.303964758
3.833880499,6.371145374,8.224556796,6.379955947,3.408404465,3.245594714
3.835850295,6.165198238,7.98883782,6.210352423,3.447800394,3
3.943532502,6.104625551,8.196979645,7.142070485,3.360472751,3.125550661
4.025607354,6.059471366,8.552856205,6.140969163,3.410374261,2.614537445
4.294812869,5.875550661,7.678266579,7.24339207,3.506894288,2.848017621
4.115561392,6.047356828,8.196979645,6.516519824,3.240315167,3.003303965
4.10571241,6.710352423,7.782665791,6.474669604,3.459619173,2.953744493
3.947472095,6.370044053,8.140512147,6.615638767,3.419566645,2.926211454
3.938279711,6.447136564,7.550886408,6.175110132,3.434668418,3.150881057
4.187130663,6.063876652,8.980958634,6.801762115,3.58305975,3.450440529
3.987524622,6.154185022,7.97242285,6.872246696,3.446487196,3.216960352
3.861457649,5.986784141,7.84438608,6.530837004,3.464215364,2.969162996
4.165462902,6.1530837,8.104399212,6.281938326,3.667760998,3.429515419
3.818122127,6.212555066,7.768220617,6.357929515,3.776756402,3.258810573
3.770190414,5.935022026,7.623112278,6.623348018,3.424162837,3.362334802
3.952724885,5.593612335,7.382140512,6.838105727,3.193040053,3.285242291
3.711753119,6.272026432,8.571897571,6.427312775,3.326329613,3.052863436
3.929087328,5.899779736,8.162179908,6.753303965,3.458305975,2.715859031
3.980958634,6.24339207,7.665134603,6.042951542,3.323046619,3.296255507
4.195666448,5.928414097,7.804333552,6.962555066,3.517399869,3.047356828
4.305975049,5.853524229,7.949441891,7.259911894,3.45567958,2.955947137
3.88312541,6.165198238,8.398555483,7.137665198,3.695994747,3.11123348
4.005252791,5.863436123,7.941562705,6.626651982,3.669730794,2.992290749
3.976362443,6.359030837,8.131976362,6.265418502,3.571897571,2.995594714
4.204858831,6.051762115,8.265265923,6.985682819,3.373604728,2.974669604
4.005909389,6.316079295,7.772816809,6.672907489,3.434011819,3.183920705
4.13328956,6.47907489,8.162836507,6.514317181,3.52199606,3.212555066
4.380827315,6.343612335,8.034143139,6.149779736,3.298095863,3.212555066
4.18319107,6.435022026,7.658568615,6.112334802,3.532501641,3.25660793
3.624425476,6.730176211,8.256073539,6.015418502,3.512147078,3.162995595
3.812212738,7.622246696,7.811556139,6.461453744,3.364412344,3.038546256
3.560078792,7.00660793,7.870650033,6.63876652,3.426132633,3.154185022
4.613919895,7,8.330269206,5.918502203,3.357846356,3.328193833
4.233749179,7.269823789,7.83913329,6.677312775,3.292843073,3.275330396
4.030203546,7.449339207,8.520682863,6.534140969,3.309258043,3.251101322
3.97767564,7.621145374,7.713066316,6.995594714,3.47800394,3.398678414
3.787918582,7.831497797,7.424819435,6.433920705,3.323703217,3.115638767
3.954038083,7.787444934,7.532501641,7.416299559,3.247537754,3.265418502
3.81680893,7.425110132,7.539724228,6.677312775,3.442547603,3.181718062
4.036112935,7.77753304,8.20551543,5.931718062,3.374261326,3.325991189
3.921208142,7.3469163,7.822718319,6.160792952,3.298752462,2.783039648
4.3335522,5.247797357,8.263952725,6.667400881,3.181877873,3.199339207
3.957977676,5.332599119,8.367695338,6.324889868,3.481286934,3.11123348
4.108995404,5.397577093,7.621142482,6.549559471,3.422849639,3.353524229
4.000656599,5.022026432,8.495732108,6.545154185,3.139855548,2.955947137
4.231122784,5.396475771,7.580433355,6.354625551,3.569927774,3.197136564
4.3887065,5.134361233,7.755088641,6.31938326,3.502298096,2.726872247
3.90544977,5.166299559,8.087327643,6.191629956,3.570584373,3.381057269
3.934996717,5.174008811,7.690741957,6.721365639,3.363099146,3.166299559
4.219304005,4.852422907,7.87196323,6.490088106,3.69993434,3.133259912
4.378857518,5.25,7.453053185,5.735682819,3.46684176,3.251101322
4.053184504,5.713656388,8.571897571,6.305066079,3.267235719,3.295154185
4.3335522,5.424008811,8.311884439,6.178414097,3.507550886,3.06938326
3.782665791,5.572687225,8.336178595,6.912995595,3.462245568,3.327092511
3.915955351,5.855726872,8.345370978,6.658590308,3.670387393,3.02753304
4.134602758,5.832599119,8.10571241,6.996696035,3.509520683,3.06277533
3.814182534,4.977973568,8.259356533,6.682819383,3.577150361,2.911894273
4.130006566,5.496696035,7.55022981,6.601321586,3.520026264,3.118942731
3.990151018,5.425110132,7.603414314,6.475770925,3.512147078,3.182819383
4.037426133,5.351321586,8.232435982,6.983480176,3.644780039,2.908590308
3.963887065,5.205947137,8.337491793,6.825991189,3.598161523,3.056167401
4.023637557,5.436123348,8.720288903,6.297356828,3.269205515,3.134361233
4.341431385,5.022026432,7.701904137,6.31277533,3.068286277,3.207048458
3.827314511,5.357929515,7.345370978,6.488986784,3.286933684,3.356828194
3.75574524,5.275330396,7.518056467,6.665198238,3.657255417,3.246696035
3.842416284,5.247797357,8.340774787,6.016519824,3.321076822,3.352422907
3.862114248,5.633259912,7.829940906,6.655286344,3.604070913,3.36784141
4.134602758,5.123348018,7.627051871,6.45154185,3.355219961,3.244493392
4.797110965,5.274229075,7.648063033,6.331497797,3.265265923,3.124449339
4.20551543,4.872246696,6.965200263,6.712555066,3.471437951,3.29185022
3.779382797,5.040748899,7.558108995,6.095814978,3.469468155,3.274229075
4.04990151,5.203744493,7.790544977,6.396475771,3.424162837,3.240088106
4.452396586,5.050660793,7.976362443,6.301762115,3.148391333,3.009911894
3.915955351,5.349118943,7.724228496,6.896475771,3.346027577,2.957048458
4.217990808,4.723568282,7.962573867,6.537444934,3.353906763,3.448237885
4.141168746,5.525330396,7.406434668,6.449339207,3.539724228,3.308370044
4.487196323,4.754405286,7.281024294,7.512114537,3.512147078,3.133259912
4.161523309,4.789647577,7.775443204,6.922907489,3.382797111,3.147577093
3.866053841,4.584801762,7.825344714,6.907488987,3.579776756,3.052863436
4.613263296,5.419603524,7.887065003,6.690528634,3.441234406,3.012114537
4.40577807,5.155286344,7.65003283,6.36784141,3.217990808,3.31277533
4.278397899,5.401982379,8.165462902,5.871145374,3.507550886,3.109030837
4.053184504,4.991189427,8.307288247,6.188325991,3.236375575,3.198237885
4.45567958,4.52753304,7.954038083,6.455947137,3.469468155,3.147577093
4.16086671,4.950440529,8.414313854,6.306167401,3.175968483,2.994493392
4.296782666,4.067180617,9.488509521,6.311674009,3.588312541,3.171806167
4.527248851,3.495594714,7.755088641,6.720264317,3.301378858,3.060572687
4.565331582,3.965859031,7.976362443,6.529735683,3.580433355,3.008810573
4.762967827,3.63215859,8.614576494,6.837004405,3.334865397,3.174008811
4.678266579,3.624449339,8.218647406,6.026431718,3.451083388,3.039647577
4.541694025,3.822687225,8.695338148,6.183920705,3.632961261,3.193832599
4.485883125,5.019823789,8.977019041,6.165198238,3.279054498,3.13215859
5.139198949,5.396475771,8.786605384,6.338105727,3.443860801,3.095814978
5.000656599,5.426211454,8.269205515,7.095814978,3.724228496,3.273127753
4.649376231,5.642070485,8.378857518,6.555066079,3.186474064,3.726872247
4.767564018,5.710352423,8.170059094,6.72907489,3.409061064,3.147577093
4.994090611,5.398678414,8.460275772,6.337004405,3.191726855,2.947136564
5.068286277,5.832599119,8.047931714,6.736784141,3.630334865,3.233480176
5.026920552,5.987885463,9.076822062,6.703744493,3.619172685,3.087004405
4.86671044,5.602422907,10.37557452,7.154185022,3.602101116,3.129955947
4.989494419,5.483480176,9.235718976,6.765418502,3.382140512,3.427312775
4.604727511,5.577092511,9.524622456,7.056167401,3.360472751,3.433920705
4.787918582,5.878854626,8.779382797,6.671806167,3.247537754,3.078193833
5.163493106,5.685022026,8.858831254,6.448237885,3.393959291,2.959251101
5.586342745,6.359030837,10.47143795,6.95154185,3.435325016,3.278634361
5.904793171,5.547356828,9.190413657,6.79185022,3.388049902,3.123348018
4.926460932,5.399779736,9.2777413,6.469162996,3.757058437,3.172907489
5.326986211,5.561674009,8.812869337,6.961453744,3.46684176,3.230176211
5.367695338,5.123348018,8.977019041,6.878854626,3.491135916,3.223568282
5.485226527,5.566079295,9.456992777,6.464757709,3.802363756,2.769823789
5.546946815,5.545154185,9.575837163,6.622246696,3.521339462,3.0969163
5.179251477,5.602422907,8.898227183,7.171806167,3.342744583,3.056167401
4.965856861,4.922907489,8.680892974,6.939427313,3.376231123,3.234581498
5.437951412,5.9030837,9.042022324,7.210352423,3.530531845,3.09030837
5.143795141,5.266519824,9.368351937,6.690528634,3.481943533,3.466960352
5.82206172,6.20814978,9.225869993,7.085903084,3.404464872,3.31277533
5.342744583,5.463656388,8.757715036,6.696035242,3.387393303,3.121145374
5.821405121,5.789647577,9.278397899,6.442731278,3.534471438,3.29185022
5.515430072,5.81938326,10.58240315,6.735682819,3.719632305,3.071585903
5.684832567,4.884361233,10.09586343,6.501101322,3.577150361,3.209251101
5.529218647,4.714757709,10.76822062,6.678414097,3.745239659,3.067180617
5.687458963,4.735682819,11.24097177,6.635462555,3.701247538,3.373348018
5.52790545,4.857929515,10.68286277,5.963656388,3.351936967,3.197136564
5.762967827,5.227973568,11.30794485,6.553964758,3.777413001,3.329295154
6.319763624,4.583700441,11.38214051,6.886563877,3.572554169,2.990088106
5.795141169,4.769823789,10.47866054,7.00660793,3.461588969,3.001101322
6.233749179,4.765418502,10.37360473,6.875550661,4.01116218,3.137665198
6.289560079,4.450440529,9.58305975,7.38876652,3.441891005,3.073788546
6.388049902,4.776431718,11.02166776,6.672907489,3.783978989,3.45814978
6.639527249,4.661894273,10.89954038,6.308370044,3.420879842,3.465859031
7.024950755,4.63215859,11.90873276,7.514317181,3.582403152,3.54185022
6.48916612,4.648678414,11.98949442,7.203744493,3.237688772,3.115638767
6.160210112,4.952643172,12.20879842,6.585903084,3.612606697,3.353524229
6.534471438,5.061674009,12.53775443,6.454845815,3.554826001,3.017621145
7.229809586,5.029735683,11.70518713,6.692731278,3.636900854,3.550660793
6.286933684,4.957048458,12.69993434,6.70154185,3.742613263,3.178414097
6.967826658,4.774229075,13.45896257,6.81938326,4.397242285,3.044052863
6.6664478,4.660792952,13.5541694,6.100220264,3.621142482,3.161894273
6.518056467,4.897577093,12.92186474,7.082599119,3.460275772,3.04845815
6.215364412,5.026431718,16.36900854,6.908590308,3.38345371,2.911894273
6.588312541,4.841409692,20.58831254,7.279735683,3.452396586,3.219162996
6.506894288,4.814977974,20.81943533,6.755506608,3.428102429,3.241189427
6.761654629,5.037444934,23.1680893,6.916299559,3.446487196,3.002202643
6.831254104,4.696035242,22.48653972,7.001101322,3.256073539,3.166299559
6.538411031,4.724669604,17.9455023,6.558370044,3.633617859,3.015418502
6.789888378,4.505506608,23.12081418,6.748898678,3.509520683,3.3469163
7.44977019,4.90969163,24.23374918,7.31277533,3.640183848,3.084801762
6.872619829,4.859030837,25.93762311,7.275330396,3.54432042,2.984581498
7.034799737,4.497797357,27.37951412,6.107929515,3.400525279,3.444933921
7.10571241,4.612334802,26.74852265,6.400881057,3.546946815,3.54185022
6.648719632,4.528634361,25.6657912,6.678414097,3.382797111,3.54845815
7.211424819,4.101321586,26.89822718,7.123348018,3.44977019,3.296255507
7.069599475,4.503303965,25.5009849,6.609030837,3.491135916,3.158590308
6.802363756,4.31277533,25.73933027,7.022026432,3.985554826,2.93722467
7.198949442,4.682819383,27.64609324,7.261013216,3.353250164,3.037444934
7.209455023,4.676211454,28.21930401,7.448237885,3.498358503,3.209251101
7.629021668,4.822687225,28.93696651,6.8469163,3.636244255,3.013215859
7.275771504,4.582599119,28.664478,7.140969163,3.265265923,2.918502203
7.535784636,4.038546256,29.12803677,7.342511013,3.405121471,3.014317181
7.618516087,4.316079295,27.36703874,6.871145374,3.721602101,3.398678414
7.443204202,4.580396476,27.12344058,6.911894273,3.304005253,3.015418502
7.084701248,4.604625551,26.78332239,6.725770925,3.38345371,3.455947137
7.558108995,4.100220264,26.65068943,7.50660793,3.14445174,2.927312775
7.219304005,4.183920705,28.17990808,6.981277533,3.606040709,2.910792952
8.001969796,4.485682819,19.26854892,6.374449339,4.084701248,2.917400881
8.173998687,4.238986784,18.51608667,6.307268722,3.912672357,3.219162996
8.456992777,5.279735683,18.26395272,6.716960352,4.206828628,3.335903084
8.082074852,5.145374449,17.20617203,6.137665198,3.749179251,3.567180617
8.852265266,5.089207048,16.52462246,6.310572687,3.704530532,3.102422907
8.481943533,4.588105727,18.41365726,6.648678414,3.743269862,3.049559471
8.384110309,4.169603524,18.32698621,7.268722467,3.80564675,3.214757709
8.108338805,4.384361233,17.53381484,6.49339207,4.093237032,2.875550661
8.003282994,4.561674009,16.69796454,6.842511013,3.700590939,3.199339207
7.317137229,4.486784141,16.42350624,6.31277533,3.403151674,3.194933921
7.747209455,4.75660793,16.50952068,6.158590308,3.722915299,3.129955947
7.954038083,4.890969163,17.13657255,6.47246696,3.684832567,2.884361233
7.830597505,4.461453744,16.2790545,7.082599119,3.681549573,3.019823789
8.080105056,4.643171806,17.09192383,6.29845815,3.793171372,3.072687225
8.406434668,4.802863436,16.58765594,6.43722467,4.007879186,2.950440529
8.429415627,4.578193833,18.28956008,6.416299559,3.759028234,3.024229075
8.231122784,4.75,18.96388707,6.940528634,3.524622456,2.962555066
8.302035456,5.026431718,18.24556796,6.067180617,3.751805647,3.38876652
8.240315167,4.207048458,18.47275115,6.774229075,3.493105712,3.172907489
8.243598162,4.20154185,17.60801051,6.20814978,3.493762311,3.313876652
8.315167433,4.219162996,18.87590282,6.417400881,3.452396586,3.471365639
8.11687459,3.796255507,19.5567958,6.792951542,3.574523966,3.077092511
8.437951412,4.235682819,19.49507551,6.385462555,3.552199606,3.079295154
8.659225213,4.574889868,19.22718319,6.145374449,3.732107682,2.853524229
8.71109652,4.13215859,17.93434012,6.647577093,3.822718319,3.181718062
7.636900854,4.275330396,17.51214708,6.955947137,3.50558109,3.305066079
8.09980302,4.566079295,18.37754432,6.18061674,3.874589626,2.988986784
9.024950755,4.446035242,19.31122784,6.265418502,3.671700591,2.974669604
9.070912672,4.294052863,19.93630991,5.910792952,3.915298752,2.77753304
9.211424819,4.636563877,19.27051871,6.488986784,3.693368352,2.834801762
8.26657912,4.110132159,19.75837163,6.748898678,3.304005253,2.933920705
9.056467498,4.63215859,20.36769534,6.529735683,3.830597505,2.866740088
9.198292843,3.898678414,20.96782666,6.753303965,3.749179251,2.961453744
8.840446487,4.453744493,19.24294156,6.128854626,3.608010506,3.191629956
9.04990151,4.401982379,19.74261326,6.004405286,3.761654629,2.948237885
9.328299409,4.781938326,20.13000657,6.31938326,3.893630991,2.915198238
8.982271832,3.929515419,21.43663821,7.155286344,3.999343401,2.773127753
8.879185817,5.178414097,20.62311228,6.125550661,4.121470781,3.049559471
8.275771504,4.377753304,27.03611293,6.751101322,3.734734077,2.727973568
8.395272489,4.401982379,35.43795141,6.337004405,3.81089954,3.107929515
8.627051871,4.36784141,40.01181878,6.122246696,3.522652659,2.894273128
8.261982928,4.404185022,40.13131976,6.544052863,3.220617203,3.325991189
7.973079448,4.232378855,40.49507551,6.689427313,3.325673014,3.38215859
9.265265923,4.761013216,30.3335522,6.231277533,3.913328956,3.128854626
8.869336835,4.953744493,25.36900854,6.348017621,3.79448457,3.25660793
8.60538411,4.81938326,21.90610637,6.230176211,3.621799081,2.910792952
8.956007879,4.65969163,21.57255417,5.830396476,3.990151018,3.128854626
