B_1,B_2,B_4,T_1,T_2,T_4,G_1,G_2,G_4
3.949512092,3.490079365,3.592783505,7.207042851,6.26984127,6.208762887,3.269410267,3.803571429,3.152061856
3.369961816,3.419642857,3.547250859,7.056003394,7.337301587,6.707044674,3.17776835,3.689484127,3.416666667
3.583368689,3.691468254,3.39604811,7.002545609,6.929563492,5.577319588,3.132371659,3.467261905,2.698453608
3.924480272,3.290674603,3.414948454,7.063215952,6.79265873,6.279209622,3.112855325,3.408730159,3.248281787
3.588884175,3.526785714,3.380584192,7.280865507,6.981150794,6.10395189,3.134493,3.448412698,3.08419244
3.780229105,3.201388889,3.312714777,7.456088248,7.278769841,6.406357388,3.250318201,3.64484127,2.823024055
3.566822232,3.607142857,3.23024055,7.061943148,7.056547619,6.700171821,3.197708952,3.803571429,3.203608247
3.627068307,3.508928571,3.512886598,7.867204073,7.032738095,7.037800687,3.110309716,3.939484127,3.059278351
3.907933814,3.96031746,3.381443299,7.560882478,7.195436508,6.067010309,3.092066186,3.330357143,2.835051546
3.943572338,3.44047619,3.37371134,7.291896479,6.950396825,6.069587629,3.271531608,3.575396825,3.336769759
3.501909207,3.603174603,3.521477663,7.162070429,7.154761905,6.516323024,2.883326262,3.479166667,3.199312715
3.605430632,3.880952381,3.384879725,7.011030972,7.160714286,5.998281787,3.181586763,3.632936508,3.213917526
3.820534578,3.445436508,3.375429553,7.235893084,7.741071429,6.06443299,3.084429359,3.319444444,2.85652921
3.593126856,3.60515873,3.504295533,8.335596097,7.694444444,6.072164948,3.122613492,3.473214286,3.017182131
3.50572762,3.591269841,3.518900344,6.46245227,7.041666667,6.454467354,3.138311413,3.799603175,3.069587629
3.918540518,3.723214286,3.280068729,7.511243106,6.756944444,6.281786942,3.156130675,3.712301587,3.161512027
3.766228256,3.648809524,3.549828179,7.115400933,7.484126984,6.424398625,3.068731438,3.709325397,2.945017182
3.76071277,3.550595238,2.978522337,7.340263046,7.194444444,6.550687285,3.157827747,3.693452381,3.348797251
3.919389054,3.400793651,3.768041237,7.18455664,7.300595238,6.2104811,3.165464574,3.183531746,3.120274914
3.803563852,3.567460317,3.495704467,7.168010182,7.389880952,6.396907216,2.992787442,3.713293651,3.16838488
3.868476877,3.505952381,3.536941581,6.875689436,7.333333333,6.560996564,3.348324141,3.748015873,3.115120275
3.840899448,3.782738095,3.279209622,6.732286805,7.104166667,6.409793814,3.21637675,3.921626984,2.988831615
4.106491303,3.358134921,3.47766323,6.677556216,6.890873016,6.878865979,3.10012728,3.586309524,3.349656357
3.740772168,3.545634921,3.534364261,7.564700891,6.811507937,6.732817869,3.151039457,3.362103175,3.336769759
4.111158252,3.611111111,3.716494845,7.789563004,7.223214286,6.145189003,3.19813322,4.012896825,3.222508591
3.688587187,3.601190476,3.493986254,7.164191769,7.216269841,5.951030928,3.106491303,3.535714286,3.111683849
3.600763683,3.44047619,3.378865979,6.980907934,6.532738095,6.721649485,3.395417904,3.693452381,3.212199313
3.781077641,3.467261905,3.474226804,7.602036487,7.051587302,5.923539519,3.178192618,3.473214286,3.313573883
3.811624947,3.619047619,3.37628866,7.223589308,7.595238095,5.666666667,2.992787442,3.643849206,3.266323024
