B_1,B_2,T_1,T_2,G_1,G_2,
3.516756032171582,4.065693430656935,6.565460232350313,6.675912408759124,3.063449508489723,3.0142335766423356,
3.6677837354781055,3.941970802919708,6.999106344950849,6.973357664233577,3.212019660411081,3.022992700729927,
3.809651474530831,4.178102189781022,6.608132260947275,7.149635036496351,3.1239946380697052,3.212773722627737,
4.040214477211796,3.9135036496350364,6.75,6.497445255474452,3.3652815013404824,3.0412408759124085,
3.938114387846291,4.132116788321168,6.844950848972297,6.874817518248175,3.3027256478999107,3.125182481751825,
3.879579982126899,4.343065693430657,6.869973190348525,6.38941605839416,3.1521447721179623,3.0667883211678832,
3.7430741733690795,4.097080291970803,6.64142091152815,7.104744525547445,3.09159964253798,3.0437956204379564,
3.740840035746202,4.1540145985401455,6.488829311885612,6.7463503649635035,3.195710455764075,3.4167883211678833,
3.8760053619302948,4.294890510948905,7.089812332439679,6.747810218978103,3.0668007149240393,3.374087591240876,
3.9776586237712244,4.4007299270072995,7.1054512957998215,6.645255474452555,3.2093386952636282,3.3445255474452553,
3.988829311885612,4.141970802919708,7.202636282394995,6.704014598540146,3.321939231456658,2.931021897810219,
4.528150134048257,4.116058394160584,6.961126005361931,6.7945255474452555,3.232350312779267,3.0923357664233575,
4.4928507596067915,4.117518248175182,6.799374441465594,6.706204379562044,3.2908847184986594,3.0916058394160584,
4.134718498659518,3.952189781021898,6.965370866845397,6.415693430656934,3.307193923145666,3.0167883211678834,
4.40437890974084,3.9635036496350367,6.798704200178731,6.617883211678832,3.3036193029490617,3.1065693430656935,
4.501563896336014,3.8317518248175184,7.227658623771224,6.273357664233576,3.199508489722967,3.168978102189781,
4.379803395889187,4.050729927007299,6.8083109919571045,6.474817518248175,2.950402144772118,3.154014598540146,
3.984137622877569,3.8138686131386863,6.751787310098302,6.624817518248175,3.2971403038427165,3.1164233576642335,
4.203306523681859,4.169343065693431,6.7609472743521,6.668613138686132,2.920911528150134,3.104014598540146,
4.272117962466488,3.9624087591240875,7.096291331546023,6.521897810218978,3.120420017873101,2.932116788321168,
4.203976764968722,4.077372262773722,6.782394995531725,6.95985401459854,3.120420017873101,3.0255474452554743,
4.332886505808758,3.9386861313868615,7.0743967828418235,6.8043795620437955,3.2705540661304737,3.05036496350365,
4.3192582663092045,4.2087591240875915,6.689008042895442,6.835036496350365,3.236595174262735,3.2897810218978103,
4.640080428954423,4.0992700729927005,6.3956657730116175,6.477737226277372,3.153485254691689,3.270802919708029,
4.063002680965147,4.166058394160584,6.540437890974084,6.275547445255475,2.984361036639857,3.5259124087591243,
4.2911081322609474,4.318978102189781,6.852770330652368,6.810948905109489,3.1293565683646114,3.198905109489051,
4.162421805183199,4.323357664233576,6.366175156389634,6.316058394160584,3.26295799821269,3.298905109489051,
4.205987488829312,4.768613138686131,7.1134941912421805,6.303284671532847,3.223637176050045,3.1875912408759124,
4.281501340482574,4.475547445255475,7.0600983020554064,6.539416058394161,3.112153708668454,3.286131386861314,
4.119302949061662,4.9145985401459855,6.749776586237712,6.692700729927007,3.1548257372654156,3.3576642335766422,
4.3232797140303845,4.914963503649635,6.792001787310098,6.156204379562044,3.279267202859696,3.2441605839416057,
4.232350312779267,5.263138686131387,6.941465594280608,7.363503649635036,3.352993744414656,3.1791970802919707,
4.517649687220733,4.741240875912409,7.011170688114388,6.904379562043796,3.177390527256479,3.1412408759124086,
4.557864164432529,4.155109489051095,6.863270777479893,6.7602189781021895,3.3056300268096517,3.038686131386861,
4.413092046470062,4.434306569343065,6.779267202859696,6.9693430656934305,3.242850759606792,3.294160583941606,
4.27591599642538,4.723722627737226,6.804289544235925,6.5781021897810215,3.18029490616622,3.2791970802919708,
4.281277926720286,5.1492700729927,7.279490616621984,6.963503649635037,3.444816800714924,3.7,
4.233914209115282,5.026277372262774,6.948391420911528,6.812043795620438,3.1088025022341377,3.290875912408759,
4.705317247542449,3.810948905109489,6.937890974084004,7.101094890510949,3.2687667560321714,3.1094890510948905,
4.392761394101877,3.6010948905109488,7.2571492403932085,6.810218978102189,3.2609472743521,3.0266423357664234,
4.544459338695264,3.797080291970803,7.166666666666667,6.593795620437956,3.493297587131367,3.086861313868613,
4.661081322609473,4.21021897810219,7.184763181411975,6.722262773722628,3.3138963360142983,3.024087591240876,
4.569928507596068,4.035036496350365,7.37354781054513,6.902919708029197,3.2761394101876675,3.325912408759124,
4.805406613047364,4.105839416058394,7.27591599642538,6.522627737226277,3.2075513851653263,3.0043795620437956,
4.805183199285076,4.232116788321168,7.091823056300268,6.394160583941606,3.276586237712243,3.5153284671532847,
4.45911528150134,4.174087591240876,7.142091152815014,7.152554744525547,3.3092046470062555,3.1397810218978104,
4.660857908847185,4.368978102189781,6.921805183199285,6.716058394160584,3.2852993744414656,3.181751824817518,
4.496648793565684,4.454014598540146,7.199285075960679,6.426642335766424,3.235254691689008,3.2605839416058395,
4.435880250223414,4.45,7.700402144772118,6.485036496350365,3.3136729222520107,3.191240875912409,
4.910857908847185,4.271167883211679,7.586461126005362,6.706569343065693,3.4095174262734584,3.2894160583941607,
4.989276139410188,4.685036496350365,7.598525469168901,6.583941605839416,3.475201072386059,3.0156934306569343,
4.985478105451296,4.5379562043795625,7.848972296693477,6.975912408759124,3.4101876675603218,3.158759124087591,
5.025245755138516,4.7120437956204375,7.636058981233244,6.394890510948905,3.430965147453083,3.1886861313868615,
5.0692582663092045,4.9,7.567247542448615,6.843065693430657,3.5971849865951744,3.047080291970803,
5.280384271671135,4.524452554744525,7.892091152815014,6.711313868613138,3.6675603217158175,3.425912408759124,
5.158400357462019,4.5346715328467155,7.846067917783736,7.172992700729927,3.535969615728329,3.3153284671532846,
