B_2,B_3,B_4,B_5,B_6,T_2,T_3,T_4,T_5,T_6,G_2,G_3,G_4,G_5,G_6
3.654205607,3.613195343,3.40504451,4.020276498,4.319259688,8.20201294,6.178525226,6.181750742,7.712442396,6.84962406,3.261682243,3.373221216,3.073442136,3.294930876,3.111625217
3.599568656,3.571798189,3.768545994,3.261751152,4.285714286,7.278936017,5.945666235,5.925074184,8.186175115,7.507229612,3.394680086,3,2.93768546,3.200921659,3.540775014
3.791516894,3.534282018,3.714391691,3.925345622,4.499710816,7.344356578,5.736093144,6.080860534,7.185253456,7.053209948,3.436376707,3,2.703264095,3.670967742,3.224407172
3.753414809,3.342820181,3.910237389,3.699539171,4.325043378,7.731847592,5.993531695,6.206231454,6.804608295,6.824754193,3.30194105,2.885510996,2.845697329,3.068202765,3.245228456
3.630481668,3.43919793,3.810830861,3.546543779,3.971659919,7.082674335,5.844760673,5.978486647,7.244239631,7.029496819,3.029475198,2.838292367,3.397626113,3.094009217,3.185656449
3.54061826,3.291073739,3.5615727,3.650691244,4.013302487,6.774982027,6.256791721,6.892433234,6.814746544,6.895315211,3.712437096,2.96377749,3.010385757,2.95483871,3.043377675
3.421279655,3.821474774,3.819732938,3.552073733,4.056680162,7.156002876,6.300129366,6.680267062,6.624884793,6.941006362,3.319913731,3.161060802,3.256676558,3.987096774,3.504916136
3.445003595,3.642302717,4.025222552,3.852534562,4.098901099,6.934579439,6.288486417,6.143175074,7.214746544,7.131868132,3.125089863,2.980595084,2.890207715,3.406451613,2.904569115
3.777138749,4.001293661,3.795994065,3.713364055,4.00578369,6.673616104,5.69534282,6.526706231,7.096774194,7.412955466,3.531272466,3.162354463,3.064540059,3.247926267,3.352226721
3.478073329,3.879042691,3.770771513,3.541935484,4.172353962,7.521926671,5.416558862,6.135014837,7.226728111,7.253903991,3.265995687,2.906209573,2.994807122,2.979723502,3.252747253
3.458662832,3.520051746,3.90578635,3.713364055,4.070561018,6.585909418,5.826002587,6.730712166,6.847004608,6.661654135,2.794392523,3.285899094,2.890949555,3.265437788,2.842683632
3.814521927,3.575032342,3.65578635,3.539170507,3.773279352,6.841840403,6.078266494,5.799703264,6.928110599,6.613649508,3.468727534,3.377102199,2.912462908,3,3.495662233
3.735442128,3.331177232,3.615727003,4.080184332,3.987275882,7.582314881,6.087968952,5.90652819,7.240552995,6.482359746,3.230050324,3.010349288,3.284124629,3.376958525,3.090225564
4.002875629,3.542690815,3.804896142,3.832258065,4.000578369,6.940330697,6.125485123,5.971068249,6.813824885,6.901098901,3.531272466,2.78007762,3.524480712,3.430414747,3.078658184
3.486700216,3.276196636,3.488130564,3.728110599,4.101792944,7.204888569,5.396507115,6.517062315,7.621198157,6.981492192,3.235801582,3.076972833,3.137240356,3.421198157,3.019086177
3.79007908,3.415912031,3.550445104,3.811981567,4.097744361,7.340043134,5.417852523,5.617210682,7.661751152,7.120879121,3.268152408,2.966364812,3.146884273,3.131797235,3.043956044
3.976994968,3.496119017,3.62537092,3.59078341,3.872180451,7.097771387,5.862225097,5.996290801,6.799078341,6.574320416,3.289719626,3.020698577,3.271513353,3.043317972,3.245806825
4.892163911,3.708279431,3.762611276,4.274654378,3.859456333,7.010064702,5.942432083,6.272997033,7.148387097,7.110468479,3.471603163,2.987063389,2.741839763,3.4,3.015037594
4.911574407,3.456662354,3.767062315,3.902304147,3.717177559,6.62473041,5.95084088,6.068249258,7.000921659,6.464430307,3.412652768,2.893919793,3.03264095,3.129032258,3.216310006
4.994967649,3.278137128,3.583827893,3.963133641,3.671486408,7.17325665,5.973479948,6.084569733,7.150230415,7.032388664,3.298346513,2.904269082,3.235163205,2.749308756,3.152111047
4.952552121,3.772315653,3.690652819,3.783410138,3.701561596,6.993529835,5.843467012,6.139465875,7.086635945,7.134181608,3.477354421,3.188874515,2.886498516,2.985253456,2.97108155
4.775700935,3.588615783,3.591246291,3.814746544,3.818392134,6.903666427,5.827943079,5.681750742,6.847004608,7.242336611,3.327821711,2.956015524,3.053412463,3.216589862,3.379988433
5.382458663,3.712807245,4.034124629,3.966820276,3.889531521,7.336448598,5.921733506,6.064540059,7.380645161,7.452862927,3.291157441,3.080206986,2.99851632,2.812903226,3.216310006
5.293314162,3.391979301,3.672848665,4.105069124,3.812608444,6.780014378,5.916558862,6.294510386,6.72718894,6.728744939,3.736879942,3.188227684,3.362017804,3.149308756,3.330248699
5.212796549,3.655886158,3.392433234,3.834101382,3.629265471,6.648454349,6.349288486,6.28264095,7.223041475,6.621168305,3.224299065,2.888098318,2.975519288,3.182488479,3.111625217
5.055355859,3.664941785,3.90578635,3.852534562,3.624638519,7.306254493,5.527166882,6.182492582,7.299539171,6.513013302,3.279654925,2.905562743,3.209940653,3.158525346,3.247541932
5.005032351,3.541397154,3.528931751,3.865437788,3.643724696,7.777857656,6.171410091,5.855341246,7.261751152,6.473684211,3.192667146,2.854463131,3.244807122,3.448847926,3.484094853
5.18907261,3.635187581,3.478486647,3.811059908,3.61249277,6.997843278,6.029754204,5.885014837,6.505990783,7.273568537,3.154565061,3.053686934,2.958456973,3.236866359,3.478311163
4.667145938,3.742561449,3.732937685,4.101382488,3.646616541,7.118619698,5.802069858,6.400593472,6.726267281,6.868710237,3.47232207,3.416558862,3.09347181,3.233179724,3.170618855
4.618260244,3.586675291,3.818249258,3.760368664,3.516483516,6.620416966,5.746442432,6.273738872,7.226728111,6.341816079,3.133716751,3.103492885,3.143916914,2.935483871,3.223828803
4.447879224,3.407503234,3.715133531,3.694009217,3.591093117,6.847591661,5.738033635,6.009643917,8.466359447,7.544245228,3.32278936,2.790426908,2.829376855,3.329953917,3.363215732
4.524802301,3.791720569,3.557863501,3.859907834,3.559282822,7.03666427,6.055627426,5.818991098,6.269124424,7.233661076,3.170381021,3.039456662,2.84421365,3.261751152,3.060728745
4.539180446,3.543984476,3.609050445,3.594470046,3.307692308,6.765636233,6.129366106,5.752225519,6.152073733,6.578947368,3.185478073,2.947606727,3.018545994,2.88202765,3.039907461
4.62473041,3.590556274,3.653560831,3.677419355,3.823597455,7.681524083,6,5.818249258,7.211981567,7.137073453,3.562904385,3.287192755,3.002967359,3.015668203,3.355696935
4.274622574,3.294954722,3.614985163,3.799078341,3.978021978,6.975557153,5.805950841,5.966617211,6.866359447,7.232504338,3.20992092,3.166882277,2.954747774,3.379723502,3.153846154
4.216391086,3.710866753,3.934718101,3.770506912,3.538461538,6.869158879,6.09767141,5.853857567,6.673732719,6.975708502,3.235082674,2.923673997,3.227002967,3.19078341,3.395604396
4.366642703,3.576972833,3.590504451,3.914285714,3.604973973,7.074047448,6.116429495,5.62537092,6.808294931,6.545980335,3.071890726,3.002587322,3.044510386,3.488479263,3.124349335
4.951114306,3.836998706,3.738872404,4.205529954,3.948525159,6.966211359,6.176584735,5.795252226,6.799078341,6.841526894,3.289719626,2.882923674,3.017804154,3.131797235,3.189126663
5.373112868,3.635187581,3.454005935,4.301382488,3.856564488,6.702372394,6.161707633,5.658011869,7.129032258,7.389242337,3.360891445,3.104139715,2.971068249,3.213824885,3.409485252
5.219266715,3.713454075,3.465875371,3.941013825,3.742625795,7.265995687,5.991591203,6.011127596,6.248847926,7.238288028,3.027318476,3.289133247,3.03189911,3.155760369,2.98843262
4.835370237,3.979301423,3.908753709,4.396313364,3.56622325,7.440690151,5.862871928,6.396142433,7.028571429,7.252168884,3.478792236,3.116429495,2.935459941,2.868202765,3.340659341
4.377426312,3.653298836,4.043768546,4.20921659,3.957200694,7.084831057,5.800129366,6.192136499,6.446082949,6.715442452,3.577282531,2.899741268,3.15578635,3.04516129,3.305378832
4.464414091,3.486416559,3.814540059,4.267281106,3.876229034,7.177570093,6.059508409,6.511869436,7.436866359,6.70503181,3.099209202,2.774256145,3.34421365,3.176036866,3.434355119
4.597411934,3.617076326,3.850890208,4.519815668,3.544823597,7.641984184,5.826002587,6.201780415,7.049769585,6.685945633,3.436376707,3.010996119,3.290059347,3.240552995,3.458068248
4.507548526,3.335058215,3.694362018,4.060829493,3.548293811,7.289719626,6.123544631,6.261869436,6.779723502,6.590514748,3.571531272,3.322121604,3.204005935,2.760368664,3.08097166
4.55643422,3.559508409,3.522997033,4.410138249,3.912087912,7.66139468,5.581500647,5.887240356,7.260829493,6.533834586,3.212077642,3.337645537,2.829376855,3.012903226,3.241179873
4.19698059,3.550452781,4.080860534,4.621198157,3.967032967,6.674335011,5.637128072,6.146142433,7.015668203,7.412955466,3.627606039,2.754851229,3.079376855,3.19078341,3.142278774
4.361610352,3.386804657,3.59272997,4.423041475,3.845575477,6.856218548,5.925614489,5.93694362,7.010138249,6.504916136,3.284687275,2.95148771,3.234421365,3.447004608,3.151532678
4.258806614,3.822121604,3.977002967,4.244239631,3.603817235,6.98418404,6.21927555,5.855341246,6.941935484,6.903990746,3.323508267,2.979948254,3.048219585,3.268202765,3.367264315
4.349388929,3.408796895,3.817507418,4.08202765,3.55465587,7.181883537,5.934670116,5.508160237,7.285714286,7.161364951,3.416247304,3.007115136,3.089762611,3.202764977,3.004048583
4.384615385,3.43919793,3.640949555,3.870967742,3.703296703,8.243709561,6.107373868,5.815281899,6.900460829,6.724696356,3.112149533,2.98835705,2.928041543,2.987096774,3.176980914
4.096333573,3.684346701,3.677299703,4.434101382,3.533256217,7.086987779,6.005821475,6.28264095,7.752995392,6.562753036,2.979870597,3.072445019,2.99851632,2.937327189,3.033545402
3.982027318,4.051746442,3.56231454,3.782488479,3.333140544,6.828181165,5.886157827,6.108308605,6.429493088,6.883747831,3.289719626,3.063389392,3.148367953,3.394470046,3.385193754
3.988497484,3.471539457,3.770771513,4.294930876,3.668016194,6.833213515,5.917205692,5.959940653,6.970506912,6.222093696,2.888569375,3.047865459,3.082344214,3.141013825,2.866396761
3.565780014,3.85316947,3.663946588,3.746543779,3.620589936,7.606757728,5.815653299,6.597922849,6.782488479,7.625795257,3.022286125,3.232858991,3.270029674,3.099539171,3.373626374
3.865564342,3.633247089,3.704005935,3.942857143,3.759976865,6.482386772,6.315006468,6.364985163,6.740092166,6.595720069,3.410496046,3.106727038,3.068249258,3.455299539,3.265471371
4.081955428,3.502587322,4.033382789,4.139170507,3.835164835,7.785765636,6.364812419,5.977002967,6.840552995,6.73973395,3.569374551,2.933376455,3.020029674,3.073732719,3.01156738
4.75053918,3.750323415,3.831602374,4.246082949,3.545980335,7.054636952,5.970892626,5.788575668,7.288479263,6.887218045,3.094176851,3.128719276,3.022997033,3.268202765,3.198958936
4.35442128,3.556921087,3.635756677,3.926267281,3.54308849,7.163191948,6.084087969,6.132789318,6.678341014,7.256217467,3.19698059,3.018758085,2.991097923,3.160368664,3.154424523
3.787203451,3.467011643,3.768545994,4.014746544,3.881434355,6.802300503,5.786545925,6.361275964,6.514285714,6.438403702,3.217109993,3.183699871,3.15727003,2.976036866,3.440717178
3.716750539,3.747736093,3.636498516,4.126267281,3.613071139,6.828181165,5.886804657,5.767062315,7.331797235,6.718912666,3.115025162,3.348641656,3.305637982,3.083870968,2.939271255
3.870596693,3.313712807,3.727744807,4.049769585,3.909196067,7.45938174,5.592496766,6.011869436,7.4359447,6.409485252,2.900790798,3.355756792,3.068991098,3.138248848,3.384037016
4.140186916,3.478007762,3.474777448,4.130875576,3.422787739,7.350107836,6.026520052,6.273738872,6.682949309,6.562174667,3.185478073,3.25549806,2.819732938,3.125345622,3.389820706
3.911574407,3.68240621,3.827151335,4.380645161,3.436090226,7.099928109,6.095730918,6.18768546,7.046082949,6.827646038,3.448598131,3.084087969,2.976261128,3.115207373,3.308849046
3.658519051,3.59767141,3.84495549,4.67281106,3.533834586,7.311286844,5.708279431,5.823442136,6.676497696,6.668016194,3.06829619,2.888098318,3.152077151,3.18156682,3.038750723
3.967649173,3.60931436,3.966617211,4.197235023,3.606130711,7.280373832,5.65847348,6.797477745,7.358525346,7.8264893,3.289000719,3.059508409,3.277448071,3.015668203,3.116830538
3.73759885,3.742561449,3.617210682,4.613824885,3.996529786,7.853342919,5.882923674,6.431008902,7.252534562,7.272411799,3.007189073,3.102846054,3.443620178,3.144700461,3.118565645
4.017972682,3.748382924,3.839762611,4.34562212,4.084441874,7.142343638,5.844760673,5.941394659,7.182488479,7.067090804,3.121495327,2.785252264,3.081602374,3.293087558,3.083285136
4.18907261,3.813065977,3.783382789,4.616589862,3.889531521,7.961897915,6.053040103,6.559347181,6.747465438,6.555234239,3.079079799,3.020698577,3.415430267,3.439631336,3.442452285
3.989216391,3.58538163,3.820474777,4.458986175,3.628687102,7.91876348,5.681112549,6.53189911,6.869124424,6.50838635,3.276060388,2.816300129,2.903560831,2.941935484,3.230769231
4.069734004,3.664941785,3.898367953,4.411059908,3.81492192,7.268152408,5.52457956,5.818249258,6.953917051,6.816657027,3.242271747,3.042690815,2.997774481,3.020276498,3.083863505
3.747663551,3.706338939,3.778931751,4.91797235,3.668016194,7.584471603,6.014877102,6.301928783,7.225806452,7.619433198,3.477354421,3.190168176,2.827893175,3.400921659,3.200694043
3.902228613,3.611901682,3.476261128,4.991705069,3.540196645,7.267433501,5.970892626,6.416913947,7.195391705,6.7108155,3.265995687,3.09702458,3.002225519,2.971428571,3.28340081
4.070452912,3.575679172,3.796735905,5.664516129,3.407750145,6.935298347,6.101552393,5.551928783,6.729032258,6.71659919,3.365923796,3.10931436,3.082344214,2.997235023,3.20821284
4.020848311,3.654592497,3.861275964,5.314285714,3.572585309,7.342918763,5.912677878,6.149109792,7.679262673,7.180451128,3.212796549,3.211513583,2.921364985,3.111520737,3.567379988
3.979870597,3.53686934,3.917655786,5.394470046,3.574898785,6.718188354,5.729624838,6.545252226,6.405529954,7.024869867,3.147375988,3.056921087,3.105341246,2.911520737,3.117408907
3.944644141,4.143596378,3.626854599,5.007373272,3.702139965,7.037383178,6.106727038,5.643916914,7.222119816,7.162521689,2.873472322,2.814359638,3.132789318,3.061751152,3.062463852
4.03666427,3.52393273,4.105341246,4.670046083,3.736842105,7.365923796,5.920439845,6.020029674,7.356682028,6.885482938,3.318475917,2.90232859,3.205489614,3.044239631,3.396761134
4.505391804,3.648124191,3.638724036,4.779723502,3.8264893,7.245147376,6.217335058,6.019287834,7.423963134,6.263157895,3.204888569,3.142949547,3.160979228,3.464516129,3.308849046
4.26240115,3.652005175,3.723293769,4.847004608,3.61827646,8.040258807,5.811125485,6.428041543,7.147465438,7.18507808,3.070452912,3.230918499,2.96735905,3.411059908,3.438982071
4.271028037,3.647477361,3.715875371,5.890322581,3.563909774,7.391804457,6.249676585,5.819732938,6.994470046,6.643724696,3.122933142,3.037516171,3.03189911,3.094009217,3.442452285
4.601725377,3.57373868,3.882047478,4.994470046,3.661075766,7.741193386,6.258732212,6.454005935,7.01843318,6.77443609,2.994248742,2.959896507,3.100890208,3.573271889,2.987275882
4.481667865,3.715394567,3.74851632,4.95483871,3.795257374,7.144500359,6.279430789,6.301928783,7.041474654,7.085598612,3.017972682,2.947606727,2.992581602,2.976036866,3.089647195
4.626168224,3.588615783,3.565281899,4.973271889,3.493927126,7.447879224,5.771021992,6.28041543,7.77235023,7.159629844,3.553558591,3.238033635,3.053412463,3.465437788,3.296703297
5.021567218,3.670116429,3.727002967,5.207373272,3.669751301,7.488856937,5.978007762,5.833827893,7.320737327,7.83805668,3.206326384,2.884864166,3.195845697,3.021198157,3.473105842
4.959022286,3.562095731,3.560830861,4.842396313,3.528050896,7.317757009,5.997412678,5.747774481,7.506912442,6.563331405,3.312724659,2.930789133,3.102373887,3.352073733,3.067669173
4.578001438,3.673997413,3.847181009,4.751152074,3.488721805,7.700934579,5.942432083,6.046735905,7.201843318,6.861769809,3.305535586,2.977360931,3.083827893,2.869124424,3.009832273
4.770668584,3.81694696,4.111275964,5.40921659,3.770965876,7.462257369,5.727684347,6.645400593,7.395391705,6.607287449,3.142343638,3.213454075,3.03115727,3.2359447,3.229034124
5.020848311,3.921733506,3.490356083,4.456221198,3.927703875,7.046728972,5.699223803,5.65578635,7.07281106,6.466743783,3.043853343,2.935963777,3.091246291,3.162211982,3.317524581
4.468008627,3.68305304,3.787091988,5.225806452,3.331405437,6.945363048,5.944372574,5.551928783,6.541013825,6.829381145,3.308411215,2.994178525,2.879821958,3.387096774,2.946790052
4.335729691,3.542690815,3.675074184,5.126267281,3.715442452,7.232925953,5.846701164,6.548219585,6.923502304,6.652400231,3.363767074,2.87774903,3.221068249,3.505990783,2.867553499
4.323508267,3.505821475,3.770029674,4.848847926,3.733371891,6.984902948,6.113195343,6.803412463,7.497695853,6.743204164,3.356578001,2.798188875,3.010385757,3.129953917,2.960670908
4.086987779,3.795601552,3.65504451,4.626728111,3.967032967,6.944644141,5.915265201,6.792284866,7.52718894,6.430306536,3.106398275,3.065329884,3.180267062,3.422119816,3.353961828
3.86340762,3.73156533,3.895400593,5.06359447,3.56622325,7.516894321,6.098318241,6.693620178,7.300460829,6.845575477,3.205607477,2.829883571,2.919139466,3.492165899,3.263157895
4.434938893,3.469598965,4.338278932,4.57235023,3.559282822,7.168224299,5.862225097,6.164688427,6.997235023,6.825332562,3.004313444,2.80465718,3.096439169,3.613824885,3.384037016
3.932422717,3.876455369,4.497032641,4.660829493,3.986697513,7.102803738,5.490297542,5.893916914,7.030414747,6.68768074,3.142343638,3.056274256,3.091246291,3.296774194,3.322729902
4.168224299,3.669469599,5.111275964,4.412903226,3.698091382,7.413371675,6.250970246,6.078635015,6.976036866,6.520532099,3.156721783,3.14683053,3.158753709,3.614746544,3.274146906
3.997124371,3.876455369,4.976261128,5.29124424,4.002891845,7.201294033,6.072445019,5.845697329,7.159447005,6.666281087,3.127965492,2.950194049,3.347922849,3.402764977,2.91324465
4.340043134,3.869987063,5.376854599,5.142857143,3.782533256,7.318475917,6.229624838,6.002225519,7.231336406,7.111625217,3.14953271,2.971539457,3.081602374,3.219354839,3.256217467
3.769230769,3.578266494,5.483679525,4.603686636,3.617698091,7.326383896,5.263260026,6.037833828,6.674654378,6.973395026,3.290438533,3.139068564,3.059347181,3.380645161,3.172353962
4.308411215,3.798188875,5.631305638,5.146543779,3.458068248,6.436376707,6.250970246,6.46884273,6.464516129,6.675534991,3.056793674,3.031047865,3.09495549,2.929032258,3.009832273
4.3069734,3.937257439,5.763353116,4.885714286,3.731636784,7.538461538,6.028460543,6.649109792,7.279262673,7.136495084,3.265995687,3.124838292,3.586053412,3.224884793,3.075766339
3.6930266,3.464424321,5.540059347,4.660829493,3.503181029,7.566498922,5.923027167,6.767062315,7.228571429,6.347599769,3.293314162,2.993531695,3.31379822,3.410138249,3.123770966
4.160316319,3.446313066,6.041543027,5.064516129,3.726431463,7.017253774,5.939844761,6.479228487,7.099539171,6.833429728,3.28612509,2.87839586,3.214391691,3.269124424,2.89010989
4.18907261,3.703104787,6.076409496,4.573271889,3.718334297,7.156721783,5.461836999,7.418397626,7.42764977,6.764603817,3.493170381,3.151358344,3.09272997,3.313364055,2.967611336
4.577282531,3.628072445,6.543768546,4.943778802,3.736263736,6.943206326,5.630659767,7.580118694,7.155760369,6.268941585,3.07620417,2.912677878,2.996290801,3.388940092,3.359167149
4.432063264,3.831824062,5.931750742,4.952073733,3.928860613,7.008626887,6.084087969,7.619436202,7.052534562,6.806246385,3.395398994,2.84152652,3.079376855,3.280184332,3.001735107
4.478073329,3.667529107,6.135014837,4.637788018,3.496240602,7.038820992,5.626131953,7.923590504,7.500460829,6.60092539,3.334291876,2.900388098,3.229970326,3.201843318,3.15615963
4.906542056,3.769081501,5.96958457,4.458986175,3.86119144,7.843997124,6.069857697,7.866468843,6.898617512,7.049161365,3.321351546,3.031694696,3.068249258,3.334562212,3.084441874
4.176132279,3.566623545,5.858308605,4.794470046,3.644881434,7.041696621,6.181759379,8.334569733,6.902304147,6.354540197,3.431344357,2.833764554,3.351632047,3.383410138,3.31231926
4.624011503,3.62225097,5.526706231,5.090322581,3.750144592,7.703810208,6.164941785,8.784866469,7.421198157,6.883169462,3.230769231,2.90232859,2.971068249,3.084792627,2.967032967
4.392523364,3.710219922,5.462166172,5.085714286,3.720647773,8.332135155,5.712807245,8.016320475,7.080184332,7.216888375,3.104241553,3.135187581,3.238872404,3.236866359,3.392134182
5.062544932,3.638421734,5.285608309,4.742857143,3.881434355,7.002156722,6.147477361,8.37462908,7.749308756,6.362058994,3.429906542,2.840232859,3.189910979,3.600921659,3.268941585
4.623292595,3.957956016,4.845697329,5.305069124,3.903990746,7.649892164,6.179172057,6.987388724,7.509677419,6.561017929,3.339324227,3.423673997,3.03189911,3.055299539,3.24291498
5.00790798,3.675291074,4.965875371,4.655299539,3.860613071,6.948957584,5.822121604,6.951780415,7.877419355,6.301908618,3.095614666,3.043337646,3.198071217,3.705990783,3.227299017
5.20992092,3.800776197,4.626854599,4.448847926,3.757663389,7.026599569,5.832470893,6.18694362,6.798156682,7.085598612,3.597411934,3.025873221,2.977002967,3.511520737,3.197802198
4.751258088,3.419793014,4.479970326,4.413824885,4.002313476,6.904385334,6.667529107,6.586053412,7.705990783,6.808559861,3.45147376,3.001940492,2.966617211,3.48202765,3.111625217
4.987059669,3.59702458,4.077151335,5.050691244,3.689994216,7.33069734,6.144890039,5.949554896,7.337327189,7.156737999,3.421279655,3.648124191,3.252225519,3.423041475,3.244071718
5.621854781,4.078913325,4.24925816,5.06359447,3.902834008,7.491013659,5.969598965,6.925074184,7.797235023,6.49739734,3.27030913,3.093790427,3.012611276,3.57235023,3.151532678
5.837526959,4.056274256,4.18768546,5.538248848,3.90746096,7.9108555,6.009702458,6.447329377,7.955760369,6.765182186,3.680805176,3.07373868,3.31379822,3.348387097,3.015615963
5.995686556,3.45084088,4.388724036,4.859907834,4.146905726,7.735442128,6.059508409,6.46958457,6.870967742,6.886639676,3.754133717,2.862225097,3.073442136,3.382488479,3.016772701
5.870596693,3.506468305,4.28264095,4.994470046,3.850202429,7.41480949,6.625485123,6.860534125,7.016589862,6.079236553,3.897196262,2.892626132,3.074183976,3.370506912,3.047426258
5.965492451,3.86545925,4.706231454,4.607373272,3.946790052,7.698777858,5.385510996,6.076409496,7.024884793,6.737420474,3.798705967,2.891979301,3.534124629,3.270046083,3.215153268
5.515456506,3.480595084,3.971068249,4.935483871,4.12724118,7.959741193,5.928848642,5.920623145,6.717050691,6.844418739,3.646297628,3.179818887,3.168397626,3.259907834,3.041642568
5.80589504,3.505821475,4.327151335,4.41843318,4.093695778,7.486700216,6.045278137,6.059347181,7.168663594,6.54308849,3.542774982,3.003234153,3.1884273,3.331797235,3.33545402
