B_1,T_1,G_1,
3.5091522157996144,7.046724470134874,3.126204238921002,
3.290462427745665,7.699421965317919,3.4446050096339116,
3.3747591522157996,7.196531791907514,3.195568400770713,
3.5216763005780347,8.010115606936417,3.1551059730250484,
3.5221579961464355,7.55635838150289,3.0789980732177264,
3.422447013487476,8.009152215799615,3.2427745664739884,
3.3800578034682083,7.1324662813102115,2.918111753371869,
3.346820809248555,7.565510597302505,3.0828516377649327,
3.414258188824663,7.460500963391137,3.1209055876685934,
3.4547206165703277,6.900770712909441,3.26878612716763,
3.491329479768786,7.345857418111754,3.3029865125240847,
3.6392100192678227,7.434007707129094,3.474470134874759,
3.49373795761079,7.573699421965318,3.1859344894026975,
3.5322736030828517,7.394026974951831,3.179190751445087,
3.4248554913294798,8.214836223506744,3.499518304431599,
3.411849710982659,7.369942196531792,3.289980732177264,
3.6396917148362236,6.9715799614643545,3.420038535645472,
3.6695568400770715,7.102119460500964,3.3540462427745665,
3.4759152215799616,6.455202312138728,3.2061657032755297,
3.657996146435453,6.980732177263969,3.1035645472061657,
3.4161849710982657,7.540462427745664,3.2023121387283235,
3.4210019267822736,7.404142581888246,3.2784200385356455,
3.726878612716763,7.3289980732177264,3.056840077071291,
3.521194605009634,7.88102119460501,2.9947013487475913,
3.464836223506744,8.066473988439306,3.2996146435452793,
3.7630057803468207,6.7784200385356455,2.9619460500963393,
3.5033718689788054,6.691714836223507,3.0081888246628132,
3.5977842003853566,7.33092485549133,3.1917148362235066,
3.7302504816955686,7.494701348747592,3.3892100192678227,
3.7596339113680153,7.016859344894027,3.056840077071291,
3.6661849710982657,7.0,3.21242774566474,
3.566955684007707,6.9330443159922925,2.91859344894027,
3.5809248554913293,7.323217726396917,3.449421965317919,
3.5240847784200384,7.079961464354528,2.8564547206165702,
3.77504816955684,7.315028901734104,3.1358381502890174,
3.428227360308285,7.546242774566474,3.1247591522157996,
3.9296724470134876,7.401252408477842,3.1146435452793835,
3.6854527938342967,6.951830443159923,3.098265895953757,
3.6078998073217727,7.441714836223507,3.2326589595375723,
3.5289017341040463,7.739402697495183,3.126204238921002,
3.878131021194605,7.622350674373796,3.098747591522158,
3.4677263969171483,7.446050096339114,3.193159922928709,
3.3757225433526012,7.422447013487476,3.081888246628131,
3.4205202312138727,7.379094412331407,3.1204238921001926,
3.6628131021194603,6.894508670520231,3.0741811175337186,
3.5303468208092488,7.105491329479769,3.1189788053949905,
3.540462427745665,7.178227360308285,3.0573217726396917,
3.609344894026975,7.654142581888246,3.08140655105973,
3.3839113680154145,7.007225433526012,3.4667630057803467,
3.852601156069364,7.333333333333333,3.1242774566473988,
3.5992292870905587,7.13102119460501,2.842003853564547,
3.960019267822736,7.5789980732177264,3.073217726396917,
3.716281310211946,7.195568400770713,2.983622350674374,
3.590558766859345,6.992774566473988,2.979287090558767,
3.464354527938343,7.23121387283237,3.2196531791907512,
3.3641618497109826,7.130539499036609,3.1078998073217727,
3.856936416184971,6.57466281310212,3.1411368015414256,
3.4816955684007707,7.333815028901734,3.657996146435453,
3.6247591522157996,7.396435452793834,3.195086705202312,
3.7259152215799616,7.083333333333333,3.0370905587668595,
3.6984585741811173,7.66907514450867,3.1339113680154145,
4.0847784200385355,6.76878612716763,3.266859344894027,
3.7210982658959537,7.055876685934489,3.2789017341040463,
3.7384393063583814,7.336223506743738,3.1078998073217727,
3.7947976878612715,7.119942196531792,3.1228323699421967,
3.73747591522158,7.208092485549133,3.010597302504817,
3.8795761078998074,6.845375722543353,3.2740847784200384,
3.8660886319845855,7.190751445086705,3.0409441233140657,
3.958574181117534,7.039980732177264,3.373314065510597,
3.4922928709055876,7.503371868978806,3.2630057803468207,
3.816955684007707,6.827552986512524,3.0804431599229285,
3.6204238921001926,7.059248554913295,3.01252408477842,
3.922928709055877,7.118015414258188,3.421965317919075,
4.026493256262042,7.565510597302505,3.3333333333333335,
3.842485549132948,7.685452793834297,3.096820809248555,
4.06888246628131,7.4393063583815024,3.073217726396917,
3.859344894026975,7.214354527938343,3.19364161849711,
3.791907514450867,7.07466281310212,3.3188824662813103,
4.097302504816955,6.8376685934489405,3.248073217726397,
3.8877649325626202,6.865606936416185,2.882466281310212,
3.949421965317919,6.850674373795761,3.241329479768786,
4.091522157996146,6.643063583815029,3.229287090558767,
3.9903660886319847,6.75626204238921,3.164258188824663,
3.8092485549132946,7.151734104046243,3.2422928709055876,
4.1026011560693645,7.523121387283237,2.9113680154142583,
4.562138728323699,6.948940269749518,3.422928709055877,
4.0606936416184976,6.855973025048169,3.0915221579961463,
4.336223506743738,7.254816955684007,3.203275529865125,
4.52504816955684,7.4865125240847785,3.265414258188825,
4.638728323699422,7.065992292870906,3.2167630057803467,
4.540944123314065,7.204720616570327,3.1926782273603083,
4.857899807321773,7.521676300578035,3.179190751445087,
4.50626204238921,7.001926782273603,3.3945086705202314,
4.7215799614643545,7.036127167630058,3.36271676300578,
4.590077071290944,6.898843930635838,3.3179190751445087,
5.286608863198459,6.841522157996146,3.340077071290944,
4.922928709055877,7.144508670520231,3.5009633911368017,
5.130057803468208,7.096339113680155,3.4763969171483624,
5.3747591522158,6.622350674373796,3.5024084778420037,
5.1888246628131025,7.244701348747592,3.485549132947977,
5.3289980732177264,7.164258188824663,3.46868978805395,
5.659441233140655,7.101156069364162,3.365606936416185,
5.605009633911368,6.883911368015414,3.2986512524084777,
5.372832369942197,7.013005780346821,3.417630057803468,
5.007225433526012,7.411368015414258,3.1984585741811173,
5.157514450867052,7.258188824662813,3.464354527938343,
4.617052023121388,7.276493256262042,3.1859344894026975,
4.953275529865126,6.42485549132948,3.4778420038535645,
4.8126204238921,7.384874759152216,3.5284200385356455,
4.702793834296725,7.394026974951831,3.438824662813102,
4.207610789980732,7.307803468208093,3.3246628131021194,
4.243256262042389,6.464836223506744,3.4677263969171483,
4.487957610789981,7.112235067437379,3.2683044315992293,
4.178709055876686,6.985067437379576,3.3448940269749516,
4.267341040462428,7.028901734104046,3.1628131021194603,
4.140173410404624,6.845375722543353,3.3477842003853566,
4.908959537572255,6.502890173410405,3.2427745664739884,
4.4123314065510595,6.763969171483622,3.316955684007707,
4.335741811175337,6.606936416184971,3.355009633911368,
4.092003853564547,7.032755298651252,3.203757225433526,
3.9667630057803467,6.8111753371868975,3.2803468208092488,
4.313583815028902,7.03082851637765,3.390655105973025,
4.411368015414258,6.720134874759152,3.458574181117534,
4.708092485549133,6.668593448940269,3.152697495183044,
5.2634874759152215,7.191714836223507,3.2013487475915223,
4.534682080924855,7.134393063583815,3.340558766859345,
4.47495183044316,6.914258188824663,3.172447013487476,
4.347784200385356,7.434971098265896,3.3916184971098264,
4.839595375722543,7.660886319845857,3.4253371868978806,
5.171483622350674,6.966281310211946,3.4966281310211946,
4.658959537572255,6.82466281310212,3.4763969171483624,
4.7157996146435455,6.801541425818883,3.445086705202312,
4.842485549132948,6.867052023121388,3.2832369942196533,
5.25626204238921,7.497109826589595,3.571290944123314,
5.383429672447013,6.986994219653179,3.536127167630058,
5.09393063583815,6.786127167630058,3.552504816955684,
4.9629094412331405,7.012042389210019,3.214836223506744,
5.281791907514451,6.898362235067437,3.4590558766859343,
5.2784200385356455,7.526974951830443,3.2764932562620426,
4.96868978805395,7.20616570327553,3.5789980732177264,
4.897880539499036,7.035163776493256,3.346820809248555,
5.118497109826589,6.9508670520231215,3.2235067437379574,
5.008188824662813,7.286127167630058,3.3265895953757227,
5.085260115606936,6.91281310211946,3.2066473988439306,
5.114161849710983,7.38728323699422,3.3097302504816954,
4.878131021194605,6.97543352601156,3.2634874759152215,
5.130057803468208,6.944123314065511,3.253853564547206,
4.605491329479769,6.57514450867052,3.4908477842003856,
4.745664739884393,6.67485549132948,3.3752408477842004,
4.59393063583815,7.313102119460501,3.3699421965317917,
4.594894026974952,7.056840077071291,3.1652215799614645,
4.491811175337187,7.490366088631984,3.459537572254335,
4.528901734104046,7.348747591522158,3.2972061657032756,
4.024084778420039,6.633429672447013,3.327071290944123,
3.9985549132947975,7.079479768786127,3.273121387283237,
4.201830443159923,7.05635838150289,3.273121387283237,
4.202793834296725,6.672447013487476,3.2490366088631983,
3.9710982658959537,6.84393063583815,3.4166666666666665,
3.9041425818882467,7.060211946050097,3.1054913294797686,
3.878612716763006,7.1295761078998074,3.1416184971098264,
4.307321772639692,6.9002890173410405,3.0,
4.018304431599229,6.702312138728324,3.1917148362235066,
3.815510597302505,6.675818882466281,3.373795761078998,
4.0611753371868975,7.1117533718689785,3.3622350674373798,
4.390655105973025,6.876204238921002,3.138728323699422,
3.8588631984585744,7.151734104046243,3.315028901734104,
4.008670520231214,7.45616570327553,3.0891136801541426,
4.315510597302505,6.758188824662813,3.183044315992293,
4.140655105973025,7.285163776493256,3.422447013487476,
4.638728323699422,7.063102119460501,3.2013487475915223,
4.344412331406551,7.230732177263969,3.53131021194605,
4.285645472061657,7.044797687861272,3.2991329479768785,
4.523121387283237,6.634874759152216,3.323217726396917,
4.201830443159923,6.774084778420039,3.2567437379576107,
4.770712909441233,7.203275529865126,3.33140655105973,
4.308766859344894,6.973988439306359,3.210019267822736,
4.141136801541426,7.051541425818883,3.2485549132947975,
4.198458574181117,7.10645472061657,3.2890173410404624,
3.74373795761079,7.2244701348747595,3.1358381502890174,
4.164739884393064,6.729768786127168,3.258670520231214,
3.8333333333333335,7.25626204238921,3.134393063583815,
3.7923892100192678,7.168593448940269,3.428709055876686,
4.053468208092486,7.842967244701349,3.27504816955684,
3.94990366088632,8.196531791907514,3.2220616570327554,
4.000481695568401,6.743256262042389,3.1647398843930636,
4.105491329479769,6.855009633911368,3.118015414258189,
3.959537572254335,7.291425818882466,3.1209055876685934,
3.907996146435453,7.110789980732177,3.3699421965317917,
4.026493256262042,6.9744701348747595,3.1907514450867054,
3.911849710982659,6.9865125240847785,3.3179190751445087,
4.26878612716763,7.301059730250482,3.171965317919075,
3.9046242774566475,7.3675337186897885,3.351637764932563,
3.806840077071291,7.055394990366088,3.27504816955684,
3.7615606936416186,7.061657032755298,3.030828516377649,
3.746146435452794,6.659922928709056,3.0390173410404624,
3.9816955684007707,6.979768786127168,3.219171483622351,
3.7639691714836223,6.553468208092486,3.361271676300578,
3.9301541425818884,6.997109826589595,3.101156069364162,
4.015414258188825,6.930635838150289,3.269267822736031,
4.133911368015414,7.11897880539499,3.205684007707129,
4.101156069364162,6.435452793834297,3.0794797687861273,
3.779383429672447,6.922447013487476,3.1608863198458574,
3.932562620423892,7.434007707129094,3.052023121387283,
4.09344894026975,6.6710019267822736,3.402697495183044,
3.974470134874759,6.858863198458574,3.449421965317919,
4.176300578034682,6.745183044315993,3.468208092485549,
4.094894026974952,6.67485549132948,3.1064547206165702,
3.999518304431599,6.694605009633912,3.4908477842003856,
4.2365125240847785,6.9330443159922925,3.223025048169557,
3.9263005780346822,6.762042389210019,3.178709055876686,
4.220616570327553,6.3733140655105975,3.23747591522158,
4.382947976878612,6.890655105973025,3.0703275529865124,
4.020712909441233,6.9002890173410405,3.142581888246628,
3.8545279383429674,7.040944123314065,3.525529865125241,
3.898362235067437,6.7215799614643545,3.1464354527938343,
4.172928709055877,7.417148362235068,3.16859344894027,
4.057321772639692,6.920520231213873,3.4677263969171483,
4.07466281310212,7.213391136801541,3.253853564547206,
3.924373795761079,7.39354527938343,3.321772639691715,
4.155105973025048,6.8973988439306355,3.5515414258188827,
4.03131021194605,7.763969171483622,3.2610789980732178,
3.964354527938343,6.813102119460501,3.4060693641618496,
4.116088631984586,7.429672447013488,3.2013487475915223,
4.2278420038535645,7.761078998073217,3.1873795761079,
4.2157996146435455,6.928227360308285,3.4470134874759153,
4.02504816955684,7.11271676300578,3.3742774566473988,
3.928709055876686,7.054431599229287,3.4816955684007707,
4.336705202312139,7.380539499036609,3.082369942196532,
4.522639691714836,7.394990366088632,3.565510597302505,
4.055394990366088,7.4479768786127165,3.335741811175337,
4.301541425818883,7.445086705202312,2.9763969171483624,
3.8453757225433525,6.91907514450867,3.2991329479768785,
4.159922928709056,7.448458574181117,3.0765895953757227,
4.082369942196531,6.789017341040463,3.260597302504817,
4.051541425818883,7.805876685934489,3.239884393063584,
4.063583815028902,7.563583815028902,3.1657032755298653,
4.160404624277457,7.533718689788054,3.447495183044316,
3.9296724470134876,6.828034682080925,3.229287090558767,
4.10645472061657,6.936416184971098,3.5366088631984587,
4.321772639691715,7.4744701348747595,3.2254335260115607,
4.09393063583815,7.080443159922929,3.4908477842003856,
4.150770712909441,6.6324662813102115,3.182562620423892,
4.288053949903661,6.889210019267823,3.3434489402697496,
3.945568400770713,7.663294797687861,3.313102119460501,
4.105009633911368,7.14980732177264,3.1199421965317917,
3.9060693641618496,6.971098265895954,3.516859344894027,
3.898843930635838,7.426300578034682,3.1416184971098264,
3.8371868978805397,7.096339113680155,3.3728323699421967,
3.949421965317919,7.105973025048169,3.1965317919075145,
4.1117533718689785,6.840077071290944,3.128131021194605,
4.396917148362235,6.952312138728324,3.346339113680154,
3.994219653179191,7.124277456647399,3.388246628131021,
4.240366088631984,7.405587668593449,3.246146435452794,
3.8545279383429674,7.099229287090559,3.270231213872832,
3.985549132947977,7.211464354527938,3.5091522157996144,
4.116088631984586,6.929190751445087,3.4311175337186897,
4.436897880539499,6.704720616570327,3.3704238921001926,
4.231695568400771,6.914739884393064,3.388728323699422,
