B_1,B_2,B_3,B_4,B_5,T_1,T_2,T_3,T_4,T_5,G_1,G_2,G_3,G_4,G_5,
5.225216852540273,3.5129151291512914,3.2728055077452667,3.0286839145106863,3.5244122965641953,7.7168525402726145,6.265682656826568,5.23407917383821,5.604049493813274,6.236889692585895,3.4231722428748452,3.2232472324723247,3.1927710843373496,2.934195725534308,3.1645569620253164,
4.76270136307311,3.1863468634686347,3.5120481927710845,3.3053993250843643,3.5443037974683542,8.007434944237918,6.6033210332103325,5.483648881239243,6.222159730033746,6.545207956600362,3.5969640644361833,2.90159901599016,2.7839931153184163,2.8914510686164228,3.315551537070524,
4.33457249070632,3.2183271832718328,3.8545611015490535,3.184476940382452,3.4511754068716094,7.571251548946716,6.280442804428044,5.553356282271945,5.804274465691789,6.293851717902351,3.327447335811648,3.0670356703567037,2.6867469879518073,3.123172103487064,2.953887884267631,
4.4259603469640645,3.5842558425584254,2.982788296041308,3.37007874015748,3.2576853526220613,7.876703841387856,6.078720787207872,5.726333907056799,6.036557930258717,6.386075949367089,3.6319702602230484,3.1027060270602704,2.9096385542168677,2.9696287964004497,3.2160940325497287,
3.94361833952912,3.4095940959409594,3.3072289156626504,3.2227221597300337,3.461121157323689,8.193928128872367,6.101476014760148,5.481927710843373,6.520809898762654,6.250452079566004,3.307001239157373,3.316728167281673,2.7693631669535286,3.0978627671541057,2.891500904159132,
4.089219330855019,3.4723247232472323,3.1506024096385543,3.081552305961755,3.5334538878842676,7.539962825278811,6.132841328413284,6.092082616179002,6.231158605174353,6.808318264014466,3.368649318463445,2.8659286592865927,3.166092943201377,3.1181102362204722,3.162748643761302,
4.032837670384139,3.204182041820418,3.1755593803786577,3.2474690663667043,3.046112115732369,7.609355638166047,6.031980319803198,5.466437177280551,6.394263217097863,6.905967450271247,3.3872366790582404,3.095940959409594,3.1325301204819276,2.8340832395950506,3.0831826401446656,
4.2242874845105325,3.4747847478474783,3.2865748709122204,3.250281214848144,3.662748643761302,7.62639405204461,5.894833948339484,5.585197934595525,5.817772778402699,6.7974683544303796,3.1895910780669143,3.0030750307503076,2.8373493975903616,2.8273340832395952,3.5452079566003616,
4.497831474597274,3.550430504305043,3.5335628227194493,3.322834645669291,3.0840867992766725,7.9609665427509295,6.203567035670357,5.8907056798623065,6.159167604049494,6.719710669077758,3.33364312267658,3.1162361623616235,2.991394148020654,3.2232845894263216,3.2848101265822787,
4.558240396530359,3.4403444034440342,3.332185886402754,3.402699662542182,3.3951175406871608,7.86090458488228,6.286592865928659,5.203958691910499,5.746906636670416,6.455696202531645,3.479553903345725,3.257072570725707,2.8037865748709123,2.8307086614173227,3.2124773960216997,
4.635687732342007,3.7306273062730626,3.3691910499139417,3.075928008998875,3.5244122965641953,7.7459727385377946,5.763837638376383,5.765060240963855,5.963442069741283,6.315551537070524,3.2193308550185873,2.956949569495695,2.8313253012048194,3.046119235095613,3.390596745027125,
