B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,
5.115602836879432,4.106273062730628,4.664835164835165,5.101364522417154,4.967310087173101,4.822800495662949,4.783764870538838,3.4791946308724833,6.663120567375887,6.649077490774908,10.180533751962324,7.900584795321637,11.727272727272727,7.4572490706319705,10.071378586424073,7.265771812080537,2.928368794326241,3.2752767527675277,3.044740973312402,3.4137426900584797,3.098692403486924,3.2775712515489466,7.161651504548636,3.2838926174496645,
5.290780141843972,4.53579335793358,4.8076923076923075,4.886939571150098,4.736301369863014,4.159851301115242,4.608817354793562,3.834228187919463,6.726950354609929,6.58339483394834,10.131083202511775,8.464424951267057,13.042652552926526,7.983890954151177,9.064380685794262,7.295973154362416,3.0120567375886527,3.300738007380074,3.3500784929356358,3.294346978557505,3.443337484433375,3.5452292441140023,5.636808957312806,3.3476510067114096,
4.978014184397163,4.690774907749078,4.652276295133438,5.25,4.654732254047323,4.61090458488228,4.488453463960812,3.8959731543624163,6.706382978723404,6.604059040590406,10.466248037676609,7.755360623781677,13.14788293897883,7.913258983890954,9.093771868439468,6.941610738255034,3.00354609929078,3.092988929889299,3.268445839874411,3.0594541910331383,3.0012453300124533,3.22180916976456,6.097970608817355,3.2140939597315437,
5.582978723404255,4.288929889298893,4.493720565149137,5.32943469785575,4.709838107098381,4.363073110285006,4.388383484954514,3.7348993288590604,6.235460992907801,6.2763837638376385,10.328100470957613,7.765107212475634,13.060087173100872,7.992565055762082,8.865640307907627,6.920805369127517,3.3347517730496454,3.1394833948339484,3.204866562009419,3.0321637426900585,3.1077210460772107,3.4956629491945477,5.668999300209937,3.1140939597315436,
5.2567375886524825,4.166420664206642,5.259811616954474,5.115009746588694,5.302303860523039,3.7695167286245352,4.679496151154654,3.725503355704698,6.897872340425532,6.221033210332103,10.306122448979592,7.8806042884990255,14.613013698630137,7.939281288723668,8.396081175647305,6.452348993288591,3.199290780141844,2.97859778597786,3.0156985871271584,3.2982456140350878,3.13854296388543,3.3370508054522925,5.720083974807558,3.118791946308725,
5.0638297872340425,3.977859778597786,5.1287284144427,4.873781676413255,5.579078455790785,4.684014869888476,4.97480755773268,3.6201342281879194,6.175177304964539,6.424354243542435,9.452119309262166,7.569688109161794,14.06569115815691,7.8166047087980175,8.658502449265221,6.669798657718121,3.2645390070921985,3.036531365313653,3.1797488226059656,3.4576023391812867,2.963885429638854,3.354399008674102,6.048985304408677,3.046308724832215,
5.221985815602837,4.243173431734317,5.78414442700157,4.921052631578948,5.26961394769614,4.916976456009913,4.456263121063681,3.912751677852349,6.301418439716312,6.5040590405904055,9.941915227629513,7.97270955165692,14.378580323785803,8.353159851301115,9.357592722183345,6.84496644295302,2.875886524822695,3.1394833948339484,3.0894819466248036,2.8430799220272904,3.1597135740971356,3.3729863692688973,6.349195241427572,2.976510067114094,
5.219148936170213,4.169741697416974,6.176609105180534,5.15692007797271,5.49439601494396,4.833952912019827,4.606717984604619,3.8328859060402682,5.940425531914894,6.587084870848709,10.410518053375196,8.032163742690058,15.367683686176838,8.254027261462205,9.564730580825753,6.6516778523489934,3.0482269503546098,3.152029520295203,3.3516483516483517,3.28411306042885,3.2820672478206725,3.26270136307311,5.6696990902729185,3.209395973154362,
4.968085106382978,4.15830258302583,5.91287284144427,4.584307992202729,5.379825653798257,4.690210656753408,4.571728481455564,3.9483221476510066,6.539716312056737,6.734317343173432,9.221350078492936,7.863060428849902,14.469800747198008,8.291201982651797,9.023792862141358,7.416778523489933,2.931914893617021,2.7623616236162363,3.134222919937206,3.404970760233918,3.233810709838107,3.42998760842627,6.409377186843947,2.961744966442953,
5.31418439716312,4.14169741697417,5.67817896389325,4.681286549707602,5.22291407222914,4.558859975216852,4.971308607417774,4.059060402684564,6.478014184397163,6.823247232472324,9.586342229199373,7.939571150097466,14.099315068493151,8.189591078066915,10.596920923722884,7.17248322147651,3.2035460992907803,2.9833948339483394,3.366562009419152,3.2383040935672516,3.1145703611457036,3.1697645600991327,7.27851644506648,3.184563758389262,
