B_1,B_2,B_3,B_4,T_1,T_2,T_3,T_4,G_1,G_2,G_3,G_4,
3.383954154727794,3.662741403674046,4.487673343605547,3.9473684210526314,6.166905444126074,5.844088553933114,7.247046738572163,6.489526491814821,3.096704871060172,2.9123881300047105,3.477914740626605,3.379510649533533,
3.621776504297994,3.684408855393311,3.9453004622496146,4.066361556064074,6.2020057306590255,6.489401789919925,7.223420647149461,6.773807428269671,2.78080229226361,3.071596796985398,3.349768875192604,3.0851962682626297,
3.6253581661891117,4.260480452190297,4.346430405752439,3.9848618201020947,6.581661891117479,6.127178520960904,7.407550077041602,6.6247139588100685,2.9670487106017194,2.8516250588789447,3.37904468412943,3.1068473860235875,
3.5451289398280803,4.245407442298634,3.91165896250642,3.923076923076923,6.588825214899713,6.228921337729628,6.849255264509502,6.956345713782785,3.348137535816619,2.9486575600565237,3.4019003595274784,3.0675937334976235,
3.2335243553008595,3.758831841733396,4.269388803287108,4.109487766238338,6.446275071633238,6.214790390956194,6.749614791987673,6.859707797922901,2.9670487106017194,3.075836081017428,3.2876219825372366,3.1865868685090653,
3.213467048710602,4.298634008478568,4.067026194144838,3.990846681922197,6.641117478510028,6.163447951012718,6.90934771443246,7.218447456433727,2.86676217765043,3.029674988224211,3.529532614278377,3.08537229361028,
3.2578796561604584,4.040979745642958,4.145095017976374,4.08325998943848,5.930515759312321,6.164861045690062,6.780688238315357,6.641964442879774,2.98567335243553,3.1714554875176635,3.3602978941961994,3.3252948424573137,
3.4054441260744985,4.1059821008007535,4.056497175141243,4.260341489174441,6.310171919770774,6.13094677343382,6.795069337442219,6.540045766590389,3.19054441260745,3.0885539331135186,3.4026707755521315,3.4303819750044005,
3.501432664756447,4.011775788977862,4.279661016949152,3.8558352402745997,6.175501432664756,6.284974093264249,7.1997945557267595,6.7070938215102975,3.1196275071633237,3.000942063118229,3.6877247046738573,3.1814821334272136,
3.3302292263610314,3.9637305699481864,4.540061633281972,4.11388839992959,6.645415472779369,6.134243994347622,7.120441705187468,6.678225664495687,2.924785100286533,2.928403203014602,3.1915767847971237,3.043302235521915,
3.3803724928366763,4.130475741874705,4.4956343091936315,3.91374757965147,6.077363896848137,6.062647197362224,6.482023626091423,6.386551663439535,3.3631805157593124,3.0433349034385304,3.4745762711864407,3.1427565569442,
3.336676217765043,4.475741874705605,4.693117616846431,3.923428973772223,6.436962750716332,5.920395666509656,7.3192090395480225,6.596373877838409,2.842406876790831,3.158266603862459,3.280431432973806,3.0521035029044183,
3.463467048710602,4.625529910504004,4.758346173600411,4.148037317373702,5.991404011461318,6.382948657560057,6.8014894709809965,6.643900721703925,3.17621776504298,2.923221855864343,3.256034925526451,2.977468755500792,
3.322349570200573,4.89543099387659,4.787878787878788,4.101918676289386,6.252148997134671,6.089024964672633,7.136363636363637,6.855835240274599,2.9734957020057307,2.8134715025906734,3.595531587057011,3.2902657982749517,
3.4720630372492836,4.769194536033914,4.318438623523369,4.08660447104383,6.212750716332378,6.713141780499294,7.345916795069337,6.606935398697413,3.206303724928367,3.0494583137070186,3.399845916795069,3.1841225136419644,
3.5408309455587395,4.9467734338200655,4.460965588084232,4.220207709910227,6.118194842406877,6.776731040979746,6.783769902413971,6.644252772399225,3.3939828080229226,3.178991992463495,3.4152542372881354,3.1855307164231648,
3.4362464183381087,5.056523787093735,4.511042629686697,4.2858651645837,6.861747851002866,6.747527084314649,6.822547508988187,6.8678049639148036,3.0279369627507164,3.0946773433820067,3.443759630200308,3.223200140820278,
3.681948424068768,4.788977861516722,4.545968156137648,4.217919380390776,5.843839541547278,6.764013188883655,6.938109912686184,6.652701989086428,3.2027220630372493,3.207724917569477,3.373651771956857,3.216687202957226,
3.60243553008596,5.066415449835139,4.709553158705701,4.1434606583348,5.918338108882521,6.704663212435233,6.897021058038007,6.324942791762013,3.0702005730659025,3.0292039566650963,3.421674370826913,3.0174265094173562,
3.7786532951289398,4.640131888836552,4.325885978428351,4.346945960218272,6.189828080229226,7.601507300989167,7.089881869542887,6.537757437070939,3.3445558739255015,2.9698539802166746,3.399332306111967,3.269318781904594,
3.8431232091690544,4.955252001884126,4.275552131484335,4.2872733673649,6.73352435530086,6.933113518605746,6.75808936825886,6.584404154198205,2.727077363896848,3.0682995760715968,3.4047252182845402,3.328639324062665,
3.664756446991404,4.798398492699011,4.327170005136106,4.480725224432319,6.449140401146132,7.8412623645784265,6.979455572675912,6.603766942439711,3.121060171919771,3.2468205369759775,3.3502824858757063,3.1612392184474563,
4.189828080229226,5.456900612341027,4.385464817668208,4.648301355395177,6.9240687679083095,7.679227508243052,7.193374422187982,7.02939623305756,3.020057306590258,3.09609043805935,3.442989214175655,3.234641788417532,
4.275071633237823,5.125294394724446,4.259116589625064,4.7141348354163,5.922636103151863,8.822892133772962,6.9209039548022595,6.793346241858828,3.2148997134670485,3.0937352802637776,3.3484848484848486,3.3708854074986796,
4.419054441260745,4.914272256241168,4.402157164869029,4.7157190635451505,6.851002865329513,8.026377767310409,7.242424242424242,7.072170392536525,3.3080229226361033,3.255770136599152,3.442732408834104,3.2966027107903537,
4.930515759312321,5.335374470089496,3.96276322547509,4.722936102798803,6.330229226361031,7.466321243523316,6.976373908577298,6.754268614680514,3.061604584527221,3.0659444182760245,3.3551617873651773,3.268790705861644,
4.722063037249284,5.113518605746585,4.265793528505393,4.9102270726984685,6.343839541547278,8.146019783325483,6.35105290190036,6.94296778736138,3.342406876790831,3.155440414507772,3.2349768875192604,3.1832423869037143,
5.505014326647564,4.658502119642016,4.533641499743195,4.575250836120401,6.018624641833811,7.836552048987282,6.781201848998459,6.635979581059672,3.3216332378223496,3.3226566179934056,3.3261427837699022,3.226192571730329,
4.916189111747851,5.313235986811116,4.147663071391885,4.813589156838585,5.929083094555874,7.482807348092322,7.059578839239856,7.08660447104383,3.1174785100286533,3.146490814884597,3.236260914227016,3.2925541277944026,
4.954154727793696,5.090438059349976,4.0051361068310225,4.931350114416476,6.19484240687679,7.916156382477626,6.843348741653826,6.923781024467523,3.214183381088825,3.037682524729157,3.482794042116076,3.25770110895969,
4.978510028653295,4.9731512011304755,4.470210580380072,4.756204893504664,6.497851002865329,8.566650965614697,6.582434514637905,7.004224608343601,3.072349570200573,3.242581252943947,3.3240883410374935,3.306108079563457,
5.94054441260745,4.788977861516722,4.350796096558809,4.957049815173385,5.944126074498567,8.538389072067828,6.87904468412943,6.894560816757613,3.3567335243553007,3.0447479981158736,3.4345146379044684,3.25787713430734,
5.689111747851003,5.200188412623646,4.171802773497689,4.97201196972364,6.55515759312321,8.48893075836081,6.609912686183873,6.77011089596902,2.921919770773639,3.158266603862459,3.462249614791988,3.159478964970956,
5.33595988538682,4.680640602920396,4.545454545454546,5.14328463298715,6.113896848137536,8.972209138012246,6.7354904982023625,7.252948424573138,3.1482808022922635,3.1935939707960435,3.378531073446328,3.249251892272487,
4.914756446991404,5.182289213377296,4.378531073446328,4.832775919732441,6.549426934097421,8.258596325953839,7.0423728813559325,6.867100862524204,2.9806590257879657,3.15732454074423,3.3551617873651773,3.145044886463651,
5.224928366762177,5.181818181818182,4.427580893682588,4.854779088188699,7.1554441260744985,8.57230334432407,7.0053929121725735,6.68685090653054,3.2435530085959887,3.0329722091380122,3.1985105290190035,3.344833656046471,
5.0501432664756445,5.16156382477626,4.15819209039548,5.414539693715895,6.649713467048711,8.115402731983043,6.887519260400616,6.5995423340961095,3.141117478510029,3.099858690532266,3.135850025680534,3.2149269494807253,
4.430515759312321,4.876589731512011,4.431689779147407,5.311212814645309,6.792263610315186,8.008007536504946,6.600924499229584,6.646541101918676,3.1540114613180514,3.099858690532266,3.300975860297894,3.311212814645309,
4.632521489971347,4.949128591615638,4.400616332819722,4.9121633515226195,6.8445558739255015,8.689119170984457,6.762711864406779,6.630170744587221,2.891117478510029,2.9707960433349037,3.2478171545968157,3.202781200492871,
4.482091690544412,5.06971267074894,4.539291217257319,5.271783136771695,6.053008595988539,8.31040979745643,6.936055469953775,6.981693363844394,3.4484240687679084,2.8973151201130474,3.2968669748330766,3.160535117056856,
4.103151862464183,4.978803579839849,4.437082691319979,4.989966555183947,6.659025787965616,8.266603862458785,6.508988186954289,6.646365076571026,2.964183381088825,3.017428167687235,3.210066769388803,3.2533004752684387,
3.9527220630372493,4.821008007536505,4.4671289162814585,5.063545150501672,6.388968481375358,8.223739990579368,6.911402157164869,7.155606407322654,3.138968481375358,2.8954309938765896,3.298151001540832,3.3722936102798804,
4.176934097421204,4.853509185115403,4.595017976373908,4.755500792114065,6.818051575931232,8.675930287329251,7.118130457113508,6.761661679281817,3.1045845272206303,3.3297220913801224,3.273754494093477,3.136771695124098,
4.237822349570201,4.849269901083373,4.511042629686697,5.082731913395529,7.237106017191977,7.651436646255299,6.824858757062147,6.752332335856363,3.0687679083094554,3.307583608101743,3.4714946070878274,3.042246083436015,
4.060888252148997,4.885068299576072,4.817154596815614,4.982749515930294,6.404727793696275,7.630711257654263,7.22778633795583,6.986446048230945,3.0286532951289398,3.2468205369759775,3.3402670775552132,3.1962682626298187,
4.134670487106018,5.021667451719265,4.768104776579353,4.775567681746171,7.4756446991404015,8.164390014130946,6.757062146892656,6.634219327583172,2.9906876790830945,3.2275082430522843,3.6458654340010272,3.3214222848090125,
3.9477077363896846,4.786151672162035,4.851566512583462,5.3011793698292555,6.135386819484241,7.978332548280735,6.436055469953775,6.954761485653934,3.0279369627507164,2.8473857748469147,3.3816127375449407,3.1420524555536,
3.9648997134670485,4.853980216674517,5.040575243965074,4.875022003168456,6.051575931232092,8.552048987282149,7.364149974319466,7.013553951769055,2.8896848137535818,3.0923221855864345,3.2760657421674373,3.297658862876254,
4.358882521489972,4.390956194065002,4.72085259373395,5.234641788417532,6.222063037249284,8.570419218087611,7.019260400616333,7.388487942263686,2.8015759312320916,3.0720678285445127,3.2231638418079096,3.2101742650941736,
3.9398280802292263,4.623174752708431,4.896507447354905,5.361204013377926,6.558022922636103,7.822421102213848,7.046995377503852,7.621897553247668,3.0121776504297992,3.060292039566651,3.337699024139702,3.222143988734378,
3.598137535816619,4.234102684879887,5.135593220338983,5.34236930117937,6.378223495702006,8.696655675930288,6.730868002054443,7.590565041365957,3.017191977077364,3.0730098916627413,3.588854648176682,3.2235521915155783,
4.083810888252149,4.363165332077249,4.881099126861839,5.562400985741947,5.9054441260744985,7.646726330664155,6.796866974833076,7.766942439711318,3.011461318051576,3.2614225153085257,3.356702619414484,3.263157894736842,
3.8488538681948423,4.33678756476684,4.807909604519774,5.613448336560465,6.110315186246418,7.5332077249175695,6.85798664612224,7.9037141348354165,2.832378223495702,3.0188412623645786,3.4488957370313305,3.3587396585108253,
3.944126074498567,4.248704663212435,4.813045711350796,5.4344305580003525,6.537249283667622,7.248704663212435,6.992295839753467,7.748811828903362,2.9369627507163325,3.0447479981158736,3.336928608115049,3.3531068473860235,
4.020773638968481,4.522845030617051,4.999486389316898,5.5315965499031865,5.8517191977077365,7.360810174281677,6.72085259373395,7.798450976940679,2.8287965616045847,2.9943476212906264,3.428608115048793,3.1672240802675584,
4.184813753581662,4.391427225624117,5.320493066255779,5.559056504136596,6.037965616045845,7.684879886952426,7.149203903441191,7.676641436366837,2.9613180515759314,3.121526142251531,3.5136106831022085,3.3722936102798804,
3.987106017191977,4.691945360339143,4.289933230611196,5.492694948072522,6.342406876790831,7.6924163918982575,6.785567539804828,8.08642844569618,2.9498567335243555,3.080075365049458,3.484848484848485,3.254356627354339,
3.553724928366762,4.764013188883655,4.084232152028762,5.832599894384791,5.792979942693409,8.404616109279322,6.799435028248587,8.08431614152438,3.1074498567335245,3.193122939236929,3.5767847971237803,3.5669776447808483,
3.671919770773639,4.569948186528498,3.9663585002568054,5.636683682450273,6.020057306590258,6.9689119170984455,6.545968156137648,7.496391480373174,3.3373925501432664,3.1512011304757417,3.246276322547509,3.4699876782256647,
3.818051575931232,4.3127649552520015,4.245762711864407,5.4956873789825735,5.759312320916905,8.487046632124352,6.808680020544427,7.877662383383207,3.1303724928366763,3.3801224682053697,3.3957370313302517,3.4500968139412076,
3.695558739255014,4.1987753179463025,4.360041088854648,5.243267030452385,6.4964183381088825,7.797456429580782,6.68618387262455,8.695652173913043,3.061604584527221,3.4870466321243523,3.447868515665126,3.3747579651469812,
3.8080229226361033,4.443240697126708,4.979712378017463,5.6416123921844745,5.710601719197708,7.845030617051343,6.5228556753980484,8.077803203661327,3.0408309455587395,3.287329251059821,3.557267591165896,3.3441295546558703,
4.184813753581662,4.447951012717852,4.904982023626092,5.4175321246259465,6.13323782234957,7.159679698539803,7.2544940934771445,8.17021651117761,3.141833810888252,3.4229863400847855,3.2616846430405753,3.550959338144693,
3.906160458452722,4.331606217616581,5.328197226502311,5.711142404506249,6.283667621776504,7.247291568535092,6.9671289162814585,8.046294666431967,3.128223495702006,3.0989166274140367,3.4173086800205446,3.5903890160183067,
3.792263610315186,4.382477626000942,5.4206471494607085,5.196796338672769,6.083094555873926,8.073480923221856,6.751412429378531,8.240626650237635,2.9935530085959887,3.0372114931700422,3.3726245505906522,3.4039781728568914,
4.184097421203439,4.447008949599623,5.079866461222394,5.518746699524732,5.91189111747851,7.170984455958549,7.091165896250642,8.448512585812358,3.2206303724928365,3.2501177578897784,3.5747303543913715,3.6516458370005282,
4.0573065902578795,4.585492227979275,5.185670261941448,5.671536701284985,6.360315186246418,7.547338671691003,7.231638418079096,8.415947896497096,3.13323782234957,3.283560998586905,3.3980482794042115,3.6412603414891747,
4.010744985673353,4.694300518134715,5.00231124807396,5.647773279352227,6.001432664756447,7.682995760715968,6.8384694401643555,8.288681570146101,2.9340974212034383,3.3495054168629297,3.3261427837699022,3.3814469283576836,
3.9083094555873927,4.351860574658502,4.977657935285054,5.39992958986094,6.256446991404012,8.708902496467264,6.69542886492039,8.290969899665551,3.025787965616046,3.1516721620348562,3.4861325115562405,3.3377926421404682,
3.7829512893982806,4.447008949599623,5.059322033898305,5.261925717303292,6.0945558739255015,7.820065944418276,7.14894709809964,8.591269142756557,3.272922636103152,3.0659444182760245,3.3613251155624035,3.5495511353634925,
3.6712034383954153,4.738577484691475,5.424499229583976,5.244675233233585,6.324498567335244,7.529439472444654,6.990241397021058,8.22496039429678,3.0702005730659025,3.0989166274140367,3.3800719054956345,3.6924837176553424,
3.75,4.586434291097503,5.251926040061633,5.193803907762718,5.7184813753581665,7.717852096090438,7.138931689779147,8.643548671008626,3.080945558739255,3.2816768723504475,3.3680020544427323,3.4347826086956523,
3.727077363896848,4.487046632124352,5.067282999486389,5.609575778912164,5.439111747851003,7.935939707960434,7.232152028762198,8.71395881006865,3.0329512893982806,3.3452661328308997,3.4694401643554187,3.6472452033092764,
3.603151862464183,4.439943476212906,4.966872110939907,5.0223552191515575,5.775071633237823,8.731040979745643,6.920390344119157,8.635275479669072,3.342406876790831,3.316062176165803,3.239085772984078,3.7535645132899136,
3.974212034383954,4.671219971738107,4.4953775038520805,5.249603942967787,5.813037249283668,7.94724446537918,7.211350796096559,8.68579475444464,3.164756446991404,3.304757418747056,3.299691833590139,3.534412955465587,
3.682664756446991,4.99576071596797,4.699537750385208,5.357331455729625,6.247851002865329,7.362223268959021,6.912942989214176,8.51364196444288,3.010028653295129,3.0904380593499763,3.374165382639959,3.4594261573666607,
4.06160458452722,4.754592557701366,4.864663585002568,5.324062665023764,5.868194842406877,7.640602920395667,6.746789933230612,8.984157718711494,3.267908309455587,3.1375412152614226,3.3443759630200307,3.517866572786481,
3.8144699140401146,4.983984926990108,4.8012326656394455,5.294666431966204,5.832378223495702,8.112105511069242,7.1985105290190035,8.495511353634923,3.0959885386819486,3.4333490343853037,3.441705187467899,3.4215807076218976,
3.7714899713467047,4.558172397550636,5.113251155624037,5.184474564337265,6.2206303724928365,7.508243052284503,7.5228556753980484,8.970603766942439,2.901862464183381,3.275082430522845,3.2175141242937855,3.3863756380918852,
4.1038681948424065,5.221855864342911,4.503595274781715,5.1026227776799855,5.6812320916905446,7.783325482807348,6.863379558294812,9.003520506953,3.017191977077364,3.1592086669806876,3.352336928608115,3.4092589332863934,
3.8080229226361033,4.546396608572774,5.190806368772471,5.295018482661503,5.588825214899713,7.802637776731041,7.019003595274782,8.578947368421053,2.8982808022922635,3.1978332548280735,3.215973292244479,3.3553951769054744,
3.7636103151862463,4.951954780970325,4.849255264509502,5.130962858651646,6.165472779369628,8.837023080546397,6.692347200821777,8.792642140468228,3.083810888252149,3.0065944418276023,3.2937853107344632,3.4106671360675938,
4.000716332378223,4.740461610927932,5.003081664098613,5.02781200492871,5.526504297994269,7.648139425341498,6.4681561376476635,8.566977644780849,2.944126074498567,3.1436646255299103,3.225988700564972,3.5131138883999298,
3.9068767908309456,4.653320772491757,4.991525423728813,4.983453617320894,6.0687679083094554,8.083372585963259,7.023626091422702,8.588980813237105,3.2879656160458453,3.51530852567122,3.393939393939394,3.431438127090301,
3.979942693409742,4.604804521902968,5.301746276322548,4.966555183946488,6.3445558739255015,8.098916627414036,6.826399589111453,8.504488646365077,3.0444126074498565,3.338200659444183,3.389830508474576,3.3504664671712727,
4.1224928366762175,4.737635421573246,5.107858243451464,5.144692835768351,5.894699140401146,8.484220442769665,6.956599897277863,8.988030276359796,2.799426934097421,3.438530381535563,3.4817668207498715,3.4289737722232,
4.0479942693409745,5.063589260480452,5.052388289676426,5.336384439359268,5.8796561604584525,8.043805934997645,7.441191576784797,9.473156134483366,3.201289398280802,3.5332077249175695,3.406779661016949,3.578067241682802,
4.262893982808023,4.740461610927932,5.364920390344119,5.492166872029572,6.479226361031519,7.700423928403203,7.101951720595788,8.955113536349234,3.1375358166189113,3.4451248233631655,3.3970210580380074,3.4001056152085902,
4.139684813753582,4.756476683937824,5.243451463790447,4.895792994191163,6.376790830945558,8.066886481394253,7.053672316384181,8.567681746171449,3.0293696275071635,3.2482336316533207,3.3582434514637907,3.5328287273367365,
4.546561604584527,4.582195007065473,5.048022598870056,5.0054567857771515,6.606017191977077,7.93028732925106,6.9589111453518235,9.602710790353811,3.062320916905444,3.5096561469618464,3.50462249614792,3.3837352578771345,
4.739255014326647,4.7399905793688175,5.193117616846431,5.516458370005281,5.840257879656161,7.700423928403203,7.341037493579867,9.049463122689668,3.2851002865329515,3.226095148374941,3.299691833590139,3.620489350466467,
4.224928366762177,4.825718323127649,4.988186954288649,5.358035557120226,6.063753581661891,8.04427696655676,7.796610169491525,9.010913571554303,3.214183381088825,3.325011775788978,3.435798664612224,3.270903010033445,
4.4312320916905446,5.440885539331135,5.075243965074473,5.327935222672065,5.937679083094556,8.191709844559586,6.991011813045711,9.25734905826439,3.1726361031518624,3.33160621761658,3.371854134565999,3.406090477028692,
4.749283667621777,6.029674988224211,4.869286081150488,5.4492166872029575,6.581661891117479,8.498822421102213,8.0346687211094,9.564689315261397,3.080945558739255,3.33160621761658,3.410631741140216,3.274599542334096,
4.541547277936963,6.641073951954781,5.241140215716487,5.5632811124801975,6.000716332378223,9.177107866227038,7.60477657935285,9.522267206477732,3.0522922636103154,3.2067828544512484,3.3564458140729325,3.380214750924133,
4.305873925501433,6.852096090438059,4.999743194658449,5.478260869565218,6.535816618911174,10.278850682995762,7.397021058038007,9.475444464002816,2.924785100286533,3.289213377296279,3.2254750898818694,3.2881534941031507,
4.310171919770774,6.815355628827131,4.7740112994350286,5.448160535117057,6.3775071633237825,10.098445595854923,7.973549049820236,9.521915155782432,3.268624641833811,3.279321714554875,3.3918849512069853,3.2726632635099455,
4.515042979942693,6.519076778144136,5.329224447868516,5.520330927653582,6.29727793696275,10.262364578426755,7.877503852080123,9.304347826086957,3.3560171919770774,3.3984926990108337,3.494863893168978,3.296426685442704,
4.125358166189112,6.430051813471502,5.223677452491012,5.560992782960747,6.000716332378223,10.24069712670749,7.593477144324602,9.37070938215103,3.011461318051576,3.2684879886952425,3.5434001027221367,3.1899313501144166,
4.5573065902578795,5.9298162976919455,4.843348741653826,5.654814293258229,6.234240687679083,10.284503061705134,7.024139702105804,9.346593909522971,3.214183381088825,3.359868111163448,3.4912686183872625,3.356979405034325,
4.631805157593123,5.335374470089496,4.903954802259887,6.011969723640204,5.999283667621777,10.17522373999058,7.32794042116076,9.580531596549903,3.3388252148997135,3.3664625529910506,3.4548022598870056,3.3300475268438654,
4.429799426934097,5.504945831370702,5.270672829994864,5.508185178665728,6.3961318051575935,10.340555817239755,7.793528505392912,10.088716775215632,3.2693409742120343,3.199717381064531,3.4322033898305087,3.293962330575603,
4.026504297994269,5.103626943005182,5.147149460708783,5.127794402393945,6.1482808022922635,9.702779086198776,7.375706214689266,9.804435838760782,2.8989971346704873,3.5096561469618464,3.4126861838726246,3.336560464706918,
5.10243553008596,5.5247291568535095,4.922701592193118,5.233937687026932,6.170487106017192,10.454545454545455,7.885464817668208,10.175673296954761,3.0730659025787967,3.391427225624117,3.5505906522855675,3.4249251892272485,
4.67621776504298,5.219029674988224,5.317925012840267,5.716951240978701,5.833094555873926,9.649081488459727,7.343091936312275,10.194508009153319,3.1769340974212033,3.463495054168629,3.467899332306112,3.4108431614152437,
4.612464183381089,5.5332077249175695,5.028762198253724,5.34254532652702,6.542263610315186,9.624587847385774,7.4393939393939394,10.352754796690723,2.6969914040114613,3.3495054168629297,3.458397534668721,3.4041541982045413,
4.708452722063037,4.95666509656147,5.288135593220339,5.433726456609752,6.115329512893982,10.079133301931229,8.053158705701078,10.272311212814646,2.7779369627507164,3.495054168629298,3.3911145351823317,3.3474740362612216,
4.775071633237823,5.457842675459256,5.518233179250128,5.588980813237106,5.941260744985673,9.853980216674517,7.46045197740113,10.19961274423517,2.9606017191977076,3.6118699952896844,3.3852080123266566,3.308748459778208,
4.467765042979942,5.58926048045219,5.240112994350283,5.439359267734554,5.761461318051576,9.160621761658032,8.247303543913713,10.006864988558352,2.9140401146131807,3.416862929816298,3.4717514124293785,3.3617320894208764,
4.805873925501433,5.137541215261423,4.953775038520801,5.436366836824503,5.805873925501433,9.97456429580782,7.620441705187468,10.048759021299068,3.0888252148997135,3.573716439001413,3.4612223934257833,3.265974300299243,
4.997134670487106,5.0975035327366935,5.396507447354905,5.497095581763774,5.843839541547278,9.303815355628828,7.306368772470467,9.51628234465763,2.929083094555874,3.7437588318417334,3.6363636363636362,3.5953177257525084,
4.5243553008595985,5.278850682995761,5.061119671289163,5.37141348354163,6.23352435530086,9.969853980216675,7.744478685156651,9.550079211406443,3.0286532951289398,3.3042863871879415,3.388546481766821,3.3497623657806725,
4.6812320916905446,5.614225153085257,5.100924499229584,5.041365956697764,5.9964183381088825,8.914743287800283,7.282999486389317,9.7158950888928,3.0816618911174785,3.4705605275553464,3.4170518746789935,3.4680513994015136,
4.231375358166189,5.2906264719736225,5.223934257832563,5.227600774511529,6.287965616045845,9.636363636363637,7.290190035952747,10.4258053159655,3.244269340974212,3.9317004239284032,3.473549049820236,3.3212462594613625,
4.972063037249284,4.734809232218558,5.071135079609656,5.473508185178666,5.976361031518625,9.650023551577956,7.023626091422702,10.483189579299419,2.92621776504298,3.259538389072068,3.5015408320493067,3.139764126034149,
4.357449856733524,4.818652849740933,5.091679506933744,5.272135187466995,6.006446991404012,9.57560056523787,7.316897791474062,10.08924485125858,2.8459885386819486,3.81205840791333,3.4422187981510017,3.3643724696356276,
4.593839541547278,5.604333490343853,5.043400102722137,5.529132195036085,6.121776504297994,9.606688648139425,7.223420647149461,9.787889456081675,2.995702005730659,3.678756476683938,3.443502824858757,3.3018834712198557,
