B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,
6.742529429520072,4.319662243667069,4.308036482533127,5.234602917341977,4.827784891165173,3.393536121673004,3.9390822784810124,5.480477223427332,13.116812556595232,6.582328106151991,20.400791602133886,8.719611021069692,18.052176696542894,5.681558935361217,6.404272151898734,7.876355748373102,4.324177482644129,3.121531966224367,3.0647048700739976,3.5235008103727714,4.647247119078105,2.702471482889734,3.117879746835443,3.6919739696312366,
7.094476305463326,4.458082026537998,4.541559112028911,5.47771474878444,5.845070422535211,3.2376425855513307,3.8742088607594938,5.4257049891540134,13.472079686085118,6.518395657418576,19.994665289967305,8.975283630470017,17.269846350832267,6.2100760456273765,7.304588607594937,7.699023861171367,4.521581648053124,3.155307599517491,3.305971433488212,3.4201782820097244,5.185019206145967,2.903992395437262,3.0292721518987342,3.2174620390455533,
7.1122849381225475,4.928528347406514,4.658922732748236,6.141815235008104,5.169654289372599,3.273764258555133,3.9343354430379747,6.006507592190889,14.060368246302446,6.6767189384800965,20.615040440543797,8.217585089141005,17.43277848911652,5.9543726235741445,7.084651898734177,7.767353579175705,4.862662239661938,3.137816646562123,3.1867148511443815,3.2913290113452187,5.581306017925736,3.0161596958174903,2.8473101265822787,3.5086767895878523,
7.1886507696951405,4.190591073582629,4.583892617449664,6.178282009724473,5.627720870678617,3.2984790874524714,3.8037974683544302,5.586767895878525,14.008451554482342,6.718335343787696,20.247633797969367,8.94611021069692,16.39852752880922,5.466730038022813,6.867879746835443,8.14587852494577,4.398128584364624,3.1013268998793726,3.446911030803648,3.2094813614262563,6.032330345710627,3.2186311787072244,3.0735759493670884,3.25,
7.203742831270752,4.563932448733413,4.579762519359835,5.966369529983792,5.629641485275288,3.291825095057034,4.194620253164557,5.2369848156182215,14.6444310292786,7.648673100120627,19.66632249182585,9.394651539708265,16.13124199743918,6.253802281368821,6.674050632911392,8.274403470715836,5.186537881074555,3.0937876960193003,3.3959731543624163,3.694894651539708,6.087708066581306,2.840304182509506,2.7436708860759493,3.4018438177874186,
7.63899788711138,4.257539203860072,4.7719841679573225,6.565640194489466,5.996478873239437,3.307984790874525,8.32753164556962,5.315618221258134,15.710232417748264,7.389022919179735,19.853725692651867,9.64546191247974,15.5,6.092205323193916,7.984177215189874,7.6757049891540134,4.754904920012073,3.2472858866103738,3.1583204267768026,3.407212317666126,5.656530089628681,2.803231939163498,2.9153481012658227,3.450108459869848,
8.067008753395713,4.330820265379976,4.821545345035278,6.590356564019449,5.525928297055057,2.9819391634980987,12.568037974683545,5.119848156182212,15.817687896166616,8.097104945717732,19.83651695061091,9.450162074554296,16.070422535211268,5.840304182509506,8.155063291139241,7.864967462039045,4.700875339571385,3.13751507840772,3.3662020306315608,3.292544570502431,6.2660051216389245,2.8136882129277567,3.1787974683544302,3.479934924078091,
7.768185934198612,4.5968033775633295,4.696437790397522,6.871961102106969,5.951344430217669,2.8783269961977185,7.966772151898734,5.354663774403471,16.16963477210987,7.249095295536791,19.086559972466013,9.810372771474878,15.185979513444302,5.525665399239544,7.467563291139241,8.76355748373102,4.941140959855116,3.3238841978287095,3.1049733264498367,3.1985413290113454,5.9667093469910375,3.1197718631178706,3.367879746835443,3.9295010845986984,
7.5858738303652276,4.498190591073582,4.811908449492342,6.941653160453809,6.194622279129321,3.3070342205323193,6.011867088607595,5.248373101952278,15.250528222155147,7.074185765983112,18.632593357425574,9.20421393841167,15.231754161331626,6.0399239543726235,6.843354430379747,7.432212581344903,5.073347419257471,3.18124246079614,3.181380141111685,3.2690437601296596,6.303137003841229,2.9771863117870723,3.0712025316455698,3.4094360086767894,
8.021128886205856,4.554282267792521,4.833247289623128,6.726094003241491,5.843790012804098,3.167300380228137,4.53876582278481,5.921908893709327,15.670993057651675,7.072074788902292,18.33488212011702,9.053079416531604,14.850512163892446,5.774714828897339,6.162183544303797,7.616594360086768,4.624509507998793,3.3971652593486126,3.379969024264326,3.114262560777958,5.518245838668374,2.8925855513307983,3.100474683544304,3.5265726681127982,
