B_1,B_2,B_3,B_4,B_5,T_1,T_2,T_3,T_4,T_5,G_1,G_2,G_3,G_4,G_5,
5.372822299651568,4.974683544303797,4.907608695652174,3.7079889807162534,4.662771958098308,6.535423925667828,17.848101265822784,6.541304347826087,7.09435261707989,12.488114423851732,2.8118466898954706,3.0239099859353025,3.0652173913043477,3.075068870523416,6.323932312651088,
5.336817653890825,4.974683544303797,4.792934782608696,3.5420110192837466,4.530821917808219,6.442508710801394,16.742616033755276,6.743478260869566,7.09366391184573,12.042304593070105,3.18931475029036,3.090014064697609,3.3625,2.922176308539945,6.0656728444802575,
4.234610917537747,4.6308016877637135,4.776630434782609,3.471763085399449,4.7735697018533445,6.449477351916376,17.344585091420534,6.583152173913043,6.496556473829201,11.276188557614827,2.889663182346109,3.682841068917018,3.338586956521739,2.894628099173554,7.560636583400483,
4.21486643437863,4.931786216596343,5.17445652173913,3.309228650137741,4.622884770346495,6.794425087108014,16.426160337552744,7.544021739130435,6.710055096418733,10.997179693795326,3.089430894308943,3.232770745428973,3.0038043478260867,3.1515151515151514,5.513497179693795,
4.145180023228804,5.280590717299578,6.303804347826087,3.7954545454545454,4.718170829975826,6.570267131242741,17.374120956399437,6.783695652173913,6.515151515151516,10.602538275584207,2.987224157955865,3.0471167369901546,3.3445652173913043,3.2141873278236917,5.678686543110395,
4.091753774680604,5.7264416315049225,6.252717391304348,3.2830578512396693,4.608380338436745,6.159117305458769,16.549929676511955,6.917934782608696,6.9070247933884295,10.632755842062853,3.3112659698025553,3.2988748241912798,3.2353260869565217,3.203168044077135,6.577356970185335,
4.328687572590011,5.749648382559775,6.229891304347826,3.5323691460055096,4.810838033843674,6.275261324041812,17.452180028129394,7.351086956521739,6.945592286501378,10.925261885576148,3.0905923344947737,3.260196905766526,3.0934782608695652,3.2761707988980717,6.225825946817083,
4.105691056910569,5.876230661040788,6.315760869565217,3.306473829201102,4.941377921031426,6.677119628339141,16.890998593530238,6.994021739130435,6.704545454545454,10.862610797743756,3.3577235772357725,3.3438818565400843,3.1836956521739133,3.072314049586777,6.004029008863819,
4.049941927990709,6.1265822784810124,6.152717391304348,3.425619834710744,4.702256244963739,6.483159117305458,16.356540084388186,7.090760869565218,7.4180440771349865,11.183521353746979,3.2067363530778166,3.088607594936709,3.2418478260869565,2.935261707988981,6.074536663980661,
3.8548199767711964,6.4071729957805905,6.104347826086957,3.492424242424242,4.565471394037067,6.060394889663183,17.01054852320675,7.245652173913044,7.574380165289257,10.649879129734085,3.18931475029036,2.9416315049226442,3.075,3.1515151515151514,5.883763094278807,
4.357723577235772,6.59634317862166,5.968478260869565,3.951101928374656,4.596494762288477,5.951219512195122,15.331223628691983,6.821739130434783,7.147382920110193,10.182917002417405,2.797909407665505,3.148382559774965,3.114130434782609,3.1301652892561984,5.941780821917808,
3.7909407665505226,6.306610407876231,6.288043478260869,4.601239669421488,4.988315874294924,6.331010452961673,16.118846694796062,7.2423913043478265,7.246556473829201,10.29754230459307,3.1254355400696863,3.4627285513361463,3.3864130434782607,3.12603305785124,6.341861402095085,
3.631823461091754,6.642053445850914,6.223913043478261,4.991046831955923,4.591458501208702,6.1138211382113825,14.918424753867791,6.517391304347826,7.424931129476584,10.546736502820306,3.1149825783972127,3.0534458509142053,2.880434782608696,3.121212121212121,5.80781627719581,
3.8989547038327528,6.990857946554149,6.2054347826086955,5.882231404958677,5.05781627719581,6.052264808362369,15.049929676511955,7.226630434782609,7.084022038567493,10.20870265914585,3.0150987224157957,3.640646976090014,3.067934782608696,3.1818181818181817,5.390813859790492,
4.119628339140534,6.981012658227848,5.916304347826087,5.8670798898071626,4.548952457695407,5.855981416957027,14.736286919831224,7.336413043478261,7.1005509641873275,9.596293311845287,3.394889663182346,3.3952180028129395,3.1070652173913045,3.193526170798898,5.4709911361804995,
3.821138211382114,7.428973277074543,5.934239130434783,6.016528925619835,4.341458501208702,6.184668989547038,14.042194092827005,6.759239130434783,6.7059228650137745,9.64081385979049,2.983739837398374,3.3509142053445853,3.047282608695652,3.4235537190082646,4.184528605962933,
3.7828106852497094,7.111111111111111,6.184239130434783,5.918732782369146,4.589041095890411,6.0534262485482,14.684950773558368,7.074456521739131,6.6707988980716255,10.005036261079775,3.132404181184669,3.277074542897328,3.0842391304347827,3.6198347107438016,4.356567284448026,
4.157955865272938,7.736286919831223,6.1,6.371900826446281,4.67767929089444,6.2543554006968645,15.072433192686358,7.065217391304348,6.674242424242424,9.95870265914585,2.9686411149825784,3.220112517580872,3.2902173913043478,3.6666666666666665,4.31809024979855,
4.461091753774681,7.857946554149086,5.72445652173913,6.377410468319559,4.51651893634166,6.018583042973287,14.025316455696203,6.6695652173913045,7.62465564738292,9.70245769540693,2.9465737514518002,3.1631504922644162,3.2282608695652173,3.951101928374656,4.359991941982273,
3.9500580720092917,7.417721518987341,6.002717391304348,6.21763085399449,4.689363416599517,5.825783972125436,14.806610407876232,6.5353260869565215,7.132231404958677,9.999194198227237,2.9570267131242742,3.230661040787623,3.428804347826087,3.9834710743801653,4.517929089443997,
4.799070847851335,7.141350210970464,5.760869565217392,6.146005509641873,4.61583400483481,5.7177700348432055,14.077355836849508,6.635326086956522,7.210055096418733,9.52477840451249,2.988385598141696,3.4050632911392404,3.376086956521739,4.080578512396694,4.734689766317486,
4.0789779326364695,7.749648382559775,6.163043478260869,6.128099173553719,4.7155519742143435,6.083623693379791,14.033755274261603,6.504347826086956,6.730716253443526,9.347703464947623,2.9965156794425085,3.5569620253164556,3.319021739130435,3.8202479338842976,5.471796937953264,
4.274099883855982,7.578059071729958,6.21304347826087,6.411845730027548,4.40088638195004,5.736353077816492,14.563994374120956,6.465760869565218,6.922865013774104,9.5245769540693,3.0696864111498257,3.530239099859353,3.2190217391304348,4.460055096418733,5.7767929089444,
4.444831591173054,8.047819971870604,5.943478260869565,5.859504132231405,4.469983883964545,5.495934959349594,14.727144866385373,7.207065217391304,7.466942148760331,9.88638195004029,3.016260162601626,3.351617440225035,3.2103260869565218,3.8601928374655645,4.77276390008058,
4.420441347270615,7.719409282700422,5.751086956521739,5.238292011019284,4.433521353746978,5.840882694541231,14.570323488045007,6.803804347826087,6.958677685950414,9.889000805801773,3.0929152148664345,3.0738396624472575,3.178804347826087,4.448347107438017,5.283440773569702,
4.519163763066202,7.943037974683544,5.8570652173913045,5.710055096418733,4.285455278001612,6.295005807200929,13.611814345991561,6.472282608695652,7.7300275482093666,8.94399677679291,3.4483159117305457,3.60056258790436,3.3,3.9166666666666665,4.20447219983884,
4.389082462253194,7.9957805907173,5.985869565217391,5.7245179063360885,4.639806607574537,5.653890824622532,12.928270042194093,6.6625,7.161157024793388,9.503223207091056,3.2601626016260163,3.159634317862166,3.0760869565217392,4.5041322314049586,3.8515310233682514,
4.518002322880371,8.289029535864978,5.07554347826087,5.816804407713499,4.419218372280419,6.434378629500581,12.654008438818565,6.220652173913043,7.09228650137741,8.844480257856567,3.37862950058072,3.260196905766526,3.4679347826086957,4.0606060606060606,4.057211925866237,
4.535423925667828,7.943741209563995,5.289130434782609,6.320247933884297,4.617848509266721,6.333333333333333,12.661040787623065,6.6375,6.705234159779614,9.174254633360194,3.0301974448315914,3.4085794655414907,2.982608695652174,4.4152892561983474,3.852538275584206,
4.331010452961673,7.883966244725738,5.423913043478261,6.43732782369146,4.578364222401289,6.017421602787456,12.764416315049226,6.489130434782608,7.207988980716253,9.359991941982273,2.875725900116144,3.3621659634317864,2.9864130434782608,5.40564738292011,4.423851732473811,
4.210220673635308,8.779887482419127,5.296739130434783,6.1921487603305785,4.519943593875906,5.862950058072009,13.819268635724331,7.132065217391304,7.380853994490358,8.830983078162772,3.35191637630662,3.4957805907172994,3.35,4.9958677685950414,4.386583400483481,
4.4367015098722415,8.213783403656821,5.306521739130435,7.330578512396694,4.697824335213538,5.664343786295006,12.270745428973276,6.961413043478261,7.712121212121212,9.41317485898469,3.0197444831591174,3.1652601969057663,2.982608695652174,6.0929752066115705,3.943996776792909,
