D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,
130.59874759152217,44.97555715312725,70.80286343612335,81.85135135135135,180.16237113402062,75.88984509466437,23.76417004048583,93.75898203592814,66.75045126353791,11.388968481375358,62.52283653846154,52.53514739229025,61.19582043343653,115.09598853868195,51.76383763837639,56.008974358974356,99.18448139350753,117.93683274021352,114.35064935064935,34.7438080495356,133.33141082519964,100.82173913043478,129.0349025974026,97.33805668016194,70.69427244582043,42.239256678281066,924.8073217726397,308.27318475916604,505.4295154185022,594.535840188014,1046.9269759450171,412.33476764199656,243.14676113360323,890.7519960079841,629.4593862815884,20.54083094555874,434.3713942307692,499.33106575963717,511.1857585139319,600.4505730659026,374.4630996309963,417.7564102564103,621.1631037212985,722.026690391459,576.2142857142857,217.2670278637771,718.8544809228039,650.8115942028985,763.0430194805194,441.8269230769231,514.297213622291,418.7166085946574,
124.29190751445087,50.095614665708126,70.7114537444934,82.59224441833138,179.31486254295532,76.49741824440619,21.53744939271255,96.18463073852296,68.48736462093864,11.770057306590259,64.0829326923077,57.81859410430839,66.23839009287926,111.33452722063038,50.7140221402214,53.88717948717949,101.59857482185274,123.83807829181495,103.8961038961039,30.378482972136222,150.90283939662822,94.93333333333334,122.25811688311688,94.20951417004049,78.42956656346749,42.254355400696866,915.1657032755298,312.74263120057515,510.9240088105727,608.5440658049354,1044.1069587628865,426.2994836488812,249.24696356275302,866.2395209580839,609.8023465703972,19.6554441260745,432.015625,508.1950113378685,520.6896284829721,597.1461318051576,382.130381303813,425.8679487179487,633.7038796516231,735.1049822064057,584.702922077922,220.78637770897834,747.410825199645,665.4,765.4196428571429,446.2267206477733,519.078947368421,414.8443670150987,
133.72398843930637,50.10927390366643,72.35903083700441,80.09165687426557,177.78092783505156,80.15318416523236,24.18522267206478,92.937125748503,67.26579422382672,11.724212034383955,66.34375,55.512471655328795,63.777863777089784,102.90329512893983,50.37084870848709,52.07051282051282,102.33887569279493,120.51868327402136,100.25081168831169,26.7530959752322,163.3198757763975,101.18695652173913,133.7637987012987,111.01518218623482,83.08823529411765,46.167247386759584,913.7003853564547,316.1840402588066,526.170704845815,618.9829612220916,1036.858676975945,439.8442340791738,262.53036437246965,854.5114770459082,611.6322202166065,19.871776504297994,435.81490384615387,522.6337868480725,529.4667182662539,609.9312320916905,389.7988929889299,441.325641025641,649.7735550277118,750.6032028469751,581.172077922078,181.52244582043343,771.2027506654836,679.4231884057971,766.5324675324675,447.42408906882594,538.2283281733746,391.45760743321716,
122.95712909441234,50.35154565061107,66.21585903083701,88.98061104582844,175.43513745704468,79.44148020654045,24.581983805668017,91.81686626746507,72.92148014440433,11.832378223495702,67.98557692307692,47.59637188208617,56.55185758513932,119.2528653295129,52.59409594095941,55.047435897435896,116.71575613618369,116.16281138790036,105.2362012987013,24.788699690402478,154.66326530612244,102.08115942028985,126.02678571428571,100.16801619433198,82.0688854489164,43.462253193960514,902.3097302504817,315.9396117900791,536.1222466960353,627.2561692126909,1033.5429553264605,452.91910499139414,274.07287449392715,865.4051896207585,613.9553249097473,19.879656160458453,437.00961538461536,511.79931972789115,520.2585139318885,615.1525787965616,394.0719557195572,448.91410256410256,662.27711797308,762.123665480427,545.0024350649351,154.08204334365325,786.4494232475599,680.3565217391305,765.5219155844156,442.6912955465587,537.5394736842105,393.7177700348432,
133.0664739884393,48.58950395398993,67.75440528634361,82.19741480611046,184.92396907216494,75.5275387263339,26.309716599190285,99.2944111776447,67.81453068592057,12.873925501432664,65.31490384615384,60.19501133786848,67.27863777089783,117.69340974212034,52.07564575645756,56.965384615384615,104.60965954077594,117.15569395017793,120.5413961038961,25.291021671826627,157.79236912156168,99.1768115942029,127.58522727272727,99.38967611336032,79.76702786377709,39.851335656213706,910.3106936416185,322.32638389647735,537.079295154185,640.906580493537,1051.7237972508592,458.08777969018934,278.7165991902834,879.6087824351298,602.9476534296028,19.99355300859599,443.33533653846155,538.9410430839002,547.623839009288,635.2858166189112,412.0627306273063,472.2846153846154,670.5851148060174,752.8816725978647,607.6517857142857,160.58359133126936,806.2741792369121,695.7840579710145,762.7280844155844,444.86336032388664,531.3970588235294,390.22183507549363,
135.0611753371869,55.334291876347955,71.35022026431719,81.64453584018801,173.95060137457045,77.76333907056798,26.826923076923077,106.81337325349301,69.03339350180505,12.285100286532952,63.30528846153846,57.997732426303855,64.99226006191951,119.36318051575931,53.89790897908979,57.593589743589746,98.2652414885194,118.74555160142349,124.78003246753246,27.609133126934985,161.81543921916594,97.29130434782608,121.01542207792208,93.91295546558705,74.28250773993808,36.65853658536585,912.5447976878613,329.59094176851187,555.5396475770925,643.2215041128085,1046.3479381443299,468.60843373493975,289.1578947368421,894.4810379241517,610.8190433212997,21.019340974212035,444.22475961538464,542.3299319727892,554.1060371517028,653.567335243553,415.1555965559656,475.93333333333334,683.2739509105305,767.9243772241992,658.0040584415584,171.87693498452012,827.1246672582076,710.4855072463768,759.3741883116883,446.7570850202429,532.1199690402477,362.9036004645761,
128.96339113680153,49.97627606038821,65.87885462555066,83.27144535840188,177.911941580756,81.39931153184165,25.70242914979757,96.17864271457086,62.97202166064982,12.323065902578797,58.03846153846154,55.90136054421769,62.19969040247678,114.55085959885386,50.73554735547356,55.21153846153846,97.51860649247823,115.58718861209964,123.06087662337663,25.856811145510836,163.0204081632653,101.14057971014493,124.3603896103896,96.12955465587045,73.828173374613,35.221835075493615,911.0028901734104,327.2120776419842,543.75,653.6028202115159,1057.9231099656358,473.97332185886404,295.6437246963563,892.1996007984031,603.047833935018,22.005730659025787,451.3858173076923,560.2312925170068,564.1996904024768,653.0365329512894,416.08425584255843,482.20384615384614,680.006334125099,773.7446619217081,693.9512987012987,163.219040247678,848.857586512866,719.908695652174,767.7183441558442,445.4706477732793,539.7012383900928,346.67015098722413,
124.2552986512524,48.73903666427031,61.99339207048458,76.49706227967097,174.4377147766323,77.99139414802066,24.370445344129553,94.33632734530939,61.42238267148014,12.14541547277937,61.046875,60.66893424036281,65.5657894736842,110.4512893982808,50.429274292742925,54.65,96.89390340459224,106.84430604982207,115.63149350649351,25.91486068111455,160.69343389529726,97.47391304347826,114.76704545454545,90.38562753036437,73.04566563467492,33.27409988385598,909.2774566473988,337.6923076923077,544.6299559471365,655.6639247943596,1072.295532646048,473.86230636833045,294.0374493927126,897.0474051896208,601.6331227436823,21.17048710601719,457.36899038461536,564.6054421768707,565.2832817337461,657.8230659025788,421.5448954489545,485.05128205128204,680.5471100554236,779.7793594306049,721.5551948051948,166.72755417956657,877.5612244897959,723.2913043478261,764.9918831168832,442.5161943319838,561.124613003096,331.04645760743324,
119.2519267822736,50.508267433501075,60.94273127753304,75.4524089306698,172.45274914089347,77.01376936316696,22.72165991902834,91.58632734530939,59.0956678700361,12.093839541547277,56.72716346153846,51.1156462585034,57.14938080495356,111.30014326647564,50.06580565805658,54.39871794871795,87.77434679334917,108.95996441281139,115.9586038961039,24.80030959752322,165.49511978704524,92.39855072463769,115.21185064935065,84.94635627530364,72.19504643962848,30.578397212543553,902.3314065510598,339.05391804457224,558.3810572687224,654.9894242068156,1080.5214776632301,478.0292598967298,293.53542510121457,897.5918163672654,588.0925090252707,24.611031518624642,456.1730769230769,580.7222222222222,572.8142414860681,663.8660458452722,430.3757687576876,495.6461538461538,678.673792557403,784.6663701067615,722.1355519480519,166.4202786377709,919.6384205856256,715.5550724637682,761.1858766233767,434.63461538461536,555.1439628482972,333.5737514518002,
116.97061657032755,48.56506110711718,63.35462555066079,72.48589894242068,172.0012886597938,72.62306368330465,23.008097165991902,92.16916167664671,58.0072202166065,10.964183381088825,53.14302884615385,49.7312925170068,55.294117647058826,106.09312320916905,50.43788437884379,56.093589743589746,87.09580364212194,103.57829181494662,103.79707792207792,25.793343653250773,171.6078083407276,91.34492753623188,108.62012987012987,79.53542510121457,70.31114551083591,28.89547038327526,901.5091522157996,337.56146657081234,552.7533039647577,641.5834312573443,1099.2229381443299,476.79001721170397,300.2692307692308,901.1546906187625,580.6159747292419,22.5121776504298,453.5817307692308,578.795918367347,569.6787925696594,662.4498567335244,433.00061500615004,501.68461538461537,675.4742676167855,792.8140569395018,689.0616883116883,158.5952012383901,948.0190771960959,704.1782608695652,759.9423701298701,428.27024291497975,544.0448916408669,336.22648083623693,
