D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,
91.28226477935054,99.60398078242964,99.86427976686095,93.47493573264782,105.53517739025857,109.87770897832817,47.924785100286535,85.13291139240506,57.121861152141804,68.65041888804265,83.13405495420483,86.91824440619621,102.54790182106096,168.99486125385405,161.74654377880185,155.47665198237885,124.13058035714286,64.48263419034731,119.17095115681234,180.58148734177215,67.13461538461539,38.638449367088604,85.80502215657312,85.68213783403657,89.0506454816286,681.6902581182349,727.7426218256692,967.8551207327228,833.0867609254499,915.4738424533974,804.0820433436533,363.6310888252149,434.0878164556962,522.1713441654357,680.0891089108911,443.12156536219817,442.6566265060241,631.6927949326999,731.9794450154162,531.0009216589862,681.1092511013215,1083.8634672619048,408.1659900766802,961.8521850899743,1391.3338607594937,480.14230769230767,370.82199367088606,685.115952732644,431.0872011251758,614.4280039721947,
85.81265611990008,105.90803019903912,111.04995836802665,100.87210796915167,102.34696331930246,112.93653250773994,48.74426934097421,75.30458860759494,57.51403249630724,69.32140137090632,72.94421315570358,76.51807228915662,105.96595407759304,201.03802672147995,160.436866359447,184.43788546255507,141.5282738095238,67.63960306720794,116.93444730077121,166.38924050632912,67.12051282051281,44.640822784810126,85.71344165435745,83.29887482419127,90.00695134061569,694.6586178184846,754.3603294440632,975.5778517901748,862.9537275064267,902.285027059531,821.4643962848297,361.5315186246418,429.0498417721519,535.1395864106352,679.4356435643564,437.7760199833472,437.4027538726334,647.2557403008709,770.9856115107914,532.8175115207373,714.4722466960352,1088.3869047619048,410.27785295444295,961.771850899743,1397.432753164557,501.23205128205126,382.49208860759495,693.8124076809454,444.4465541490858,610.4329692154915,
84.2864279766861,92.3006177076184,97.99666944213156,96.95244215938304,105.0811785929044,108.80727554179566,48.210601719197705,70.60363924050633,60.33751846381093,65.39070830159939,68.62364696086594,72.08089500860585,105.5162311955661,179.09249743062693,159.8479262672811,164.70660792951543,128.90736607142858,61.49120433017591,118.41516709511568,168.5522151898734,70.64487179487179,42.912974683544306,84.76366322008863,78.9113924050633,89.83018867924528,709.5353871773522,775.4516129032259,990.3338884263114,910.1401028277635,907.3349368610944,830.157120743034,367.43911174785103,424.5237341772152,527.3190546528804,670.3031226199543,433.44712739383846,434.3924268502582,663.8107680126683,789.8406988694759,518.3907834101383,729.762114537445,1097.1387648809523,420.4321154713577,950.7191516709512,1380.814082278481,527.0910256410257,408.86471518987344,697.7651403249631,450.77777777777777,621.2204568023833,
82.4579517069109,87.33356211393274,96.98417985012489,100.67480719794345,103.11064341551413,111.96826625386997,46.7987106017192,76.85759493670886,58.711964549483014,62.316070068545315,74.74687760199834,78.66781411359725,100.05067300079176,181.75745118191162,160.38248847926266,167.17092511013215,131.15587797619048,64.62607126747858,115.9607969151671,169.59018987341773,68.11923076923077,41.58386075949367,80.32865583456426,80.35794655414908,84.41559086395233,738.3505412156536,774.7776252573782,984.8992506244796,945.6773778920309,924.300060132291,836.8034055727554,365.2414040114613,429.09414556962025,532.5856720827179,654.9192688499619,437.3688592839301,438.79259896729775,686.0158353127474,795.8992805755396,530.2847926267281,736.4881057268723,1100.7265625,431.00541271989175,950.4318766066838,1361.1637658227849,522.6871794871795,412.51028481012656,701.7304283604136,461.1645569620253,623.3728897715988,
86.6286427976686,85.0398078242965,98.16486261448793,103.34832904884318,103.90739627179795,113.24613003095975,46.83452722063037,71.7507911392405,57.34268833087149,60.94668697638995,69.52206494587844,72.9526678141136,92.55581947743468,180.00411099691675,154.6451612903226,165.76387665198237,131.59188988095238,67.27920613441587,113.66902313624679,158.86787974683546,71.16923076923077,42.23180379746835,75.05096011816839,78.89240506329114,85.99602780536246,758.8101582014988,788.9595058339053,995.6228143213988,966.4035989717223,905.0715574263379,825.140866873065,369.20343839541545,430.2112341772152,540.1883308714919,657.7128712871287,438.83430474604495,438.9096385542169,689.1029295328583,816.9496402877697,532.7428571428571,755.8334801762114,1119.6796875,434.67523680649526,932.0919023136247,1351.6606012658228,538.6,413.91930379746833,692.1211225997046,467.556258790436,624.5029791459782,
88.31473771856786,90.42210020590254,92.28059950041632,97.3888174807198,102.24173180998196,116.25541795665634,43.355300859598856,74.07674050632912,59.293205317577545,65.34577303884235,71.9458784346378,75.39414802065404,96.89469517022961,175.9136690647482,157.90230414746543,161.8942731277533,126.66629464285714,66.25124041497519,107.1021850899743,164.99446202531647,63.45,41.7128164556962,84.40620384047267,78.72784810126582,82.94141012909633,758.8434637801831,799.7879203843514,997.1182348043297,985.1343187660668,910.7263980757667,832.3490712074304,377.8982808022923,428.8868670886076,548.1580502215658,664.5224676313785,436.6969192339717,437.02151462994834,706.1916072842439,813.9033915724564,531.7622119815668,751.6810572687225,1127.4434523809523,445.9494812810104,927.9768637532134,1357.3322784810127,543.2576923076923,418.4802215189873,705.3271787296898,474.02461322081575,631.0829195630586,
86.40133222314738,88.93891557995882,95.23646960865945,94.280205655527,100.50932050511125,116.4907120743034,46.31446991404012,87.60759493670886,56.06499261447563,64.41964965727342,85.52456286427977,89.75989672977624,102.84639746634996,175.74614594039053,148.91797235023043,162.33656387665198,135.2079613095238,67.97834912043302,108.08804627249357,159.4509493670886,65.1,40.75632911392405,83.70974889217135,73.93389592123769,80.82125124131082,764.0058284762698,802.4262182566919,994.4487926727727,993.0951156812339,915.0258568851473,851.7321981424149,375.90687679083095,427.34335443037975,549.7363367799114,655.5993907083016,435.5370524562864,436.20998278829603,711.8463974663499,825.3257965056526,531.6626728110599,765.1057268722467,1139.8779761904761,469.23500225529995,909.0096401028278,1366.6946202531647,543.0205128205129,424.2539556962025,714.3899556868538,473.1223628691983,634.4568023833168,
81.09075770191507,82.79409746053534,95.56869275603664,98.99678663239075,95.58027660853878,106.9783281733746,49.137535816618914,82.0996835443038,58.93500738552437,61.003808073115,80.07826810990841,84.23235800344234,99.00079176563737,187.64028776978418,154.66543778801844,173.64581497797357,131.40290178571428,69.64636896707262,103.25899742930591,151.65585443037975,69.50128205128205,39.29193037974684,86.16765140324964,72.71167369901548,77.12015888778551,757.4487926727727,801.5271105010295,983.7951706910908,1011.129177377892,925.5165363800361,850.547987616099,380.621776504298,431.05142405063293,553.5583456425406,648.4904798172125,439.00166527893424,439.5275387263339,719.0023752969121,846.7410071942446,527.7594470046083,783.7295154185022,1154.228794642857,475.37573297248537,918.1201799485862,1362.9287974683543,527.525641025641,425.8544303797468,725.2104874446086,471.6807313642757,624.2899702085402,
80.77019150707744,85.12216884008237,92.36552872606161,105.15681233933162,92.79434756464221,111.30030959752322,49.42765042979943,81.48022151898734,59.46528803545052,65.7989337395278,79.23147377185678,83.10757314974182,98.11401425178147,179.47893114080165,153.37880184331797,165.6704845814978,133.51190476190476,71.86468200270636,109.04498714652956,153.6155063291139,70.04358974358975,40.575949367088604,80.06351550960119,69.65752461322082,77.82472691161867,757.5195670274771,800.3836650652024,989.6627810158202,1010.0334190231363,937.3409500901985,862.4117647058823,381.2865329512894,425.6479430379747,544.3175775480059,647.4440213252094,432.98001665278935,433.1144578313253,720.6397466349961,847.655704008222,527.131797235023,784.5594713656387,1162.5119047619048,496.3531799729364,910.1863753213368,1349.4098101265822,547.5564102564102,429.07041139240505,727.0768094534712,467.5014064697609,622.6176762661371,
85.72939217318901,87.72752230610844,93.31890091590341,97.03149100257069,94.76007215874925,107.96207430340557,48.81590257879656,84.31487341772151,55.90915805022156,63.35262757044935,81.8451290591174,86.33132530120481,97.2818685669042,174.5159301130524,147.55483870967743,160.79735682819384,133.2938988095238,68.9639152007217,109.64845758354755,153.1115506329114,71.33333333333333,42.473101265822784,77.33161004431315,74.13713080168776,81.8803376365442,760.5611990008326,793.2944406314344,1000.8476269775188,1021.3991002570694,926.2784125075166,871.7592879256966,384.2349570200573,428.0118670886076,550.0539143279173,649.8895658796649,435.1482098251457,435.82185886402755,717.901821060966,856.2199383350462,532.8608294930875,794.3444933920705,1173.8169642857142,522.745151105097,914.4048843187661,1374.2808544303798,550.475641025641,435.8947784810127,737.9977843426883,462.3748241912799,616.0620655412115,
