G1,G2,G3,G4,G5,G6,G7,B1,B2,B3,B4,B5,B6,B7,T1,T2,T3,T4,T5,T6,T7,
3.202470830473576,3.3067202757036185,3.301413881748072,3.4446050096339116,2.735550277117973,2.7524038461538463,2.976036866359447,3.6774193548387095,3.48248133256749,5.079691516709511,5.2721579961464355,5.800475059382423,2.9603365384615383,6.090322580645161,5.526424159231297,5.309017805858702,5.230719794344473,5.26252408477842,6.055423594615994,4.429086538461538,5.413824884792627,
2.7055593685655457,3.038483630097645,3.2853470437017993,3.3578998073217727,3.030087094220111,2.748798076923077,3.2700460829493085,3.993136582017845,3.436530729465824,5.389460154241645,5.544797687861272,5.834520981789391,2.7716346153846154,6.095852534562212,4.791352093342485,5.271682940838598,5.169665809768637,5.277456647398844,5.965162311955661,4.983173076923077,5.317972350230415,
2.8222374742621827,3.290063182079265,3.1253213367609254,3.2403660886319847,2.8012668250197943,3.015625,3.345622119815668,3.964996568291009,3.990809879379667,5.323907455012853,5.52456647398844,6.009501187648456,2.828125,6.284792626728111,4.51681537405628,4.793222286042504,5.391388174807198,5.494701348747592,6.246239113222486,4.905048076923077,6.425806451612903,
2.8085106382978724,2.990809879379667,2.9659383033419022,2.99373795761079,3.356294536817102,3.4663461538461537,3.1391705069124423,3.752916952642416,3.595634692705342,5.82133676092545,5.936897880539499,5.167854315122724,2.7896634615384617,5.335483870967742,5.341111873713109,5.352096496266514,5.144601542416453,5.418593448940269,6.558986539984165,5.0,6.073732718894009,
2.9313658201784487,2.9977024698449166,2.642030848329049,2.718208092485549,2.7925574030087095,2.8954326923076925,2.8377880184331796,3.6794783802333564,3.7501435956346927,5.964652956298201,5.952793834296725,5.453681710213777,2.6971153846153846,5.112442396313364,4.774193548387097,5.164273406088455,5.309125964010283,5.544315992292871,5.967537608867775,5.157451923076923,6.470967741935484,
2.806451612903226,3.182653647329121,3.0314910025706943,3.0842967244701347,3.0831353919239906,3.0252403846153846,2.9778801843317972,3.5792724776938916,3.542217116599655,5.259640102827763,5.344412331406551,5.797307996832937,3.108173076923077,4.68294930875576,5.178448867536033,5.099942561746123,5.9241645244215935,6.118015414258188,6.679334916864608,4.800480769230769,6.080184331797235,
2.861358956760467,3.2452613440551406,3.0398457583547556,3.0438342967244703,2.9889152810768014,2.5913461538461537,3.190783410138249,3.3225806451612905,3.508328546812177,5.167737789203085,5.2514450867052025,5.891528107680126,3.1298076923076925,4.929953917050692,4.890185312285518,4.935669155657668,5.80719794344473,5.878612716763006,6.444972288202692,4.436298076923077,6.300460829493088,
2.91283459162663,3.264215967834578,3.019922879177378,3.029865125240848,2.781472684085511,3.108173076923077,2.777880184331797,3.4076870281400136,3.7932222860425044,5.531491002570694,5.6204238921001926,5.600158353127474,2.5564903846153846,5.79815668202765,4.710363761153054,5.168294083859851,6.154884318766067,6.1873795761079,6.2794932699920825,4.949519230769231,6.9880184331797235,
2.9945092656142758,3.2429638139000576,3.095758354755784,3.121868978805395,2.8638163103721297,2.9603365384615383,3.4350230414746545,3.421413864104324,3.8179207352096496,5.789203084832905,5.7601156069364166,5.098178939034046,3.045673076923077,5.233179723502304,4.89293067947838,5.477311889718552,6.188303341902314,6.27456647398844,6.290577988915281,4.956730769230769,5.969585253456221,
3.0343170899107754,3.0425043078690406,3.0874035989717226,3.1912331406551058,2.8646080760095014,2.811298076923077,2.9327188940092164,3.4543582704186684,3.6995979322228605,5.263496143958869,5.3497109826589595,5.140142517814727,3.0997596153846154,5.199078341013825,4.6678105696636925,5.1321079839172885,6.586760925449871,6.642581888246628,6.542359461599367,4.8545673076923075,6.658064516129032,
