T1,T2,T3,T4,T5,T6,T7
4.820864791,5.158529581,5.776992288,5.900770713,4.988915281,4.734375,5.289400922
4.551818806,5.164847789,5.404241645,5.455684008,4.699920823,4.8125,5.776036866
5.376115305,4.764503159,5.402956298,5.39017341,4.834520982,4.548076923,5.667281106
4.58407687,4.865594486,5.665809769,5.583333333,5.011876485,5.025240385,4.937327189
4.952642416,5.00459506,5.20437018,5.356454721,5.098970705,4.266826923,5.320737327
5.275909403,5.457782883,5.467866324,5.494701349,4.977038797,4.848557692,5.297695853
4.726149623,5.079839173,5.628534704,5.699421965,5.140934283,4.907451923,5.729032258
4.759780371,5.093624354,5.474935733,5.51300578,5.112430721,4.427884615,5.4
4.787234043,5.008615738,5.37403599,5.379576108,5.111638955,4.807692308,5.557603687
4.675360329,4.911545089,5.051413882,5.121387283,5.524148852,4.574519231,5.597235023
5.035689774,4.721998851,4.900385604,5.029865125,4.904988124,5.019230769,5.852534562
4.443376802,4.721424469,4.775064267,4.774084778,5.454473476,4.34375,5.281105991
4.654770075,5.000574383,5.240359897,5.309248555,5.118764846,4.664663462,5.587096774
4.699382292,5.064330844,4.947943445,5.095375723,5.04354711,4.336538462,5.58156682
4.792724777,5.053417576,5.546272494,5.568882466,5.294536817,4.078125,5.633179724
4.724090597,5.922458357,4.818766067,4.897880539,4.85114806,4.413461538,5.46359447
4.681537406,4.963239518,5.183161954,5.312138728,5.330166271,4.605769231,5.714285714
4.783802334,4.958070075,5.118894602,5.16955684,4.980205859,4.46875,5.968663594
5.056280027,4.973578403,5.318766067,5.425818882,4.850356295,5.097355769,5.606451613
4.819492107,5.138426192,5.205655527,5.277456647,5.250197941,4.646634615,5.415668203
4.717227179,5.133256749,5.491645244,5.636319846,5.189231987,4.543269231,5.6
4.750171585,5.168868466,5.97622108,6.047206166,5.311163895,4.765625,5.677419355
4.842827728,4.748420448,4.933804627,4.910404624,4.988915281,4.537259615,6.139170507
4.624571036,5.338885698,5.424164524,5.465799615,5.391132225,4.643028846,5.512442396
4.943719973,5.582998277,5.151028278,5.269749518,5.319081552,5.419471154,6.364976959
4.60672615,5.202757036,5.313624679,5.40655106,5.01266825,4.596153846,5.389861751
5.239533288,5.376794945,4.875321337,5.008188825,5.460807601,4.610576923,5.502304147
4.638297872,5.057438254,4.956298201,5.161368015,5.436262866,5.030048077,5.431336406
5.238846946,5.614014934,5.33933162,5.447976879,5.626286619,4.628605769,6.421198157
4.853122855,5.655944859,5.241645244,5.33044316,5.493269992,4.251201923,5.836866359
4.689773507,4.882825962,5.019922879,5.202793834,5.650039588,4.610576923,5.226728111
5.05353466,5.699597932,4.956940874,5.005780347,6.156769596,4.817307692,5.632258065
4.571036376,5.345203906,4.897172237,5.038535645,5.805225653,4.724759615,5.677419355
4.596431023,5.36645606,4.927377892,5.026974952,5.94378464,4.997596154,5.662672811
4.636925189,5.763928777,5.413881748,5.540944123,5.311955661,5.368990385,6.031336406
4.919011668,5.249856404,5.429948586,5.541907514,5.189231987,5.020432692,6.260829493
5.233356211,5.380241241,5.241645244,5.398843931,5.628661916,5.540865385,6.044239631
4.787920384,5.144170017,5.489717224,5.629576108,5.352335709,5.144230769,5.924423963
5.070006863,5.539919586,5.433804627,5.584296724,5.41567696,5.673076923,5.622119816
5.3054221,5.493968983,5.604113111,5.75,5.327790974,4.808894231,5.671889401
4.840082361,5.008615738,5.123393316,5.352601156,5.452098179,5.310096154,5.413824885
4.490734386,5.342906376,5.260282776,5.481695568,5.465558195,5.111778846,5.794470046
4.929993137,5.959793222,5.36311054,5.469653179,5.559778306,5.385817308,5.970506912
5.063829787,5.609419874,5.870822622,5.999518304,4.945368171,5.120192308,5.544700461
4.527796843,6.59046525,5.04562982,5.192196532,4.760886778,4.985576923,5.950230415
4.385037749,6.849511775,5.062339332,5.253853565,5.317498021,4.743990385,5.584331797
4.501715854,6.651349799,5.609897172,5.74566474,5.311955661,4.811298077,5.982488479
4.698009609,6.665709362,5.230077121,5.294797688,5.642121932,5.222355769,6.104147465
5.25188744,6.278001149,5.415809769,5.538535645,5.423594616,5.074519231,5.712442396
4.820178449,5.685812751,7.002570694,7.196531792,5.075217736,4.96875,6.022119816
4.631434454,5.903503733,7.525706941,7.775529865,4.92557403,5.506009615,5.689400922
4.64104324,6.431361287,7.814267352,8.028420039,5.818685669,4.810096154,5.349308756
4.909402883,6.307294658,7.614395887,7.830924855,5.604117181,4.431490385,5.286635945
5.067261496,6.421022401,7.733933162,7.997109827,5.903404592,4.598557692,5.849769585
4.667124228,6.673750718,7.609254499,7.823699422,5.477434679,5.465144231,6.355760369
4.724090597,6.454336588,7.418380463,7.70327553,4.937450515,5.177884615,5.951152074
4.747426218,6.291211947,7.603470437,7.827071291,5.642913698,5.164663462,5.426728111
4.710363761,6.306145893,7.690231362,7.918111753,5.300870942,5.094951923,6.6
4.851750172,6.205628949,7.504498715,7.617533719,5.73871734,5.075721154,5.822119816
4.68702814,5.739230327,8.230077121,8.307803468,5.626286619,4.921875,6.151152074
5.054221002,6.055140724,7.651028278,7.904624277,5.356294537,5.132211538,6.408294931
5.269732327,6.147616312,7.848971722,8.018304432,5.555027712,5.520432692,6.434101382
5.295126973,5.763928777,7.221722365,7.563583815,6.242280285,5.234375,5.929953917
4.788606726,5.876507754,7.535989717,7.898843931,5.632620744,4.759615385,5.980645161
5.492107069,6.479035037,7.788560411,8.115125241,5.984956453,4.6875,6.00921659
5.037062457,6.07466973,8.148457584,8.456165703,5.841646873,4.711538462,5.611981567
5.395332876,6.123492246,8.01092545,8.215317919,5.645288994,5.045673077,6.11797235
5.194921071,6.213095922,7.929948586,8.034200385,5.727632621,5.512019231,5.841474654
5.273164036,6.118897186,8.415167095,8.621868979,6.68962787,5.122596154,6.052534562
5.34728895,5.775416427,8.053984576,8.161849711,6.046714173,5.438701923,5.639631336
5.487302677,6.222286043,7.339974293,7.563583815,6.489311164,5.198317308,5.653456221
5.428277282,6.071223435,7.905526992,7.916184971,6.091053048,4.652644231,5.517050691
5.51544269,6.457782883,6.690231362,6.914739884,6.527315914,5.540865385,5.707834101
5.601235415,6.039058013,6.776992288,6.878612717,6.897862233,5.355769231,6.481105991
5.380919698,6.113727743,6.187660668,6.190751445,6.334125099,5.400240385,6.429493088
5.586822237,5.988512349,5.488431877,5.486512524,6.494061758,5.673076923,6.123502304
6.490048044,5.886272257,5.584190231,5.677263969,6.58432304,5.655048077,5.8
5.695950583,6.605973578,5.517352185,5.626204239,6.685669042,5.965144231,6.001843318
5.657515443,5.935094773,6.323907455,6.285163776,6.226444972,5.276442308,6.405529954
5.975291695,6.767375072,5.629820051,5.752890173,6.600950119,5.508413462,5.747465438
6.089224434,6.802412407,6.221079692,6.18256262,6.552652415,5.335336538,5.278341014
6.251201098,6.507754164,5.467866324,5.527456647,6.186064925,5.018028846,5.355760369
6.225806452,5.907524411,6.075835476,6.078034682,5.886777514,5.532451923,5.697695853
5.535346603,6.642734061,5.612467866,5.581406551,6.147268409,5.539663462,6.083870968
6.041180508,5.911545089,5.509640103,5.518304432,5.866191607,4.931490385,5.837788018
6.000686342,5.831131534,5.515424165,5.654624277,6.098178939,5.373798077,6.196313364
6.067261496,6.693854107,5.376606684,5.419075145,6.339667458,5.421875,6.083870968
6.157858614,5.768523837,5.36503856,5.419075145,5.859857482,5.356971154,5.57235023
6.390528483,5.984491671,5.139460154,5.272639692,6.34837688,4.895432692,5.450691244
6.558682224,6.384261918,5.5,5.631984586,6.083927158,5.138221154,6.050691244
5.970487303,6.315336014,5.632390746,5.677263969,5.721298496,5.399038462,5.531797235
5.750171585,6.325674899,5.635604113,5.674855491,6.32304038,5.700721154,5.732718894
5.735758408,6.650201034,5.291131105,5.335260116,6.573238321,5.310096154,5.389861751
5.879203844,7.020103389,6.034061697,6.001445087,6.722090261,5.293269231,6.037788018
6.60672615,7.015508329,5.02377892,5.193641618,6.015043547,5.223557692,5.603686636
5.915579959,6.161975876,5.358611825,5.394508671,6.992874109,4.700721154,5.582488479
5.758407687,5.873635841,5.562339332,5.604527938,6.197149644,4.841346154,6.309677419
6.142759094,6.209649627,5.665809769,5.671483622,6.863024545,5.171875,5.971428571
6.026080988,6.939115451,6.118894602,6.061657033,6.104513064,5.253605769,5.997235023
6.0459849,6.456634118,5.812339332,5.848747592,7.041963579,5.956730769,5.685714286
5.839396019,6.017805859,5.584190231,5.624759152,7,5.115384615,5.329953917
5.951269732,5.680068926,5.622107969,5.626685934,5.984164687,4.96875,5.675576037
5.794097461,5.703044227,5.829691517,5.8477842,6.196357878,5.170673077,6.107834101
5.258064516,6.483055715,5.687660668,5.653179191,6.65162312,4.729567308,5.470967742
5.894989705,7.774842045,5.393316195,5.455202312,6.49010293,4.763221154,5.34562212
5.651338367,7.33486502,5.723650386,5.689788054,6.3847981,4.759615385,5.671889401
5.596431023,7.467547387,6.004498715,5.89017341,6.536025337,4.879807692,5.848847926
5.775566232,6.368179207,5.485861183,5.481695568,5.800475059,5.269230769,5.148387097
5.938229238,6.595634693,5.464010283,5.566955684,7.316706255,5.085336538,5.264516129
5.877144818,6.998851235,5.699871465,5.694123314,5.912114014,4.939903846,5.203686636
5.474948524,7.430786904,5.799485861,5.747591522,6.845605701,5.381009615,5.837788018
6.094715168,7.242963814,5.433161954,5.390655106,6.479809976,5.768028846,6.20921659
5.621139327,7.157380816,5.525064267,5.627649326,5.54077593,4.770432692,5.283870968
5.201098147,6.846639862,5.681233933,5.676782274,5.882818686,5.170673077,5.274654378
5.464653397,6.815623205,5.944730077,6.049132948,6.106096595,4.783653846,5.315207373
5.727522306,6.979322229,5.982647815,5.960982659,6.219319082,5.294471154,5.293087558
6.292381606,7.048248133,5.890102828,5.895953757,5.410926366,5.025240385,5.55483871
6.139327385,6.965537048,5.444087404,5.557321773,5.55898654,5.400240385,5.458986175
5.718599863,6.640436531,5.872107969,5.861271676,5.460807601,4.915865385,5.428571429
6.260123542,6.817920735,6.047557841,6.056840077,5.288994458,5.056490385,5.222119816
6.04186685,7.309017806,5.906169666,5.761078998,5.837688044,5.0625,5.366820276
5.930679478,6.878805284,6.373393316,6.289980732,5.196357878,4.461538462,5.376036866
6.235415237,8.002871913,6.107326478,6.168111753,5.609659541,5.090144231,5.082949309
6.252573782,7.654221712,5.577763496,5.651734104,5.619952494,4.377403846,5.255299539
6.284831846,7.800114877,6.072622108,6.086223507,5.598574822,4.807692308,5.112442396
6.038435141,7.689259047,5.988431877,6.00867052,5.496437055,5.121394231,5.667281106
5.993822924,7.469844917,6.098329049,6.149807322,4.935075218,4.622596154,5.896774194
5.839396019,6.810453762,6.395244216,6.389210019,5.619952494,4.818509615,5.226728111
5.993136582,7.627225732,6.242287918,6.273603083,6.033254157,5.891826923,5.408294931
6.487302677,7.601378518,6.133676093,6.100674374,5.837688044,5.951923077,5.319815668
6.010981469,7.585295807,6.27377892,6.294315992,5.383214568,5.834134615,4.983410138
6.104323953,6.93222286,6.580976864,6.588631985,5.632620744,5.746394231,5.442396313
6.076870281,7.696151637,6.327120823,6.286608863,6.003167063,6.969951923,5.277419355
5.895676047,7.941412981,6.962082262,6.931599229,5.401425178,5.850961538,5.011981567
6.256005491,7.843767949,6.617609254,6.6522158,5.724465558,5.334134615,4.596313364
5.713109128,9.236071223,7.473650386,7.451830443,5.605700713,5.960336538,4.982488479
5.975291695,10.88340034,7.566838046,7.6522158,5.499604117,6.221153846,5.516129032
6.210706932,11.03561172,6.559125964,6.845375723,5.559778306,5.141826923,5.148387097
6.313658202,10.92533027,6.951156812,7.250481696,6.23594616,5.837740385,5.141935484
6.111873713,10.91269385,6.684447301,7.009152216,5.821852732,5.769230769,5.217511521
5.902539465,9.507754164,6.628534704,6.85982659,5.684877276,4.748798077,5.577880184
6.486616335,7.931648478,6.80848329,7.205202312,5.50277118,4.638221154,4.859907834
6.155799588,7.197013211,6.609254499,7.025529865,6.318289786,4.831730769,5.59078341
6.1757035,6.887995405,7.287275064,7.541907514,5.49722882,4.933894231,5.424884793
5.967055594,6.934520391,7.711439589,8.00433526,6.129849565,5.100961538,5.22764977
5.651338367,7.527857553,7.379177378,7.657514451,6.042755344,5.040865385,5.341935484
5.770075498,7.222860425,7.354113111,7.696531792,6.243072051,4.391826923,4.709677419
5.900480439,6.755887421,8.006426735,8.185452794,5.737925574,5.048076923,4.944700461
6.475634866,6.812751292,7.81940874,8.035645472,6.870942201,5.591346154,5.399078341
6.132463967,8.112004595,7.668380463,8.027456647,6.085510689,6.079326923,5.423041475
6.280713795,9.649626651,7.967866324,8.323217726,5.963578781,6.825721154,5.666359447
6.387096774,9.81677197,7.85218509,8.20761079,6.095011876,5.96875,5.462672811
6.493479753,8.947731189,6.924164524,7.430154143,5.760095012,5.465144231,5.451612903
6.157858614,9.7466973,7.216580977,7.562620424,5.758511481,6.674278846,5.877419355
6.268359643,9.676622631,7.769922879,8.265414258,6.102137767,5.498798077,6.262672811
6.132463967,9.960367605,7.341902314,7.74566474,6.296120348,5.471153846,5.377880184
6.467398765,8.993681792,7.508354756,7.893063584,6.425969913,4.889423077,5.666359447
6.499656829,9.030442275,7.201799486,7.596339114,6.307996833,5.436298077,5.529032258
6.731640357,9.092475589,8.008997429,8.250963391,5.855106888,4.84375,5.793548387
5.870967742,8.601378518,7.619537275,7.856936416,6.935866983,4.936298077,5.268202765
6.686341798,7.346927053,8.164524422,8.452312139,6.191607284,5.074519231,5.401843318
6.195607412,7.283170592,8.226863753,8.454720617,5.986539984,4.716346154,5.298617512
6.371310913,7.647329121,7.747429306,8.11416185,6.412509897,5.483173077,5.585253456
6.362388469,6.708788053,7.15874036,7.51300578,6.346793349,5.057692308,5.48202765
5.970487303,6.997128087,6.982005141,7.375722543,7.699129058,4.683894231,5.17235023
6.768702814,7.26019529,7.632390746,7.954238921,10.25019794,4.743990385,5.606451613
6.260809883,7.358414704,7.696658098,8.04672447,8.859065717,4.748798077,5.502304147
6.8242965,6.950028719,7.329048843,7.744701349,10.01504355,5.266826923,5.317050691
6.89704873,7.187248708,6.996143959,7.628612717,10.4861441,5.447115385,5.305069124
6.343857241,6.994830557,7.633033419,8.158477842,10.52652415,4.711538462,5.295852535
6.21002059,7.180356117,6.997429306,7.616088632,11.11163895,5.668269231,5.951152074
6.563486616,7.206777714,6.739717224,7.375722543,11.38400633,5.048076923,4.906912442
6.058339053,6.338885698,7.807197943,8.441714836,12.0023753,4.734375,5.41843318
5.855181881,6.022975302,7.092544987,7.664739884,11.65399842,5.001201923,5.183410138
6.317776253,6.195290063,6.747429306,7.181599229,12.89707047,4.359375,5.98156682
6.468085106,6.788052843,6.996143959,7.541425819,11.97941409,5.263221154,5.844239631
6.383665065,6.586444572,7.988431877,8.368978805,12.04433888,4.777644231,5.296774194
6.150308854,6.840896037,7.014138817,7.501926782,11.12747427,5.155048077,5.402764977
6.361702128,7.381390006,7.761568123,8.240847784,12.13222486,4.768028846,5.442396313
6.487989019,9.26249282,7.041773779,7.629576108,12.63737134,4.717548077,5.897695853
6.699382292,10.25272832,7.323264781,7.789499037,12.0023753,4.552884615,5.293087558
7.339052848,9.388282596,8.149742931,8.503371869,12.38638163,5.335336538,5.483870968
6.14893617,9.990809879,7.120179949,7.496146435,12.06809184,4.963942308,5.456221198
6.288263555,10.70534176,7.697300771,8.05973025,12.49010293,4.908653846,6.026728111
6.903225806,10.8879954,7.914524422,8.25,12.99208234,4.996394231,5.909677419
6.240219629,11.23262493,7.614395887,7.842485549,12.38163104,4.913461538,6.087557604
6.411118737,11.39574957,7.409383033,7.633911368,12.67458432,5.224759615,5.773271889
6.709677419,9.878230902,7.984575835,8.087186898,12.66270784,4.908653846,5.757603687
7.412491421,11,7.596401028,7.764450867,12.23357086,5.394230769,7.082949309
6.899794097,9.449167145,7.929948586,8.111271676,12.91369755,5.050480769,8.029493088
7.468771448,8.112578978,7.642030848,7.761560694,13.20981789,4.802884615,9.465437788
6.685655456,7.711085583,7.52377892,7.610789981,13.74267617,4.888221154,10.16866359
6.805765271,8.032165422,7.45437018,7.521676301,12.79176564,5.060096154,12.21290323
6.943719973,7.998851235,7.482647815,7.586223507,12.60965954,4.974759615,13.29585253
6.8702814,7.25560023,7.517994859,7.54672447,11.33729216,5.245192308,14.88018433
6.521619767,7.201033889,6.652956298,6.883429672,8.273950911,5.051682692,15.33456221
6.590253946,7.126938541,6.962082262,7.110789981,8.357086302,5.367788462,18.13640553
6.697323267,6.509477312,6.948586118,7.061657033,8.799683294,5.633413462,17.83041475
6.727522306,6.96151637,6.919023136,7.154142582,7.694378464,5.915865385,15.92718894
6.647220316,7.121194716,6.255784062,6.408477842,7.926365796,5.701923077,5.207373272
6.493479753,7.017231476,6.721079692,6.851156069,7.033254157,5.550480769,5.816589862
6.575840769,7.093049971,6.472365039,6.509152216,7.574821853,5.495192308,5.311520737
7.20247083,9.2533027,7.449228792,7.458092486,8.197941409,5.698317308,5.057142857
6.606039808,9.794371051,6.414524422,6.496628131,7.208234363,5.575721154,5.141935484
6.520247083,10.36243538,6.851542416,6.903179191,7.444180523,5.743990385,4.725345622
6.829100892,11.50258472,7.559125964,7.57177264,7.665083135,5.397836538,5.33640553
6.470144132,10.70476738,7.22622108,7.285645472,8.013460016,5.990384615,4.904147465
7.098146877,9.973004021,7.31748072,7.260115607,8.445764054,5.305288462,5.22764977
6.327385038,11.62722573,7.897172237,8.039980732,8.309580364,5.919471154,5.341013825
6.943719973,10.85410684,7.58933162,7.846820809,7.336500396,5.574519231,5.666359447
6.745367193,10.64503159,7.580976864,7.692678227,7.697545527,5.942307692,5.21843318
6.590940288,10.08845491,9.47622108,9.736512524,7.429928741,6.014423077,5.580645161
6.97323267,10.64962665,13.25,13.488921,7.4101346,6.348557692,5.457142857
7.231297186,11.35611717,14.30141388,14.44701349,7.419635788,6.382211538,5.062672811
6.578586136,11.48535325,14.74678663,14.93930636,7.27949327,5.582932692,4.816589862
6.487989019,11.23721999,14.1503856,14.46290944,7.556611243,5.754807692,5.106912442
