"","KGmM","Vm1","Vm2","Vm3"
"KG000",0,1,1,1
"KG010",0.1,1.07332259259668,0.978517352150715,1.50280381687766
"KG030",0.3,1.12958078035366,1.14437274160757,1.66168645794423
"KG100",1,1.17948458738896,1.15948199147232,1.56594017262657
"KG300",3,1.03961774570408,1.09081931388293,1.0671034856686
"KG1000",10,0.697651853490816,0.664995036172484,1.09881214494491
"KG3000",30,-0.0668612803364699,0.226687296012036,0.0912620973474615
